municipality,url,status,bytes,filename,year,is_atr
Dracut,https://dracutma.gov/DocumentCenter/View/1044/Volpe-Allison-8-Days-Before-PDF?bidId=,200,152493,"Volpe, Allison 8 Days Before.pdf",,no
Dracut,https://dracutma.gov/DocumentCenter/View/1057/Dirocco-Joseph-30-Days-After-PDF,200,909140,"Dirocco, Joseph 30 Days After.pdf",,no
Dracut,https://dracutma.gov/DocumentCenter/View/1059/Flaherty-Brian-8-Days-Before-PDF?bidId=,200,920235,"Flaherty, Brian 8 Days Before.pdf",,no
Dracut,https://dracutma.gov/DocumentCenter/View/1063/Thibault-Philippe-8-Days-Before-PDF?bidId=,200,3462799,"Thibault, Philippe 8 Days Before.pdf",,no
Dracut,https://dracutma.gov/DocumentCenter/View/1081/Bomil-Tom-Year-End-PDF,200,310923,"Bomil, Tom Year End.pdf",,no
Dracut,https://dracutma.gov/DocumentCenter/View/1081/Bomil-Tom-Year-End-PDF?bidId=,200,310923,"Bomil, Tom Year End.pdf",,no
Dracut,https://dracutma.gov/DocumentCenter/View/1082/Murphy-Betsy-L-Year-End-PDF,200,190884,"Murphy, Betsy L Year End.pdf",,no
Dracut,https://dracutma.gov/DocumentCenter/View/1088/Maillaros-George-A-Year-End-PDF,200,326610,"Maillaros, George A Year End.pdf",,no
Dracut,https://dracutma.gov/DocumentCenter/View/1089/Zielinski-William-Year-End-PDF,200,324141,"Zielinski, William Year End.pdf",,no
Dracut,https://dracutma.gov/DocumentCenter/View/135,200,363558,Dryer Safety Tips (PDF).pdf,,no
Dracut,https://dracutma.gov/DocumentCenter/View/1425/SOP-Number-15---Operation-and-Maintenance-of-Municipal-Building-and-Facilities-PDF?bidId=,200,233659,SOP Number 15 - Operation and Maintenance of Municipal Building and Facilities.pdf,,no
Dracut,https://dracutma.gov/DocumentCenter/View/1441/Illicit-Discharge-Detection-and-Elimination-Plan-PDF,200,4007561,Dracut IDDE Plan.pdf,,no
Dracut,https://dracutma.gov/DocumentCenter/View/1450/Dracut-BMP-Retrofit-Summaries-PDF,200,17464748,Dracut BMP Retrofit Summaries_0628422.pdf,,no
Dracut,https://dracutma.gov/DocumentCenter/View/1452/Receiving-Waters-PDF,200,231717,Receiving Waters.pdf,,no
Dracut,https://dracutma.gov/DocumentCenter/View/1887/Vote-By-Mail-Application-2024-PDF,200,71051,Vote By Mail Application_202412021408190820.pdf,,no
Dracut,https://dracutma.gov/DocumentCenter/View/1887/Vote-By-Mail-Application-2024-PDF?bidId=,200,71051,Vote By Mail Application_202412021408190820.pdf,,no
Dracut,https://dracutma.gov/DocumentCenter/View/1927/-Budget-Book-FY2024-PDF,200,2325111,FY2024 Budget Book Electronic 04-25-23 Recommended Budget (PDF).pdf,2024,no
Dracut,https://dracutma.gov/DocumentCenter/View/1985/Zoning-Bylaw---effective-Nov-13-2023-PDF,200,1333178,"ZBL Updated through June 2, 2025 Town Meeting_202512230914311321.pdf",2025,no
Dracut,https://dracutma.gov/DocumentCenter/View/1985/Zoning-Bylaw---effective-Nov-13-2023-PDF?bidId=,200,1333178,"ZBL Updated through June 2, 2025 Town Meeting_202512230914311321.pdf",2025,no
Dracut,https://dracutma.gov/DocumentCenter/View/1985/Zoning-Bylaw-PDF?bidId=,200,1333178,"ZBL Updated through June 2, 2025 Town Meeting_202512230914311321.pdf",2025,no
Dracut,https://dracutma.gov/DocumentCenter/View/2219/Inactive-Voter-Status-Information-PDF,200,133555,CENSUS 2025 INACTIVE VOTER STATUS (INA) Explanation_202501221134023089.pdf,2025,no
Dracut,https://dracutma.gov/DocumentCenter/View/235/911-Disability-Form-PDF,200,146683,911 Disability Form (PDF).pdf,,no
Dracut,https://dracutma.gov/DocumentCenter/View/2375/2023-FEMA-West-Dracut-Map-Comparison-PDF,200,568301,2023 FEMA West Dracut Map Comparison (PDF).pdf,2023,no
Dracut,https://dracutma.gov/DocumentCenter/View/2376/2023-FEMA-East-Dracut-Map-Comparison-PDF,200,458161,2023 FEMA East Dracut Map Comparison.pdf,2023,no
Dracut,https://dracutma.gov/DocumentCenter/View/2578,200,405752,Organizational Chart_202409250731501098.pdf,,no
