municipality,year,url
Acushnet,2018,https://web.archive.org/web/20220321012348id_/https://www.acushnet.ma.us/sites/g/files/vyhlif2721/f/uploads/town_report_2018_v3.pdf
Arlington,2008,https://web.archive.org/web/20101229065000id_/http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/2008/AnnualReport_2008.pdf
Ayer,2013,https://web.archive.org/web/20150609151359id_/http://www.ayer.ma.us/pages/AyerMA_About/2013-town_report.pdf
Ayer,2014,https://web.archive.org/web/20210326065419id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2014-town_report.pdf
Ayer,2017,https://web.archive.org/web/20210326065428id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2017_town_report_digital_copy.pdf
Ayer,2019,https://web.archive.org/web/20210326065422id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2019_town_of_ayer_annual_report.pdf
Bedford,2013,https://web.archive.org/web/20161229073752id_/http://www.bedfordma.gov/sites/bedfordma/files/file/file/annual_town_report_2013.pdf
Belmont,2017,https://web.archive.org/web/20240615033318id_/https://www.belmont-ma.gov/sites/g/files/vyhlif12826/f/u736/final_-_town_of_belmont_annual_report_-_4-28-2017-_with_treasurer.pdf
Belmont,2018,https://web.archive.org/web/20240615030928id_/https://www.belmont-ma.gov/sites/g/files/vyhlif12826/f/uploads/2018_annual_report_-_with_covers.pdf
Belmont,2020,https://web.archive.org/web/20240615032113id_/https://www.belmont-ma.gov/sites/g/files/vyhlif12826/f/uploads/annual_report_2020_for_web_viewing.pdf
Bourne,2011,https://web.archive.org/web/20161216035848id_/http://www.townofbourne.com/sites/bournema/files/file/file/2011townreport.pdf
Boylston,2017,https://web.archive.org/web/20220302125149id_/https://www.boylston-ma.gov/sites/g/files/vyhlif4171/f/uploads/2017_annual_town_report.pdf
Boylston,2018,https://web.archive.org/web/20220302125146id_/https://www.boylston-ma.gov/sites/g/files/vyhlif4171/f/uploads/official_town_report_2018_-_final.pdf
Carver,2001,https://web.archive.org/web/20260213105658id_/https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/2001_town_report.pdf
Carver,2003,https://web.archive.org/web/20260202194708id_/https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/2003_town_report.pdf
Chatham,2011,https://chatham-ma.gov/DocumentCenter/View/1724/2011-Annual-Town-Report-PDF
Chatham,2012,https://web.archive.org/web/20161220065631id_/http://chatham-ma.gov/Public_Documents/ChathamMA_Selectmen/2012%20Annual%20Town%20Report.pdf
Chatham,2013,https://web.archive.org/web/20161220065603id_/http://chatham-ma.gov/Public_Documents/ChathamMA_Selectmen/2013%20Annual%20Town%20Report%20Final.pdf
