municipality,years_held,years,years_attempted_without_result
Abington,4,2014 2015 2017 2019,2016
Acushnet,1,2018,
Agawam,0,,2014
Amesbury,0,,2008 2009 2010 2011 2012 2013 2015 2016 2018 2019 2020
Amherst,5,2005 2008 2016 2017 2018,2002 2003 2004 2010 2011 2012 2013 2014 2015
Andover,0,,2012 2020
Aquinnah,0,,2016 2019
Arlington,4,2002 2005 2008 2013,2003 2004 2006 2007 2012
Ashburnham,11,2002 2006 2011 2012 2013 2014 2015 2016 2017 2018 2020,2003 2004 2005 2007 2008 2009 2010
Ashby,1,2016,2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2017 2018 2019 2020
Ashfield,4,2010 2013 2015 2016,2011 2012 2014 2017 2020
Ashland,1,2018,2005 2006 2010 2011 2012 2013 2014 2015 2016
Attleboro,1,2019,2001 2005 2007 2009 2010 2011 2013 2015 2017 2018
Avon,4,2010 2011 2014 2015,2008 2009 2012 2013 2017
Ayer,5,2010 2011 2012 2014 2015,2005 2013 2016 2017 2018 2019 2020
Barnstable,10,2001 2003 2010 2011 2014 2016 2017 2018 2019 2020,2002 2008 2009 2012 2015
Barre,0,,2020
Becket,2,2017 2020,2007
Bedford,6,2007 2011 2012 2013 2014 2015,2005 2008 2009 2010 2016 2018 2019 2020
Belchertown,6,2011 2015 2016 2017 2018 2019,2005 2020
Belmont,7,2013 2014 2015 2017 2018 2019 2020,2004 2005 2006 2007 2008 2009 2010 2011 2012 2016
Berkley,1,2020,2017
Berlin,1,2001,2008 2009 2013 2014 2016 2017 2018 2019 2020
Bernardston,0,,2009 2010 2011 2012 2013 2014
Beverly,0,,2010 2012 2013 2014 2018 2020
Billerica,2,2019 2020,2001 2018
Blackstone,1,2019,2010 2011 2012 2013 2014 2015 2016 2017 2018 2020
Blandford,13,2004 2005 2006 2007 2009 2010 2011 2012 2013 2014 2016 2017 2018,2002 2015 2019 2020
Bolton,7,2007 2008 2009 2017 2018 2019 2020,2003 2004 2005 2006 2010 2011 2012 2016
Boston,0,,2006 2007 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
Bourne,7,2007 2008 2009 2015 2017 2018 2020,2010 2011 2012 2013 2014 2019
Boxborough,1,2002,2004 2008 2009 2010 2012 2013 2014 2015
Boxford,1,2014,2009 2011 2012 2013 2015 2016 2017 2018 2019 2020
Boylston,0,,2004 2005 2006 2016 2017 2018 2019
Braintree,0,,2020
Brewster,1,2018,2020
Bridgewater,2,2006 2015,2001 2016 2017 2018 2019 2020
Brimfield,1,2015,2014 2017 2018
Brockton,0,,2003 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
Brookfield,8,2010 2013 2014 2015 2017 2018 2019 2020,2004 2005 2006 2007 2008 2009 2012 2016
Brookline,6,2013 2015 2016 2017 2018 2019,2009 2014
Buckland,0,,2018 2019 2020
Burlington,0,,2012 2013 2014 2015 2016 2017 2018
Cambridge,0,,2001 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
Canton,2,2010 2017,2005 2008 2009 2011 2012 2013 2014 2015 2016 2018 2019 2020
Carlisle,6,2008 2013 2016 2017 2018 2020,2012 2014 2015
Carver,13,2000 2001 2003 2004 2005 2007 2008 2009 2010 2011 2012 2014 2020,2002 2006 2013 2018 2019
Charlemont,1,2018,2006 2017 2020
Charlton,0,,2009 2010 2012 2013 2014 2015 2016
Chatham,9,2007 2008 2010 2012 2013 2016 2018 2019 2020,2009 2011 2014 2015 2017
Chelmsford,5,2008 2011 2012 2013 2014,2015 2016 2017 2018 2019
Chelsea,1,2013,2009 2010 2011 2012 2014 2015 2016 2017 2018 2019 2020
Cheshire,5,2015 2016 2018 2019 2020,2017
Chester,1,2017,2019 2020
Chesterfield,1,2018,2012 2013 2014 2015 2016 2017 2019 2020
Chilmark,1,2009,2004 2005 2006 2007 2008 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
Clarksburg,0,,2017 2018 2019 2020
Clinton,5,2014 2015 2016 2018 2019,2010 2011 2013 2017 2020
Cohasset,0,,2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2020
Colrain,0,,2013 2014 2017 2018 2019 2020
Concord,6,2011 2014 2015 2017 2018 2019,2007 2008 2010 2012 2013 2016 2020
Conway,1,2017,2018 2020
Cummington,8,2012 2013 2014 2016 2017 2018 2019 2020,2011 2015
Dalton,0,,2010 2013 2015 2020
Danvers,5,2016 2017 2018 2019 2020,2014 2015
Dartmouth,2,2013 2020,2005 2008 2009 2010 2011 2012 2014 2015 2016 2017 2018 2019
Dedham,0,,2010
Deerfield,0,,2012 2013 2014 2015 2016 2018 2019 2020
Dennis,1,2009,2008 2018 2019
Dighton,1,2020,2002 2003 2004 2012
Dover,7,2011 2012 2013 2014 2015 2017 2019,2010 2016 2018 2020
Dracut,1,2020,2014 2016 2018 2019
Dudley,1,2017,2014 2015 2018 2020
Dunstable,4,2004 2005 2018 2019,2015 2017 2020
Duxbury,13,2004 2005 2006 2007 2008 2010 2011 2012 2013 2014 2015 2016 2018,
EastBridgewater,7,2012 2013 2014 2016 2017 2018 2020,2015 2019
EastLongmeadow,1,2020,2013
Eastham,0,,2012 2013 2014 2015 2016 2017 2018 2019 2020
Easthampton,0,,2017 2018 2019
Easton,0,,2016 2018 2019 2020
Edgartown,0,,2009
Erving,4,2013 2015 2016 2020,2014 2017 2018 2019
Essex,0,,2000 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
Everett,0,,2019
Fairhaven,9,2011 2012 2013 2014 2015 2016 2017 2018 2020,2019
FallRiver,0,,2009 2010 2011 2012 2013 2015 2016 2017 2018 2019 2020
Falmouth,11,2007 2008 2010 2011 2012 2013 2015 2016 2017 2018 2019,2014 2020
Fitchburg,0,,2011 2013 2014
Florida,0,,2017 2018 2019 2020
Foxborough,3,2015 2016 2018,2009 2012 2014 2020
Framingham,1,2015,2019
Franklin,2,2018 2020,2015 2016 2017 2019
Freetown,3,2008 2018 2020,2011 2012 2013 2014
Gardner,1,2009,2011 2015 2017 2018 2019 2020
Georgetown,9,2002 2008 2009 2010 2011 2012 2013 2015 2017,2006 2007 2014 2018 2019 2020
Gill,4,2005 2007 2008 2009,2006
Gloucester,0,,2003 2005 2007 2009 2011 2013 2015 2016 2017 2019
Goshen,0,,2017 2018 2019 2020
Grafton,3,2009 2010 2011,2012 2013 2014 2015 2016 2017 2018 2019 2020
Granby,8,2007 2008 2011 2012 2013 2014 2015 2020,2006 2018
Granville,9,2008 2009 2010 2011 2015 2016 2017 2019 2020,2012 2013 2014 2018
GreatBarrington,1,2014,2013 2015 2016 2018 2020
Greenfield,2,2015 2017,2012 2013 2014 2018 2019 2020
Groton,10,2004 2009 2010 2012 2013 2014 2015 2016 2018 2019,2002 2003 2005 2006 2007 2008 2011 2017 2020
Groveland,9,2008 2009 2010 2011 2014 2016 2017 2018 2019,2004 2006 2012 2013 2015 2020
Hadley,4,2011 2012 2013 2014,2017
Halifax,2,2015 2020,2012 2014 2016 2018
Hamilton,8,2009 2010 2011 2013 2014 2017 2018 2019,2020
Hampden,0,,2000 2001 2002 2004 2005 2006 2007 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
Hancock,0,,2019 2020
Hanover,9,2000 2001 2002 2006 2008 2009 2014 2015 2020,2003 2004 2005 2007 2010 2011 2012 2013 2016 2017
Hanson,3,2010 2014 2018,2015 2016 2017
Harvard,1,2009,2008 2010 2011 2012 2013 2014 2015 2016 2017
Hatfield,0,,2012 2014 2017 2018
Haverhill,0,,2003 2004 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018
Hawley,1,2013,2012 2014 2015 2016 2017 2018 2019 2020
Heath,0,,2009 2010 2013 2014 2015 2017 2018 2019 2020
