municipality,year,url,kind,pool,prior_status,prior_chars,prior_pages
Abington,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/d44030ec-c49a-48b6-bebc-d5f9dd455ea7/content,atr,discovery2026,,,
Abington,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/2dd4c230-2aec-45f2-b17e-3863b0e07e3c/content,atr,discovery2026,,,
Abington,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/2e26202f-9f52-4572-be01-bbb7b9a07c4b/content,atr,discovery2026,,,
Acushnet,2000,https://archives.lib.state.ma.us/server/api/core/bitstreams/5d183c27-eb15-4279-8780-a6b699e26f28/content,atr,discovery2026,,,
Acushnet,2001,https://archives.lib.state.ma.us/server/api/core/bitstreams/1fae210d-f883-4ff9-afd2-21670a1c7f53/content,atr,discovery2026,,,
Acushnet,2002,https://archives.lib.state.ma.us/server/api/core/bitstreams/3e8e06e1-e37c-4ba7-a9bb-3966f5507081/content,atr,discovery2026,,,
Acushnet,2003,https://archives.lib.state.ma.us/server/api/core/bitstreams/36af4d38-a96e-4dac-bbb6-c80e3b0d81aa/content,atr,discovery2026,,,
Acushnet,2004,https://archives.lib.state.ma.us/server/api/core/bitstreams/5ae21b72-e93e-4afe-a474-f2170db29d90/content,atr,discovery2026,,,
Acushnet,2005,https://archives.lib.state.ma.us/server/api/core/bitstreams/cedea7c9-b84b-460e-8f91-4130906fa337/content,atr,discovery2026,,,
Acushnet,2006,https://archives.lib.state.ma.us/server/api/core/bitstreams/61b7e49a-8aff-4dcc-ab78-7e2d9079a23c/content,atr,discovery2026,,,
Acushnet,2007,https://archives.lib.state.ma.us/server/api/core/bitstreams/0254457e-e2f7-4947-a0a4-399e08a9d49e/content,atr,discovery2026,,,
Acushnet,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/3df79dbd-7fdd-4bfe-bed6-6af7ea4d9522/content,atr,discovery2026,,,
Acushnet,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/1f272384-86cb-4ec6-8537-15bf28e59c43/content,atr,discovery2026,,,
Acushnet,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/88aa05d3-712f-4a0a-8bca-1ebfc72bc0f6/content,atr,discovery2026,,,
Acushnet,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/a58daad3-b352-41bf-a90f-a777f48b7f62/content,atr,discovery2026,,,
Acushnet,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/741306cc-44c3-4fa8-bf92-3a6ece9ec181/content,atr,discovery2026,,,
Acushnet,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/76eb7edd-8a4f-4aa1-ae5b-959f76a5c234/content,atr,discovery2026,,,
Acushnet,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/60061495-ad5a-4743-9b00-ba87f9921315/content,atr,discovery2026,,,
Acushnet,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/6bd3b3d8-cc12-4f08-8098-405b5e9ce934/content,atr,discovery2026,,,
Acushnet,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/5ee2885f-0c8a-436f-9c66-bf6576edfbcb/content,atr,discovery2026,,,
Acushnet,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/aa643db2-c38d-4360-8390-f292bd29c526/content,atr,discovery2026,,,
Acushnet,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/2d0f01ae-c52f-4d4d-b8d1-42d6b54242cc/content,atr,discovery2026,,,
Acushnet,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/90082ef6-1880-4cda-b43c-dd34c563408f/content,atr,discovery2026,,,
Agawam,2009,https://agawam.ma.us/ArchiveCenter/ViewFile/Item/48,ballot,discovery2026,,,
Agawam,2012,https://agawam.ma.us/ArchiveCenter/ViewFile/Item/49,ballot,discovery2026,,,
Agawam,2015,https://agawam.ma.us/ArchiveCenter/ViewFile/Item/47,results_page,discovery2026,,,
Amesbury,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/7ac69b99-8498-4603-b263-1929e0d68503/content,atr,discovery2026,,,
Amesbury,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/028d66c5-a15d-4e1e-998e-7ba732657996/content,atr,discovery2026,,,
Amherst,2000,https://archives.lib.state.ma.us/server/api/core/bitstreams/0c8b93e1-cc20-4fac-bb43-c0e19755e5ed/content,atr,discovery2026,,,
