municipality,year,url,kind,pool,item_uuid
Danvers,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/0132e143-1949-4a13-9e8e-23e916047cf4/content,atr_recover,dspace_recover,00bd495f-f013-4ef1-8f7a-d5f2a911fd46
Charlton,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/cf17993f-aff8-4c20-b227-84fe48b1d984/content,atr_recover,dspace_recover,03943322-0dc4-44c4-bf19-b7d7a3ff8b26
Lancaster,2000,https://archives.lib.state.ma.us/server/api/core/bitstreams/4721f852-3068-47af-b339-3a931586d095/content,atr_recover,dspace_recover,051edde5-056a-4c45-919f-e2de80ed10d4
Hull,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/539988fb-b1ac-4d76-be52-e3efa4793bf0/content,atr_recover,dspace_recover,09fafddf-eb6e-4ba0-9374-2bcb589ce291
Groveland,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/900f14ff-b91b-4de9-b9e5-2fec5bc2800d/content,atr_recover,dspace_recover,0e668299-c50e-4524-96f6-e8faf2fe03b3
Holland,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/6af5df39-ff64-4553-adb5-8a57dad40c6a/content,atr_recover,dspace_recover,11731d87-2082-42fc-aaf2-f46c38531aa2
Charlemont,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/521ba4c9-3cf6-4d03-b0ae-c947faef1676/content,atr_recover,dspace_recover,13177ae5-6236-424e-8770-b069822a6a7b
Florida,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/d8549df7-5732-41f3-9570-e02b9fde0c6e/content,atr_recover,dspace_recover,14b61b7a-91e8-4534-8311-c4a162c3b7f1
Plainfield,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/6c586878-5710-432d-ab2a-3171a1151eaa/content,atr_recover,dspace_recover,192697ea-48a6-4cda-9ff0-a43fa73f30bc
Groveland,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/a4b8a9c2-83a0-4707-b2a7-7441700b3af2/content,atr_recover,dspace_recover,1d2423b2-23c2-40fd-8bd3-1bf0575fec65
Stoughton,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/4ea0945a-d7e1-4cf2-af2d-07b3f9369860/content,atr_recover,dspace_recover,1f8e9a0e-c80d-4cd7-8869-7dd48304b062
Hull,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/e63a46f7-5fd2-4ff8-9e4b-87556643ef03/content,atr_recover,dspace_recover,2245f40e-f96e-4dad-8090-bec1adc63c93
Petersham,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/10604341-27ec-49f0-ba26-64630dac3dbd/content,atr_recover,dspace_recover,24166c8d-6beb-4962-b469-4ac249851f94
Florida,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/96934bd7-90cd-48c1-9a83-266f5bcb833b/content,atr_recover,dspace_recover,24c9c44b-8c3a-4449-b4e3-c93ada5a59ec
Mount Washington,2005,https://archives.lib.state.ma.us/server/api/core/bitstreams/4e3f5d9a-afc6-4582-93f8-18391c6d10ca/content,atr_recover,dspace_recover,25ed4af9-c005-4401-b9bf-da7d523d00c0
West Stockbridge,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/76abd716-e606-4494-86c3-aca298e4a32a/content,atr_recover,dspace_recover,2adaa545-dd32-4be8-961b-86cd14a0b1dc
Mount Washington,2003,https://archives.lib.state.ma.us/server/api/core/bitstreams/5d6e044d-ede2-4fb1-89e1-828d95b3a380/content,atr_recover,dspace_recover,37e5e992-ca56-494a-a663-a8bfdaeb2238
Dracut,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/d93230fe-ebde-400f-817a-008bada763fe/content,atr_recover,dspace_recover,382ea96e-45ce-4f2c-bb3e-77cb0f092f87
Granby,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/9fe92fdc-74e6-456d-96b0-c94cc6f36500/content,atr_recover,dspace_recover,383c8e7d-468a-490a-b054-536ca4b3c9c1
Dracut,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/9a7c0b29-f373-4bd5-81fc-cfb7f7bf709f/content,atr_recover,dspace_recover,38dd0c51-049a-4d6f-a82c-035962cf68dd
Wrentham,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/ab1f9155-e8ed-4192-94fd-be7e54355ee3/content,atr_recover,dspace_recover,3d2c44cd-6a60-445a-83f4-d415537cdd65
Newbury,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/35932283-ad25-48a3-8044-b73476239453/content,atr_recover,dspace_recover,43131fb3-3aae-4bec-b0e9-7ef074774b15
New Ashford,2013,https://archives.lib.state.ma.us/server/api/core/bitstreams/591bb36a-cd7e-4599-9941-94d47cee0ce1/content,atr_recover,dspace_recover,44e8751d-be4e-4cc9-914d-601b9fd287dc
Groveland,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/e8ae70ea-56bd-4575-b326-b2731e1c896a/content,atr_recover,dspace_recover,46928faf-0f1c-477b-829f-9150577477a0
Groveland,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/82dd765b-6a8a-47bd-9c9d-f359c272479c/content,atr_recover,dspace_recover,483e02ea-d29c-4bfc-826f-1b87d07725ef
Newbury,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/cb0630c8-d57d-463e-a590-26f0a9124dcc/content,atr_recover,dspace_recover,49e1a29c-ee81-4fbf-8ecc-e3deffe1b738
Georgetown,2002,https://archives.lib.state.ma.us/server/api/core/bitstreams/f154e5e8-b479-4d2f-becc-c23a91dfbb16/content,atr_recover,dspace_recover,4ad17591-a3c5-4d30-bbef-797b08835446
Mount Washington,2006,https://archives.lib.state.ma.us/server/api/core/bitstreams/f1d98a81-c222-4317-a299-aa8f872ff4c7/content,atr_recover,dspace_recover,4ae0374b-8696-458e-b2b5-6d22e545d8ed
Mount Washington,2004,https://archives.lib.state.ma.us/server/api/core/bitstreams/57fcdcea-4d76-486a-a502-e3cc6bce5d3a/content,atr_recover,dspace_recover,4ec643ff-e0ad-49f1-aa88-4bc15aa43ccf
Hamilton,2014,https://archives.lib.state.ma.us/server/api/core/bitstreams/4233ac72-21e7-4384-9d9f-09ac541af040/content,atr_recover,dspace_recover,51d49e15-120d-4041-b32e-30cf837a298b
