municipality,year,url,kind,pool
Bridgewater,2019,https://www.bridgewaterma.gov/government/town_clerk/Documents/Government/Town Clerk/Annual Town Reports/Bridgewater_2019_Town-Report_final.pdf?t=202512260928320,atr_endpoint,endpoint
Bridgewater,2018,https://www.bridgewaterma.gov/government/town_clerk/Documents/Government/Town Clerk/Annual Town Reports/Bridgewater_2018_Town-Report_Final_rev_online-copy.pdf?t=202512260928320,atr_endpoint,endpoint
Bridgewater,2017,https://www.bridgewaterma.gov/government/town_clerk/Documents/Government/Town Clerk/Annual Town Reports/2017_Town-Report_final_with-financials_no-cover_202108101420598503.pdf?t=202512260928310,atr_endpoint,endpoint
Bridgewater,2016,https://www.bridgewaterma.gov/government/town_clerk/Documents/Government/Town Clerk/Annual Town Reports/Town-Report_Compiled_2016_final.pdf?t=202512260928370,atr_endpoint,endpoint
Bridgewater,2015,https://www.bridgewaterma.gov/government/town_clerk/Documents/Government/Town Clerk/Annual Town Reports/2015_Town-Report_2018-final.pdf?t=202512260928310,atr_endpoint,endpoint
Westminster,2020,https://westminster-ma.gov/DocumentCenter/View/1011/Annual-Town-Report-2020-PDF---MMA-Annual-Town-Report-Contest---Third-Place-Category-2,atr_endpoint,endpoint
Westminster,2019,https://westminster-ma.gov/DocumentCenter/View/1010/Annual-Town-Report-2019-PDF---no-MMA-contest-due-to-COVID,atr_endpoint,endpoint
Westminster,2018,https://westminster-ma.gov/DocumentCenter/View/1009/Annual-Town-Report-2018-PDF---MMA-Annual-Town-Report-Contest---Second-Place-Category-2,atr_endpoint,endpoint
Westminster,2017,https://westminster-ma.gov/DocumentCenter/View/1008/Annual-Town-Report-2017-PDF---MMA-Annual-Town-Report-Contest---Third-Place-Category-2,atr_endpoint,endpoint
Westminster,2016,https://westminster-ma.gov/DocumentCenter/View/1007/Annual-Town-Report-2016-PDF---MMA-Annual-Town-Report-Contest---First-Place-Category-2,atr_endpoint,endpoint
Westminster,2015,https://westminster-ma.gov/DocumentCenter/View/1006/Annual-Town-Report-2015-PDF---MMA-Annual-Town-Report-Contest---Third-Place-Category-2,atr_endpoint,endpoint
