municipality,missing_years,website
Rochester,21,townofrochestermass.com
East Brookfield,21,eastbrookfieldma.us
Phillipston,21,phillipston-ma.gov
Russell,21,townofrussell.us
New Braintree,21,newbraintreema.us
Wendell,21,wendellmass.us
Montgomery,21,montgomeryma.gov
Leyden,21,townofleyden.com
Tolland,21,tolland-ma.gov
Monroe,21,
Gosnold,21,townofgosnold.org
Oak Bluffs,20,oakbluffsma.gov
Leverett,20,leverett.ma.us
New Salem,20,newsalemma.org
Raynham,19,town.raynham.ma.us
Berkley,19,townofberkleyma.com
Hardwick,19,hardwick-ma.gov
Hancock,19,town.hancock.ma.us
Savoy,19,townofsavoy.com
Alford,19,townofalford.org
Tyringham,19,tyringham-ma.gov
Washington,18,washington-ma.gov/
Aquinnah,18,aquinnah-ma.gov
Holbrook,17,holbrookma.gov
Warren,17,warren-ma.gov
Clarksburg,17,clarksburgma.gov
Pelham,17,townofpelham.org
Chester,17,townofchester.net
Charlemont,17,charlemont-ma.us
Sandisfield,17,sandisfieldma.gov
Florida,17,townofflorida.org
Dracut,16,dracutma.gov
Somerset,16,townofsomerset.org
Tisbury,16,tisburyma.gov
Oakham,16,oakham-ma.gov
Otis,16,townofotisma.com
West Stockbridge,16,weststockbridge-ma.gov
Worthington,16,worthington-ma.us
Peru,16,townofperuma.com
Dudley,15,dudleyma.gov
Hopedale,15,hopedale-ma.gov
Bernardston,15,townofbernardston.org
Buckland,15,town.buckland.ma.us
Shutesbury,15,shutesbury.org
Gill,15,gillmass.org
Egremont,15,egremont-ma.gov
Royalston,15,royalston-ma.gov
Monterey,15,montereyma.gov
Goshen,15,goshen-ma.us
Windsor,15,windsormass.com
New Ashford,15,newashford-ma.us
Billerica,14,town.billerica.ma.us
Stoughton,14,stoughton.org
Danvers,14,danversma.gov
Millis,14,millisma.gov
Edgartown,14,edgartown-ma.us
Lenox,14,townoflenox.com
Cheshire,14,cheshire-ma.gov
Hudson,13,townofhudson.org
Abington,13,abingtonma.gov
Belchertown,13,belchertown.org
Athol,13,athol-ma.gov
Barre,13,townofbarre.com
Brimfield,13,brimfieldma.org
Lanesborough,13,lanesborough-ma.gov
Colrain,13,colrain-ma.gov
New Marlborough,13,newmarlboroughma.gov
Stoneham,12,stoneham-ma.gov
Webster,12,webster-ma.gov
Southbridge,12,ci.southbridge.ma.us
Auburn,12,auburnma.gov
East Bridgewater,12,eastbridgewaterma.gov
Rutland,12,townofrutland.org
Great Barrington,12,townofgb.org
Newbury,12,townofnewbury.org
Millville,12,millvillema.org
Holland,12,town.holland.ma.us
Truro,12,truro-ma.gov
Chesterfield,12,townofchesterfieldma.com
Warwick,12,warwickma.org
Hawley,12,townofhawley.com
Bridgewater,11,bridgewaterma.org
Ashland,11,ashlandmass.com
Medway,11,townofmedway.org
Templeton,11,templetonma.gov
Dighton,11,dighton-ma.gov
Orange,11,townoforange.org
Williamstown,11,williamstownma.gov
Hadley,11,hadleyma.org
Berlin,11,townofberlin.com
Becket,11,townofbecket.org
Conway,11,conwayma.gov
Erving,11,erving-ma.gov
Heath,11,townofheath.org
Foxborough,10,foxboroughma.gov
East Longmeadow,10,eastlongmeadowma.gov
Charlton,10,townofcharlton.net
Rehoboth,10,rehobothma.gov
Hanson,10,hanson-ma.gov
Sturbridge,10,sturbridge.gov
Montague,10,montague-ma.gov
Upton,10,uptonma.gov
West Boylston,10,westboylston-ma.gov
Halifax,10,halifax-ma.org
Sunderland,10,townofsunderland.us
Stockbridge,10,stockbridge-ma.gov
Ashfield,10,ashfield.org
Cummington,10,cummington-ma.gov
Plainfield,10,plainfield-ma.us
Wellesley,9,wellesleyma.gov
Winchester,9,winchester.us
Grafton,9,grafton-ma.gov
Bellingham,9,bellinghamma.org
Clinton,9,clintonma.gov
Spencer,9,spencerma.gov
Leicester,9,leicesterma.org
Maynard,9,townofmaynard-ma.gov
Brewster,9,brewster-ma.gov
Ware,9,townofware.com
Blackstone,9,townofblackstone.org
Wenham,9,wenhamma.gov
Sherborn,9,sherbornma.org
West Brookfield,9,wbrookfield.com
Wellfleet,9,wellfleet-ma.gov
Hinsdale,9,hinsdalemass.com
Shelburne,9,townofshelburne.com
Westhampton,9,westhampton-ma.com
Whately,9,whately.org
Richmond,9,richmondma.org
Natick,8,natickma.gov
Wilmington,8,wilmingtonma.gov
Holden,8,holdenma.gov
Sharon,8,townofsharon.net
Concord,8,concordma.gov
Seekonk,8,seekonk-ma.gov
Tyngsborough,8,tyngsboroughma.gov
Wrentham,8,wrentham.gov
Weston,8,westonma.gov
Lakeville,8,lakevillema.org
Winchendon,8,townofwinchendon.com
Hull,8,town.hull.ma.us
Adams,8,town.adams.ma.us
Lincoln,8,lincolntown.org
Rockport,8,rockportma.gov
Harvard,8,harvard-ma.gov
Mattapoisett,8,mattapoisett.net
Carlisle,8,carlislema.gov
Ashby,8,ci.ashby.ma.us
Granville,8,townofgranville.net
Walpole,7,walpole-ma.gov
Dedham,7,dedham-ma.gov
Yarmouth,7,yarmouth.ma.us
Canton,7,town.canton.ma.us
Norton,7,nortonma.org
Pembroke,7,pembroke-ma.gov
Westwood,7,townhall.westwood.ma.us
Wilbraham,7,wilbraham-ma.gov
Southborough,7,southboroughma.gov
Salisbury,7,salisburyma.gov
Townsend,7,townsendma.gov
Ayer,7,ayer.ma.us
Westminster,7,westminster-ma.gov
Merrimac,7,townofmerrimac.com
Topsfield,7,topsfield-ma.gov
Deerfield,7,deerfieldma.us
Avon,7,avon-ma.gov
Sheffield,7,sheffieldma.gov
Dartmouth,6,town.dartmouth.ma.us
Needham,6,needhamma.gov
North Attleborough,6,nattleboro.com
Marblehead,6,marblehead.org
Sandwich,6,sandwichmass.org
South Hadley,6,southhadley.org
Swansea,6,swanseama.gov
Holliston,6,townofholliston.us
Dennis,6,town.dennis.ma.us
Millbury,6,millburyma.gov
Harwich,6,harwich-ma.gov
Oxford,6,oxfordma.us
Lynnfield,6,town.lynnfield.ma.us
Lunenburg,6,lunenburgma.gov
Sutton,6,suttonma.org
Southwick,6,southwickma.org
Monson,6,monson-ma.gov
Groveland,6,grovelandma.com
Chatham,6,chatham-ma.gov
Southampton,6,townofsouthampton.org
Rowley,6,townofrowley.net
Granby,6,granby-ma.gov
Dover,6,doverma.gov
Manchester,6,
Princeton,6,town.princeton.ma.us
Northfield,6,northfieldma.gov
Huntington,6,huntingtonma.us
Shrewsbury,5,shrewsburyma.gov
North Andover,5,northandoverma.gov
Marshfield,5,marshfield-ma.gov
Easton,5,easton.ma.us
Northborough,5,town.northborough.ma.us
Whitman,5,whitman-ma.gov
Nantucket,5,nantucket-ma.gov
Uxbridge,5,uxbridge-ma.gov
Georgetown,5,georgetownma.gov
Cohasset,5,cohassetma.org
Shirley,5,shirley-ma.gov
Dalton,5,dalton-ma.gov
North Brookfield,5,northbrookfield.net
Hubbardston,5,hubbardstonma.us
West Tisbury,5,westtisbury-ma.gov
Brookfield,5,brookfieldma.us
Chilmark,5,chilmarkma.gov
Falmouth,4,falmouthma.gov
Hingham,4,hingham-ma.gov
Wareham,4,wareham.ma.us
Northbridge,4,northbridgemass.org
Swampscott,4,swampscottma.gov
Bedford,4,bedfordma.gov
Pepperell,4,town.pepperell.ma.us
Sterling,4,sterling-ma.gov
Dunstable,4,dunstable-ma.gov
Nahant,4,nahant.org
Ludlow,3,ludlow.ma.us
Bourne,3,townofbourne.com
Carver,3,carverma.gov
Freetown,3,freetownma.gov
Bolton,3,townofbolton.com
Boylston,3,boylston-ma.gov
Belmont,2,belmont-ma.gov
Westford,2,westfordma.gov
Groton,2,grotonma.gov
Douglas,2,douglas-ma.gov
Stow,2,stow-ma.gov
Ashburnham,2,ashburnham-ma.gov
West Newbury,2,wnewbury.org
Hatfield,2,townofhatfield.org
Plympton,2,town.plympton.ma.us
Wales,2,townofwales.net
Petersham,2,townofpetersham.org
Norwood,1,norwoodma.gov
Wakefield,1,wakefield.ma.us
Burlington,1,burlington.org
Rockland,1,rockland-ma.gov
North Reading,1,northreadingma.gov
Orleans,1,town.orleans.ma.us
Boxborough,1,boxborough-ma.gov
Marion,1,marionma.gov
Blandford,1,townofblandford.com
