municipality,year,url,kind,pool,prior_pages
Blandford,2012,https://townofblandford.gov/wp-content/uploads/2016/04/report2011-2012.pdf,atr,ocr,50
Bolton,2017,https://web.archive.org/web/20220301233522id_/https://www.townofbolton.com/sites/g/files/vyhlif2836/f/uploads/2017_annual_report_1_of_2.pdf,atr,ocr,83
Carlisle,2014,https://web.archive.org/web/20161215093728id_/http://www.carlislema.gov/Pages/CarlisleMA_Clerk/ZBAExhibits/BREM%20013%2007-28-2014%20Lifetime%20Green%20Homes%20Annual%20Report.pdf,atr,ocr,2
Dracut,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/d93230fe-ebde-400f-817a-008bada763fe/content,atr,ocr,240
Essex,2018,https://essexma.org/ImageRepository/Document?documentID=217,atr,ocr,2
Fitchburg,2014,https://web.archive.org/web/20150912023834id_/http://www.fitchburgma.gov/government/city_clerk/elections-voting/ElectionResults/2014-09-09-primary-official-09122014145055.pdf,atr,ocr,2
Georgetown,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/0788a38a-5361-4290-94b8-7ed663657219/content,atr,ocr,146
Gloucester,2013,http://www.gloucester-ma.gov/DocumentCenter/View/4080/Official-Results-11-5-2013-municipal-election?bidId=,atr,ocr,12
Grafton,2020,https://web.archive.org/web/20211229042631id_/https://www.grafton-ma.gov/sites/g/files/vyhlif4461/f/pages/amended_local_election_results_6-23-2020.pdf,atr,ocr,4
Groveland,2009,https://web.archive.org/web/20220319210453id_/https://www.grovelandma.com/sites/g/files/vyhlif3191/f/uploads/2009_annual_town_report.pdf,atr,ocr,107
Hinsdale,2001,https://hinsdalemass.com/DocumentCenter/View/286/2001-Annual-Report,atr,ocr,78
Hull,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/539988fb-b1ac-4d76-be52-e3efa4793bf0/content,atr,ocr,201
Lee,2003,https://archives.lib.state.ma.us/server/api/core/bitstreams/87a54546-140e-4f9e-912f-591c6eac365b/content,atr,ocr,113
Millbury,2008,https://millburyma.gov/DocumentCenter/View/242/Annual-Town-Report---FY-2008,atr,ocr,134
Mount Washington,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/eaa1f924-0bc8-4834-a78b-51a1326837f2/content,atr,ocr,24
Newbury,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/b05b4c4d-c215-4149-8e3d-d66a85c69356/content,atr,ocr,94
North Brookfield,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/161394f2-d7d9-4252-bf93-2413d04fab82/content,atr,ocr,164
Norwell,2017,https://archives.lib.state.ma.us/server/api/core/bitstreams/663d2e65-3dab-485f-b469-7185ee887f3b/content,atr,ocr,182
Petersham,2005,https://archives.lib.state.ma.us/server/api/core/bitstreams/dbe8fb6b-9a48-4196-87a9-c6b415ba3242/content,atr,ocr,110
Quincy,2017,https://cms7files1.revize.com/bedfordtownshipmi/2017%20BTFD%20Annual%20Report.pdf,atr,ocr,34
Royalston,2015,https://archives.lib.state.ma.us/server/api/core/bitstreams/6761839f-946a-4e5d-8db3-2409a048b7c7/content,atr,ocr,104
Sandisfield,2016,https://web.archive.org/web/20170131053916id_/http://www.sandisfieldma.gov/sites/sandisfieldma/files/uploads/2016-election-results.pdf,atr,ocr,1
Saugus,2016,https://archives.lib.state.ma.us/server/api/core/bitstreams/b51370d7-e627-4ecd-b7b1-3fe45080100a/content,atr,ocr,228
Seekonk,2018,https://web.archive.org/web/20220301201031id_/https://www.seekonk-ma.gov/sites/g/files/vyhlif1191/f/pages/seekonk_public_schools-annual_report_2018.pdf,atr,ocr,28
Sutton,2017,https://web.archive.org/web/20220301230835id_/https://www.suttonma.org/sites/g/files/vyhlif3901/f/uploads/2017_annual_report.pdf,atr,ocr,140
Wales,2012,https://townofwales.net/DocumentCenter/View/3529/05-29-2012-Election-Results,atr,ocr,1
Bolton,2018,https://web.archive.org/web/20220302184213id_/https://www.townofbolton.com/system/files/uploads/2018_annual_report_part_1_of_2.pdf,atr,ocr,97
Carver,2018,https://web.archive.org/web/20260117161249id_/https://www.carverma.gov/sites/g/files/vyhlif4221/f/uploads/fincom_annual_report_2018.pdf,atr,ocr,3
Dracut,2020,https://archives.lib.state.ma.us/server/api/core/bitstreams/9a7c0b29-f373-4bd5-81fc-cfb7f7bf709f/content,atr,ocr,258
