municipality,year,url,kind,pool,discovered_via,anchor
Amesbury,,http://www.amesburyma.gov/sites/amesburyma/files/file/file/amesbury_fy14_annual_report.pdf,atr,nodes,wayback,
Amesbury,,http://www.amesburyma.gov/sites/amesburyma/files/file/file/annual_report_fy16.pdf,atr,nodes,wayback,
Amesbury,,http://www.amesburyma.gov/sites/amesburyma/files/file/file/fy15_annual_report_final.pdf,atr,nodes,wayback,
Amesbury,,http://www.amesburyma.gov/sites/amesburyma/files/file/file/fy15_annual_report_final_0.pdf,atr,nodes,wayback,
Amesbury,,http://www.amesburyma.gov:80/sites/amesburyma/files/file/file/fy13_annual_report_-_nurse.pdf,atr,nodes,wayback,
Amesbury,,http://www.amesburyma.gov:80/sites/amesburyma/files/file/file/fy14_annual_report.pdf,atr,nodes,wayback,
Amesbury,,http://www.amesburyma.gov:80/sites/amesburyma/files/file/file/fy14_annual_report_0.pdf,atr,nodes,wayback,
Amesbury,,https://www.amesburyma.gov/sites/amesburyma/files/uploads/city_of_amesbury_annual_report_fy19.pdf,atr,nodes,wayback,
Amesbury,,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/file/file/amesbury_fy14_annual_report.pdf,atr,nodes,wayback,
Amesbury,,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/file/file/fy15_annual_report_final_0.pdf,atr,nodes,wayback,
Amesbury,,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/uploads/city_of_amesbury_annual_report_fy19.pdf,atr,nodes,wayback,
Amesbury,,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/uploads/fy20_annual_report_final_for_web.pdf,atr,nodes,wayback,
Amesbury,,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/uploads/fy21_annual_report.pdf,atr,nodes,wayback,
Andover,,http://andoverma.gov/publish/townreport.pdf,atr,nodes,wayback,
Andover,,http://andoverma.gov/publish/townreport07.pdf,atr,nodes,wayback,
Andover,,http://andoverma.gov/publish/townreport08.pdf,atr,nodes,wayback,
Aquinnah,,http://www.aquinnah-ma.gov/sites/default/files/06-20-17%20AQUINNAH%20ANNUAL%20REPORT._4_0.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_Assessor/AnnualReports/AssessorAR05.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_Comptroller/AnnualReports/CompAR05.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_ConComm/annualreports/ConservationAR05.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_HServe/AnnualReports/HSAR05.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_Personnel/AnnualReports/PersonnelAR05.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_Police/annualreports/PoliceAR05.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_TownMgr/TMgr%20Annual%20Reports/TMAR05.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/CentralManagement.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/CommunityDevelopment.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/CommunitySafety.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/Cultural.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/Education.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/ExecutiveServices.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/FinancialManagement.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/HumanServices.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/Legislative.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/PublicWorks.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/TownClerkElections.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_WebDocs/AnnualReport/reference.pdf,atr,nodes,wayback,
Arlington,,http://www.arlingtonma.gov/public_documents/ArlingtonMA_Clerk/annualreports/TownClerkAR05.pdf,atr,nodes,wayback,
Ashburnham,,http://www.ashburnham-ma.gov/Pages/AshburnhamMA_BOS/Board%20of%20Selectmen%20Annual%20Reports/BOARD%20OF%20SELECTMEN%202015%20ANNUAL%20REPORT.pdf,atr,nodes,wayback,
Ashburnham,,http://www.ashburnham-ma.gov/pages/AshburnhamMA_Admin/annual/Town%20Administrator%202010%20Annual%20%20Report.pdf,atr,nodes,wayback,
Ashburnham,,http://www.ashburnham-ma.gov/pages/AshburnhamMA_Planning/pb-annual%20report%202009.pdf,atr,nodes,wayback,
Ashburnham,,http://www.ashburnham-ma.gov/pages/ashburnhamma_admin/ANNUAL%20TOWN%20REPORT%202010.pdf,atr,nodes,wayback,
Ashburnham,,http://www.ashburnham-ma.gov/pages/ashburnhamma_admin/annual/Town%20Administrator%202009%20Annual%20Report.pdf,atr,nodes,wayback,
Ashburnham,,http://www.ashburnham-ma.gov/pages/ashburnhamma_admin/annual/Town%20Administrator%202011%20Annual%20Report.pdf,atr,nodes,wayback,
Ashland,,http://www.ashlandmass.com:80/board_of_selectmen/public_documents/Annual%20Report%202004%20Ashland.pdf,atr,nodes,wayback,
Athol,,https://www.athol-ma.gov/sites/g/files/vyhlif2741/f/file/file/fy17_annual_town_report.pdf,atr,nodes,wayback,
Athol,,https://www.athol-ma.gov/sites/g/files/vyhlif2741/f/file/file/fy18_annual_report_draft_5_14_19.pdf,atr,nodes,wayback,
Athol,,https://www.athol-ma.gov/sites/g/files/vyhlif2741/f/uploads/annual_report_fy19.pdf,atr,nodes,wayback,
Avon,,http://www.avon-ma.gov/sites/avonma/files/file/file/annualreport08.pdf,atr,nodes,wayback,
Avon,,http://www.avon-ma.gov/sites/avonma/files/file/file/annualreport09.pdf,atr,nodes,wayback,
Avon,,https://www.avon-ma.gov/sites/g/files/vyhlif271/f/uploads/05-03-19_revised_final_avon_annual_town_report.pdf,atr,nodes,wayback,
Barnstable,,http://www.town.barnstable.ma.us:80/AnnualReports/AnnReprt06.pdf,atr,nodes,wayback,
Barnstable,,https://tobweb.town.barnstable.ma.us/BoardsCommittees%5C%5CCFAC%5C%5CAnnual_Reports%5C%5CFY19-CFAC-Annual-Report.pdf,atr,nodes,wayback,
Barnstable,,https://tobweb.town.barnstable.ma.us/BoardsCommittees%5C%5CCFAC%5C%5CAnnual_Reports%5C%5CFY20-CFAC-Annual-Report.pdf,atr,nodes,wayback,
Barnstable,,https://www.town.barnstable.ma.us/BoardsCommittees%5C%5CCFAC%5C%5CAnnual_Reports%5C%5CFY19-CFAC-Annual-Report.pdf,atr,nodes,wayback,
Barnstable,,https://www.town.barnstable.ma.us/BoardsCommittees%5C%5CCFAC%5C%5CAnnual_Reports%5C%5CFY20-CFAC-Annual-Report.pdf,atr,nodes,wayback,
Becket,,http://www.townofbecket.org/Public_Documents/BecketMA_BComm/Becket%20GC%20Annual%20Report%20Fall%202013updated030614.pdf,atr,nodes,wayback,
Becket,,http://www.townofbecket.org/Public_Documents/BecketMA_Road/SG%20Annual%20Report.pdf,atr,nodes,wayback,
Becket,,https://www.townofbecket.org/sites/g/files/vyhlif4146/f/uploads/photo_contest_town_report_cover_invitation_memo_1.pdf,atr,nodes,wayback,
Becket,,https://www.townofbecket.org/sites/g/files/vyhlif4146/f/uploads/photo_contest_town_report_cover_invitation_memo_3.pdf,atr,nodes,wayback,
Bedford,,http://www.bedfordma.gov/sites/bedfordma/files/file/file/final_web_version_annual_report.pdf,atr,nodes,wayback,
Bedford,,http://www.bedfordnh.org:80/Pages/BedfordNH_WebDocs/Bedford%20Annual%20Report%2020141.pdf,atr,nodes,wayback,
Belchertown,,http://www.belchertown.org/departments/planning/Annual%20Report%20'08.pdf,atr,nodes,wayback,
Belchertown,,http://www.belchertown.org:80/departments/dpw/downloads/Year%201%20Annual%20Report.pdf,atr,nodes,wayback,
Belmont,,http://www.belmont-ma.gov/sites/belmontma/files/u146/npdes_annual_report_4-1-14_to_3-31-15.pdf,atr,nodes,wayback,
Belmont,,http://www.belmont-ma.gov:80/sites/belmontma/files/file/file/raffle_annual_report.pdf,atr,nodes,wayback,
Belmont,,https://www.belmont-ma.gov/sites/g/files/vyhlif12826/f/uploads/annual_report_total_-_final_-_for_web.pdf,atr,nodes,wayback,
Belmont,,https://www.belmont-ma.gov/sites/g/files/vyhlif2801/f/file/file/raffle_annual_report_master.pdf,atr,nodes,wayback,
Berlin,,https://www.townofberlin.com/sites/g/files/vyhlif4156/f/uploads/fy_18_town_report_page_1-2.pdf,atr,nodes,wayback,
Berlin,,https://www.townofberlin.com/sites/g/files/vyhlif4156/f/uploads/fy_18_town_report_page_3.pdf,atr,nodes,wayback,
Berlin,,https://www.townofberlin.com/sites/g/files/vyhlif4156/f/uploads/fy_18_town_report_page_4.pdf,atr,nodes,wayback,
Berlin,,https://www.townofberlin.com/sites/g/files/vyhlif4156/f/uploads/fy_18_town_report_page_5.pdf,atr,nodes,wayback,
Berlin,,https://www.townofberlin.com/sites/g/files/vyhlif4156/f/uploads/fy_18_town_report_page_6.pdf,atr,nodes,wayback,
Beverly,,http://www.beverlyma.gov/docs/dm/Annual-Report-FY09.pdf,atr,nodes,wayback,
Beverly,,http://www.beverlyma.gov/docs/news/FY-11-Annual-Report.pdf,atr,nodes,wayback,
Beverly,,http://www.beverlyma.gov/public_documents/beverlyma_bboard/Mayor's%20Annual%20Report%202009.pdf,atr,nodes,wayback,
Blackstone,,https://www.townofblackstone.org/sites/blackstonema/files/uploads/ms4_5-1-18_to_6-30-19_annual_report.pdf,atr,nodes,wayback,
Blackstone,,https://www.townofblackstone.org/sites/g/files/vyhlif166/f/uploads/blackstone_ma_-_year_4_ms4_annual_report_-_signed.pdf,atr,nodes,wayback,
Blackstone,,https://www.townofblackstone.org/sites/g/files/vyhlif166/f/uploads/blackstone_ma_-_year_5_ms4_annual_report_-_final_-_signed.pdf,atr,nodes,wayback,
Blackstone,,https://www.townofblackstone.org/sites/g/files/vyhlif166/f/uploads/ms4_5-1-18_to_6-30-19_annual_report.pdf,atr,nodes,wayback,
Blandford,2019,https://townofblandford.gov/wp-content/uploads/2019/04/gateway-agreement.pdf,atr_by_context,nodes,crawl,You can download the Gateway Agreement here
Bolton,,http://townofbolton.com/Pages/BoltonMA_HumanServicesSafety/Annual%20Report%202015.pdf,atr,nodes,wayback,
Bolton,,http://townofbolton.com/Pages/BoltonMA_Topics/Archives/Annual%20Report%202015%20Part%201.pdf,atr,nodes,wayback,
Bolton,,http://townofbolton.com/Pages/BoltonMA_Topics/Archives/Annual%20Report%202015%20Part%202.pdf,atr,nodes,wayback,
Bolton,,http://townofbolton.com/Pages/BoltonMA_Topics/Archives/Annual%20Report%202015%20Part%203.pdf,atr,nodes,wayback,
Bolton,,http://townofbolton.com/pages/BoltonMA_Clerk/Bolton%20Annual%20Report%20Raffle%20Form%202.pdf,atr,nodes,wayback,
Bolton,,http://townofbolton.com/pages/BoltonMA_ZBA/ZBA%20Annual%20Report%20files/ZBA_Annual%20Report%202013.pdf,atr,nodes,wayback,
Bolton,,http://townofbolton.com/pages/BoltonMA_ZBA/ZBA%20Annual%20Report%20files/ZBA_Annual%20Report%202014.pdf,atr,nodes,wayback,
Bolton,,http://townofbolton.com/pages/BoltonMA_ZBA/ZBA%20Annual%20Report%20files/ZBA_Annual%20Report%202015.pdf,atr,nodes,wayback,
Bolton,,http://www.townofbolton.com/pages/BoltonMA_Health/Annual%20Reports/BOH%20Report%202014.pdf,atr,nodes,wayback,
Boston,,https://www.consumer.ftc.gov/sites/www.consumer.ftc.gov/files/articles/pdf/pdf-0093-annual-report-request-form.pdf,atr,nodes,crawl,Annual Credit Report Request Form
Bourne,,http://www.townofbourne.com/Town%20Report.pdf,atr,nodes,wayback,
Bourne,,http://www.townofbourne.com/sites/bournema/files/file/file/townreport07a.pdf,atr,nodes,wayback,
Bourne,,http://www.townofbourne.com:80/sites/bournema/files/file/file/fy12townreport.pdf,atr,nodes,wayback,
Bourne,,https://www.townofbourne.com/sites/g/files/vyhlif12841/f/file/file/fy12townreport.pdf,atr,nodes,wayback,
Bourne,,https://www.townofbourne.com/sites/g/files/vyhlif12841/f/file/file/townreport07a.pdf,atr,nodes,wayback,
Bourne,,https://www.townofbourne.com/sites/g/files/vyhlif7346/f/file/file/fy12townreport.pdf,atr,nodes,wayback,
Bourne,,https://www.townofbourne.com/sites/g/files/vyhlif7346/f/file/file/townreport07a.pdf,atr,nodes,wayback,
Bourne,,https://www.townofbourne.com/sites/g/files/vyhlif7346/f/uploads/capelightbourne_fy19_town_report_3.pdf,atr,nodes,wayback,
Boxborough,,http://www.boxborough-ma.gov/sites/boxboroughma/files/file/file/townreport03.pdf,atr,nodes,wayback,
Boxborough,,http://www.boxborough-ma.gov/sites/boxboroughma/files/file/file/townreport03_0.pdf,atr,nodes,wayback,
Boxborough,,http://www.boxborough-ma.gov/sites/boxboroughma/files/file/file/townreport11.pdf,atr,nodes,wayback,
Boxborough,,http://www.boxborough-ma.gov/sites/boxboroughma/files/file/file/townreport11_0.pdf,atr,nodes,wayback,
Boxford,,http://town.boxford.ma.us/Pages/BoxfordMA_Bcomm/BOA/Annual%20Report%202014.pdf,atr,nodes,wayback,
Boxford,,http://town.boxford.ma.us/pages/boxfordma_assessors/Annual%20Report%202014.pdf,atr,nodes,wayback,
Boxford,,https://www.town.boxford.ma.us/sites/g/files/vyhlif321/f/uploads/ma-annual-report-yr1-boxford-signed.pdf,atr,nodes,wayback,
Boylston,,https://www.boylston-ma.gov/sites/g/files/vyhlif4171/f/uploads/boylston_permit_year_1_annual_report.pdf,atr,nodes,wayback,
Boylston,,https://www.boylston-ma.gov/sites/g/files/vyhlif4171/f/uploads/boylston_permit_year_2_annual_report.pdf,atr,nodes,wayback,
Boylston,,https://www.boylston-ma.gov/sites/g/files/vyhlif4171/f/uploads/boylston_permit_year_5_annual_report_web.pdf,atr,nodes,wayback,
Boylston,,https://www.boylston-ma.gov/sites/g/files/vyhlif4171/f/uploads/boylston_year_3_annual_report.pdf,atr,nodes,wayback,
Boylston,,https://www.boylston-ma.gov/system/files/uploads/boylston_permit_year_4_annual_report_web.pdf,atr,nodes,wayback,
Brewster,,https://www.brewster-ma.gov/sites/g/files/vyhlif16031/f/uploads/raffle_annual_report_pdf.pdf,atr,nodes,wayback,
Brimfield,,http://www.brimfieldma.org/Pages/BRIMFIELD%20TOWN%20REPORT%20.pdf,atr,nodes,wayback,
Brimfield,,https://www.brimfieldma.org/sites/g/files/vyhlif4181/f/pages/brimfield_town_report.pdf,atr,nodes,wayback,
Brimfield,,https://www.brimfieldma.org/sites/g/files/vyhlif4181/f/pages/brimfield_town_report_1_2.pdf,atr,nodes,wayback,
Brockton,,http://brockton.ma.us/docs/default-source/documents/brockton-annual-report-3-26-16.pdf?sfvrsn=2,atr,nodes,wayback,
Brockton,,http://www.brockton.ma.us/docs/default-source/documents/brockton-annual-report-3-27-15.pdf?sfvrsn=2,atr,nodes,wayback,
Brockton,,http://www.brockton.ma.us/docs/documents/brockton-annual-report-3-25-13.pdf?sfvrsn=2,atr,nodes,wayback,
Brockton,,http://www.brockton.ma.us/docs/documents/brockton-annual-report-3-27-14.pdf?sfvrsn=2,atr,nodes,wayback,
Brookfield,,http://brookfieldma.us/documents/Annual%20Town%20Reports/20100101%20Annual%20Town%20Report%20-%202010.pdf,atr,nodes,wayback,
Brookfield,,http://brookfieldma.us/documents/Board%20of%20Selectmen/20041231%20Annual%20Report%202004.pdf,atr,nodes,wayback,
Brookfield,,http://brookfieldma.us/documents/Board%20of%20Selectmen/20051231%20Annual%20Report%202005.pdf,atr,nodes,wayback,
Brookfield,,http://brookfieldma.us/documents/Board%20of%20Selectmen/20061231%20Annual%20Report%202006.pdf,atr,nodes,wayback,
Brookfield,,http://brookfieldma.us/documents/Board%20of%20Selectmen/20071231%20Annual%20Report%202007.pdf,atr,nodes,wayback,
Brookfield,,http://brookfieldma.us/documents/Board%20of%20Selectmen/20081231%20Annual%20Report%202008.pdf,atr,nodes,wayback,
Brookfield,,http://brookfieldma.us/documents/Board%20of%20Selectmen/20091231%20Annual%20Report%202009.pdf,atr,nodes,wayback,
Brookfield,,http://www.brookfieldma.us/documents/Annual%20Town%20Reports/20041231%20Annual%20Report%202004.pdf,atr,nodes,wayback,
Brookfield,,http://www.brookfieldma.us/documents/Annual%20Town%20Reports/20051231%20Annual%20Report%202005.pdf,atr,nodes,wayback,
Brookfield,,http://www.brookfieldma.us/documents/Annual%20Town%20Reports/20061231%20Annual%20Report%202006.pdf,atr,nodes,wayback,
Brookfield,,http://www.brookfieldma.us/documents/Annual%20Town%20Reports/20071231%20Annual%20Report%202007.pdf,atr,nodes,wayback,
Brookfield,,http://www.brookfieldma.us/documents/Annual%20Town%20Reports/20081231%20Annual%20Report%202008.pdf,atr,nodes,wayback,
Brookfield,,http://www.brookfieldma.us/documents/Annual%20Town%20Reports/20091231%20Annual%20Report%202009.pdf,atr,nodes,wayback,
Burlington,,http://burlington.org/burlington/businesstest/uploads/AnnualReport.pdf,atr,nodes,wayback,
Burlington,,http://www.burlington.org/dpw/Stormwater/docs/AnnualReportMay0607.pdf,atr,nodes,wayback,
Burlington,,http://www.burlington.org/town_government/docs/annualreport%202011.pdf,atr,nodes,wayback,
Cambridge,,https://www.cambridgema.gov/-/media/Files/Traffic/cyclingsafetyordinance/cambridgecyclingordinancesecondannualreport.pdf,atr,nodes,wayback,
Cambridge,,https://www.cambridgema.gov/-/media/Files/Traffic/cyclingsafetyordinance/cambridgecyclingsafetyordinancefirstannualreport.pdf,atr,nodes,wayback,
Cambridge,,https://www.cambridgema.gov/-/media/Files/communicationsoffice/annualreportarchives/fy19annualreportweb.pdf,atr,nodes,wayback,
