municipality,year,url,kind,pool,prior_status
Mattapoisett,2010,http://www.mattapoisett.net/sites/mattapoisettma/files/uploads/annualreport.2010.pdf,atr,nodes,ERROR
Mattapoisett,2010,http://www.mattapoisett.net/sites/mattapoisettma/files/uploads/mfdannual_report2010.pdf,atr,nodes,ERROR
Mattapoisett,2010,http://www.mattapoisett.net/sites/mattapoisettma/files/uploads/tcannualreport2010.pdf,atr,nodes,ERROR
Mattapoisett,2010,http://www.mattapoisett.net/sites/mattapoisettma/files/uploads/townreport2010planning.pdf,atr,nodes,ERROR
Mattapoisett,2010,http://www.mattapoisett.net/sites/mattapoisettma/files/uploads/townreportph2010-2-1.pdf,atr,nodes,ERROR
Mattapoisett,2010,http://www.mattapoisett.net/sites/mattapoisettma/files/uploads/w-stownreport2010.pdf,atr,nodes,ERROR
Mattapoisett,2011,http://www.mattapoisett.net/sites/mattapoisettma/files/uploads/townclerk1annualtownelectionballotresults2011.pdf,result,catalog,ERROR
Mattapoisett,2011,http://www.mattapoisett.net/sites/mattapoisettma/files/uploads/townclerk4annualreport2011.pdf,atr,nodes,ERROR
Mattapoisett,2011,http://www.mattapoisett.net/sites/mattapoisettma/files/uploads/veteranstownreport2011.pdf,atr,nodes,ERROR
Mattapoisett,2012,http://www.mattapoisett.net/sites/mattapoisettma/files/uploads/buildingtownreport2012.pdf,atr,nodes,ERROR
Mattapoisett,2012,http://www.mattapoisett.net/sites/mattapoisettma/files/uploads/mfdannualreport2012.pdf,atr,nodes,ERROR
Mattapoisett,2012,http://www.mattapoisett.net/sites/mattapoisettma/files/uploads/naturalresourcetownreport2012.pdf,atr,nodes,ERROR
Mattapoisett,2012,http://www.mattapoisett.net/sites/mattapoisettma/files/uploads/tctown_report_info_2012_3.pdf,atr,nodes,ERROR
Mattapoisett,2013,http://www.mattapoisett.net/Pages/MattapoisettMA_WebDocs/2013TownReport/VeteransTR13.pdf,atr,nodes,ERROR
Mattapoisett,2013,http://www.mattapoisett.net/sites/mattapoisettma/files/uploads/2013animalcontroltownreport.pdf,atr,nodes,ERROR
