municipality,year,url,kind,pool,discovered_via,anchor
Abington,2014,http://www.abingtonma.gov/sites/abingtonma/files/file/file/2014_annual_report_of_the_abington_fire_department.pdf,atr,nodes,wayback,
Abington,2014,http://www.abingtonma.gov/sites/abingtonma/files/file/file/2014_town_report.pdf,atr,nodes,wayback,
Abington,2014,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/file/file/2014_town_report.pdf,atr,nodes,wayback,
Abington,2015,http://www.abingtonma.gov/sites/abingtonma/files/file/file/2015_town_annual_report_0.pdf,atr,nodes,wayback,
Abington,2015,https://www.abingtonma.gov/sites/abingtonma/files/file/file/2015_annual_report_of_the_abington_fire_department.docx.pdf,atr,nodes,wayback,
Abington,2015,https://www.abingtonma.gov/sites/abingtonma/files/file/file/2015_town_annual_report.pdf,atr,nodes,wayback,
Abington,2015,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/file/file/2015_town_annual_report_0.pdf,atr,nodes,wayback,
Abington,2016,http://www.abingtonma.gov:80/sites/abingtonma/files/unofficial_election_results_4-30-2016.pdf,result,catalog,wayback,
Abington,2017,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/uploads/2017_town_report.pdf,atr,nodes,wayback,
Abington,2019,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/uploads/abington_town_report_2019_web_file.pdf,atr,nodes,wayback,
Acushnet,2018,https://www.acushnet.ma.us/sites/g/files/vyhlif2721/f/uploads/town_report_2018_v3.pdf,atr,nodes,wayback,
Agawam,2014,http://www.agawam.ma.us/filestorage/2862/2882/2979/2014_NPDES_Annual_Report.pdf,atr,nodes,wayback,
Amesbury,2008,http://www.amesburyma.gov/sites/amesburyma/files/file/file/annual_report_2008_0.pdf,atr,nodes,wayback,
Amesbury,2009,http://www.amesburyma.gov/sites/amesburyma/files/file/file/annual_report_2009.pdf,atr,nodes,wayback,
Amesbury,2010,http://www.amesburyma.gov/sites/amesburyma/files/file/file/annual_report_2010.pdf,atr,nodes,wayback,
Amesbury,2010,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/file/file/annual_report_2010.pdf,atr,nodes,wayback,
Amesbury,2011,http://www.amesburyma.gov/sites/amesburyma/files/file/file/annual_report_2011.pdf,atr,nodes,wayback,
Amesbury,2011,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/file/file/annual_report_2011.pdf,atr,nodes,wayback,
Amesbury,2012,http://www.amesburyma.gov/sites/amesburyma/files/file/file/annual_report_2012.pdf,atr,nodes,wayback,
Amesbury,2012,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/file/file/annual_report_2012.pdf,atr,nodes,wayback,
Amesbury,2013,http://www.amesburyma.gov/sites/amesburyma/files/file/file/annual_report_2013.pdf,atr,nodes,wayback,
Amesbury,2013,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/file/file/annual_report_2013.pdf,atr,nodes,wayback,
Amesbury,2015,http://www.amesburyma.gov/sites/amesburyma/files/11-3-2015_unofficial_final_tally.pdf,result,catalog,wayback,
Amesbury,2016,https://www.amesburyma.gov/sites/amesburyma/files/file/file/2016_annual_report.pdf,atr,nodes,wayback,
Amesbury,2016,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/file/file/2016_annual_report.pdf,atr,nodes,wayback,
Amesbury,2018,https://www.amesburyma.gov/sites/amesburyma/files/uploads/amesbury_annual_report_fy2018.pdf,atr,nodes,wayback,
Amesbury,2019,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/uploads/2019_annual_report_final.pdf,atr,nodes,wayback,
Amesbury,2020,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/news/november_3_2020_unofficial_election_results.pdf,result,catalog,wayback,
Amesbury,2020,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/uploads/2020_edip_annual_report_-_archgrove_hospitality.pdf,atr,nodes,wayback,
Amesbury,2020,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/uploads/2020_edip_annual_report_-_designwerkes.pdf,atr,nodes,wayback,
Amesbury,2020,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/uploads/2020_edip_annual_report_-_global.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Accountant_report.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Boards_and_Committees%20.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Children's_Services.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Cultural_Council%20.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Design_Review_Board.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Finance_Committee.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Health_Department.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Historical_Commission.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Housing_Partnership.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Information_Systems.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Inspection_services.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Kanegasaki_report.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Municipal_Employees%20.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Parking_Commission.pdf,atr,nodes,wayback,
Amherst,2002,http://www.amherstma.gov:80/annual_reports/2002/Public_Works.pdf,atr,nodes,wayback,
Amherst,2003,http://www.amherstma.gov:80/annual_reports/2003/Jones_Library.pdf,atr,nodes,wayback,
Amherst,2004,http://www.amherstma.gov:80/annual_reports/2004/amherst_historical_commission.pdf,atr,nodes,wayback,
Amherst,2004,http://www.amherstma.gov:80/annual_reports/2004/dpw.pdf,atr,nodes,wayback,
Amherst,2004,http://www.amherstma.gov:80/annual_reports/2004/information_technology.pdf,atr,nodes,wayback,
Amherst,2004,http://www.amherstma.gov:80/annual_reports/2004/public_art_commission.pdf,atr,nodes,wayback,
Amherst,2005,http://www.amherstma.gov:80/annual_reports/2005/2005_accounting.pdf,atr,nodes,wayback,
Amherst,2005,http://www.amherstma.gov:80/annual_reports/2005/2005_amherst_facts.pdf,atr,nodes,wayback,
Amherst,2005,http://www.amherstma.gov:80/annual_reports/2005/2005_annual_report.pdf,atr,nodes,wayback,
Amherst,2005,http://www.amherstma.gov:80/annual_reports/2005/2005_appointed_municipal_employees.pdf,atr,nodes,wayback,
Amherst,2005,http://www.amherstma.gov:80/annual_reports/2005/2005_art_commission.pdf,atr,nodes,wayback,
Amherst,2005,http://www.amherstma.gov:80/annual_reports/2005/2005_assessors_office.pdf,atr,nodes,wayback,
Amherst,2005,http://www.amherstma.gov:80/annual_reports/2005/2005_buildings_and_maintenance.pdf,atr,nodes,wayback,
Amherst,2005,http://www.amherstma.gov:80/annual_reports/2005/2005_cable_advisoy_committee.pdf,atr,nodes,wayback,
Amherst,2005,http://www.amherstma.gov:80/annual_reports/2005/2005_clerk_registras.pdf,atr,nodes,wayback,
Amherst,2005,http://www.amherstma.gov:80/annual_reports/2005/2005_committees_and_boards.pdf,atr,nodes,wayback,
Amherst,2005,http://www.amherstma.gov:80/annual_reports/2005/2005_committees_recognition.pdf,atr,nodes,wayback,
Amherst,2005,http://www.amherstma.gov:80/annual_reports/2005/2005_community_preservation_act_committee.pdf,atr,nodes,wayback,
Amherst,2005,http://www.amherstma.gov:80/annual_reports/2005/2005_community_services.pdf,atr,nodes,wayback,
