municipality,year,url,host,old_cut_held,fetchable_from_a_runner
Ashfield,2017,https://ashfield.org/DocumentCenter/View/6620,ashfield.org,directory or list,no -- municipal host
Blackstone,2011,https://townofblackstone.org/DocumentCenter/View/1924/2011-Annual-Town-Report-PDF,townofblackstone.org,minutes or warrant,no -- municipal host
Blackstone,2016,https://townofblackstone.org/DocumentCenter/View/1929/2016-Annual-Town-Report-PDF,townofblackstone.org,minutes or warrant,no -- municipal host
Brookfield,2005,https://www.brookfieldma.us/wp-content/uploads/2026/01/20051231_annual_report_2005.pdf,www.brookfieldma.us,unclear,no -- municipal host
Chatham,2015,https://chatham-ma.gov/DocumentCenter/View/1721/2015-Annual-Town-Report-PDF,chatham-ma.gov,minutes or warrant,no -- municipal host
Chatham,2017,https://chatham-ma.gov/DocumentCenter/View/1717/2017-Annual-Town-Report-PDF,chatham-ma.gov,minutes or warrant,no -- municipal host
Cheshire,2017,https://storage.googleapis.com/juniper-media-library/56/2024/01/2017 Annual Town Report.pdf,storage.googleapis.com,minutes or warrant,no -- municipal host
Concord,2020,https://concordma.gov/DocumentCenter/View/29861/2020-Annual-Town-Report-Complete-Report,concordma.gov,minutes or warrant,no -- municipal host
Cummington,2011,http://www.cummington-ma.gov/SiteAssets/Docs/Town/TownReportFy2011.pdf,www.cummington-ma.gov,directory or list,no -- municipal host
Dalton,2020,https://dalton-ma.gov/wp-content/uploads/2021/06/Town-Report-file-2020.pdf,dalton-ma.gov,directory or list,no -- municipal host
Dunstable,2015,https://www.dunstable-ma.gov/sites/g/files/vyhlif4361/f/uploads/annual_town_report_2015.pdf,www.dunstable-ma.gov,directory or list,no -- municipal host
Falmouth,2020,https://www.falmouthma.gov/DocumentCenter/View/9003,www.falmouthma.gov,minutes or warrant,no -- municipal host
Groton,2017,https://portal.grotonma.gov/storage/Town_Reports/2017_Annual_Report.pdf,portal.grotonma.gov,minutes or warrant,no -- municipal host
Groton,2020,https://portal.grotonma.gov/storage/Town_Reports/2020_Annual_Report.pdf,portal.grotonma.gov,unclear,no -- municipal host
Hanover,2016,https://www.hanover-ma.gov/sites/g/files/vyhlif12081/f/file/file/journal_of_the_september_26_2016_special_town_meeting_and_october_1_election_for_town_report.pdf,www.hanover-ma.gov,unclear,no -- municipal host
Hanson,2015,https://www.hanson-ma.gov/sites/g/files/vyhlif3231/f/uploads/hanson_2015_annual_town_report.pdf,www.hanson-ma.gov,directory or list,no -- municipal host
Hanson,2016,https://www.hanson-ma.gov/sites/g/files/vyhlif3231/f/uploads/hanson_2016_annual_town_report.pdf,www.hanson-ma.gov,minutes or warrant,no -- municipal host
Hawley,2014,https://townofhawley.com/wp-content/uploads/2023/09/2014-Hawley-Annual-Town-Report.pdf,townofhawley.com,minutes or warrant,no -- municipal host
Hawley,2015,https://townofhawley.com/wp-content/uploads/2023/09/2015-Hawley-Annual-Town-Report.pdf,townofhawley.com,minutes or warrant,no -- municipal host
Hawley,2016,https://townofhawley.com/wp-content/uploads/2023/09/2016-Hawley-Annual-Town-Report.pdf,townofhawley.com,minutes or warrant,no -- municipal host
Hawley,2020,https://townofhawley.com/wp-content/uploads/2023/09/2020-Hawley-Town-Report.pdf,townofhawley.com,minutes or warrant,no -- municipal host
Holden,2017,https://holdenma.gov/DocumentCenter/View/764/2017-Annual-Town-Report,holdenma.gov,directory or list,no -- municipal host
Hopkinton,2017,https://ehop.org/wp/wp-content/uploads/2017/04/HOPKINTON-MA-2016-Annual-Town-Report.pdf,ehop.org,directory or list,no -- municipal host
Ludlow,2013,https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2013-Annual-Town-Report.pdf,ludlow.ma.us,directory or list,no -- municipal host
Ludlow,2014,https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2014-Annual-Town-Report.pdf,ludlow.ma.us,directory or list,no -- municipal host
Ludlow,2015,https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2015-Annual-Town-Report.pdf,ludlow.ma.us,minutes or warrant,no -- municipal host
Ludlow,2017,https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2017-Annual-Town-Report.pdf,ludlow.ma.us,directory or list,no -- municipal host
Ludlow,2019,https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2019-Annual-Town-Report.pdf,ludlow.ma.us,minutes or warrant,no -- municipal host
Lunenburg,2017,https://lunenburgma.gov/DocumentCenter/View/4124/FY-2017-Annual-Town-Report,lunenburgma.gov,directory or list,no -- municipal host
