stem,old_cut,new_cut,pages,picked,score,runner_up,detail,url,election
Bedford2009,minutes or warrant,looks like return,134,72-80,52,50,"page 76: 1 headings, 9 ballot words, 0 offices",https://web.archive.org/web/20210512233410id_/https://www.bedfordma.gov/sites/g/files/vyhlif6866/f/file/file/annual_report_2009_final-updated_2-26-10.pdf,a state or presidential election
Chelmsford2019,unclear,looks like return,224,129-136,52,51,"page 133: 1 headings, 9 ballot words, 0 offices",https://archives.lib.state.ma.us/server/api/core/bitstreams/87e9a885-4a7f-4293-b794-ada98c262407/content,a state or presidential election
Grafton2014,minutes or warrant,looks like return,122,9-15,73,71,"page 10: 1 headings, 14 ballot words, 8 offices",https://web.archive.org/web/20151022185021id_/http://www.grafton-ma.gov:80/sites/graftonma/files/uploads/bos_town_report_2014.pdf,a state or presidential election
Hingham2006,unclear,looks like return,206,83-90,45,19,"page 87: 1 headings, 6 ballot words, 3 offices",https://web.archive.org/web/20100527143020id_/http://www.hingham-ma.gov/document/Town_Annual_Report_2006.pdf,a state or presidential election
Millis2018,directory or list,looks like return,211,16-24,65,34,"page 17: 1 headings, 10 ballot words, 6 offices",https://web.archive.org/web/20220302180557id_/https://www.millisma.gov/sites/g/files/vyhlif901/f/uploads/2018_annual_town_report.pdf,a state or presidential election
Wellfleet2014,directory or list,looks like return,272,98-108,57,25,"page 99: 1 headings, 14 ballot words, 0 offices",https://web.archive.org/web/20161229162247id_/https://www.wellfleet-ma.gov/sites/wellfleetma/files/file/file/2014_annual_town_report_final.pdf,a state or presidential election
Ayer2017,minutes or warrant,looks like return,172,148-154,55,34,"page 149: 1 headings, 16 ballot words, 2 offices",https://web.archive.org/web/20210326065428id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2017_town_report_digital_copy.pdf,an annual town election
Ayer2019,minutes or warrant,looks like return,175,89-94,55,43,"page 90: 1 headings, 16 ballot words, 2 offices",https://web.archive.org/web/20210326065422id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2019_town_of_ayer_annual_report.pdf,an annual town election
Bedford2008,minutes or warrant,looks like return,118,62-68,66,64,"page 66: 1 headings, 5 ballot words, 5 offices",https://web.archive.org/web/20161226234149id_/http://www.bedfordma.gov/sites/bedfordma/files/file/file/2008_annual_report.pdf,an annual town election
Cohasset2010,minutes or warrant,looks like return,200,61-65,51,20,"page 62: 1 headings, 4 ballot words, 3 offices",https://web.archive.org/web/20160819001329id_/http://www.cohassetma.org//uploads/Town%20Reports/TownReportCombinedFinal_2010.pdf,an annual town election
