municipality,year,url,kind,pool,prior_status,prior_chars,prior_pages
Ashburnham,2010,https://ashburnham-ma.gov/DocumentCenter/View/537/Election-Results-February-11-2010-PDF,atr,section,OK,2031,2
Ashfield,2017,https://ashfield.org/DocumentCenter/View/6620,atr,section,RETRY,1176,2
Avon,2013,https://web.archive.org/web/20161203003429id_/http://www.avon-ma.gov/sites/avonma/files/u121/avon_2013_town_report.pdf,atr,section,OK,549753,294
Ayer,2013,https://web.archive.org/web/20150609151359id_/http://www.ayer.ma.us/pages/AyerMA_About/2013-town_report.pdf,atr,section,OK,345249,187
Ayer,2016,https://web.archive.org/web/20210326065421id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2016_town_of_ayer_annual_report.pdf,atr,section,OK,298622,193
Ayer,2017,https://web.archive.org/web/20210326065428id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2017_town_report_digital_copy.pdf,atr,section,OK,375767,172
Ayer,2018,https://web.archive.org/web/20210326065420id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2018_town_of_ayer_annual_report.pdf,atr,section,OK,181325,200
Ayer,2019,https://web.archive.org/web/20210326065422id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2019_town_of_ayer_annual_report.pdf,atr,section,OK,363533,175
Ayer,2020,https://web.archive.org/web/20220303071534id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2020_annual_report.pdf,atr,section,OK,289731,153
Barnstable,2008,https://web.archive.org/web/20120309100822id_/http://town.barnstable.ma.us/AnnualReports/annualreport2008.pdf,atr,section,OK,380096,196
Barnstable,2012,https://web.archive.org/web/20150921200335id_/http://www.town.barnstable.ma.us/AnnualReports/2012ARforweb.pdf,atr,section,OK,453724,182
Barnstable,2015,https://tobweb.town.barnstable.ma.us/Departments%5C%5CTownManager%5C%5CAnnual_Reports%5C%5CBarnstable-Annual-Report-2015.pdf,atr,section,OK,541104,206
Bedford,2008,https://web.archive.org/web/20161226234149id_/http://www.bedfordma.gov/sites/bedfordma/files/file/file/2008_annual_report.pdf,atr,section,OK,341315,118
Bedford,2009,https://web.archive.org/web/20210512233410id_/https://www.bedfordma.gov/sites/g/files/vyhlif6866/f/file/file/annual_report_2009_final-updated_2-26-10.pdf,atr,section,OK,390507,134
Bedford,2019,https://web.archive.org/web/20210511134143id_/https://www.bedfordma.gov/sites/g/files/vyhlif6866/f/pages/annualreport_2019_complete_ocrmissing.pdf,atr,section,OK,443779,226
Belmont,2004,https://web.archive.org/web/20140501022756id_/http://www.belmont-ma.gov:80/Public_Documents/BelmontMA_WebDocs/townreports/2004/selectmen.pdf,atr,section,OK,5890,2
Belmont,2008,https://web.archive.org/web/20160705223040id_/http://www.belmont-ma.gov:80/sites/belmontma/files/file/file/2008annualreport.pdf,atr,section,OK,510698,189
Berkley,2017,https://web.archive.org/web/20260106131938id_/https://townofberkleyma.gov/wp-content/uploads/2025/09/May-6-2017-Election-Results.pdf,atr,section,RETRY,590,1
Blackstone,2011,https://townofblackstone.org/DocumentCenter/View/1924/2011-Annual-Town-Report-PDF,atr,section,OK,63310,192
Blackstone,2012,https://web.archive.org/web/20220322084304id_/https://www.townofblackstone.org/sites/g/files/vyhlif166/f/uploads/2012_annual_town_report.pdf,atr,section,OK,153441,161
Blackstone,2016,https://townofblackstone.org/DocumentCenter/View/1929/2016-Annual-Town-Report-PDF,atr,section,OK,203205,168
Blackstone,2020,https://web.archive.org/web/20220301233020id_/https://www.townofblackstone.org/sites/g/files/vyhlif166/f/uploads/2020_annual_town_report.pdf,atr,section,OK,243941,160
Blandford,2002,https://townofblandford.gov/wp-content/uploads/2016/04/report2001-2002.pdf,atr,section,RETRY,60,61
Boxborough,2008,https://web.archive.org/web/20170130213339id_/http://www.boxborough-ma.gov/sites/boxboroughma/files/file/file/annualtownreport2008.pdf,atr,section,OK,505275,197
Boxborough,2010,https://web.archive.org/web/20161229091508id_/http://www.boxborough-ma.gov/sites/boxboroughma/files/file/file/2010townreport.pdf,atr,section,OK,488766,184
Boxborough,2014,https://web.archive.org/web/20170130224224id_/http://www.boxborough-ma.gov/sites/boxboroughma/files/file/file/annual_town_report_2014_.pdf,atr,section,OK,505194,184
Boxborough,2015,https://web.archive.org/web/20161228002347id_/http://www.boxborough-ma.gov/sites/boxboroughma/files/file/file/annual_town_report_2015_web.pdf,atr,section,OK,587292,202
Boxford,2019,https://web.archive.org/web/20220302181221id_/https://www.town.boxford.ma.us/sites/g/files/vyhlif321/f/uploads/annual_report_2019_website_0.pdf,atr,section,OK,437283,265
Boxford,2020,https://web.archive.org/web/20220301233643id_/https://www.town.boxford.ma.us/sites/g/files/vyhlif321/f/uploads/annual_report_2020_for_website_0.pdf,atr,section,OK,444907,278
Brewster,2020,https://web.archive.org/web/20211108193154id_/https://www.brewster-ma.gov/files/2020townreport.pdf,atr,section,OK,414288,179
Brookfield,2005,https://www.brookfieldma.us/wp-content/uploads/2026/01/20051231_annual_report_2005.pdf,atr,section,OK,215944,108
Brookfield,2012,"https://web.archive.org/web/20170117235143id_/http://brookfieldma.us/documents/Town%20Meeting/20120306%20Election%20Results%20Report%20-%20Republican%20-%20March%206,%202012.pdf",atr,section,RETRY,792,1
Brookfield,2016,"https://web.archive.org/web/20170113162651id_/http://brookfieldma.us/documents/Town%20Meeting/20160301%20Election%20Results%20Report%20-%20Republican%20-%20March%201,%202016.pdf",atr,section,RETRY,861,2
Buckland,2019,https://www.town.buckland.ma.us/sites/g/files/vyhlif356/f/uploads/2019_annual_report.pdf,atr,section,RETRY,73,74
Burlington,2013,https://web.archive.org/web/20151009201441id_/http://www.burlington.org/community_development/docs/VETERANS_SERVICES/2013_Burlington_MA_Annual_Report_Revised_for_Website.pdf,atr,section,OK,695705,203
Burlington,2014,https://web.archive.org/web/20151009201635id_/http://www.burlington.org/community_development/docs/VETERANS_SERVICES/revised_web_2014_Annual_Report.pdf,atr,section,OK,650598,261
Burlington,2015,https://web.archive.org/web/20161123002812id_/http://www.burlington.org/town_government/docs/2015%20BURLINGTON%20MA%20ANNUAL%20REPORT.pdf,atr,section,OK,666110,299
Burlington,2016,https://web.archive.org/web/20170612181937id_/http://www.burlington.org/2016%20Burlington%20Annual%20Report.pdf,atr,section,OK,722714,331
Burlington,2017,https://web.archive.org/web/20180714065950id_/http://www.burlington.org:80/2017ANNUALREPORT.pdf,atr,section,OK,768881,339
Burlington,2018,https://web.archive.org/web/20200401072736id_/http://www.burlington.org/BurlingtonAnnualReport2018F.pdf,atr,section,OK,751662,343
Canton,2005,https://web.archive.org/web/20060615105654id_/http://www.town.canton.ma.us:80/PDF_files/Annual_Report-2005.pdf,atr,section,RETRY,365,366
Carlisle,2015,https://web.archive.org/web/20161215074008id_/http://www.carlislema.gov/Pages/CarlisleMA_Clerk/town%20records/2015%20Town%20Report%20Document.pdf,atr,section,OK,394454,237
Carver,2002,https://web.archive.org/web/20240715154315id_/https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/2002_town_report.pdf,atr,section,OK,194857,140
Carver,2006,https://web.archive.org/web/20240715074616id_/https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/2006_town_report.pdf,atr,section,OK,275787,158
Carver,2013,https://web.archive.org/web/20240716095318id_/https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/2013_town_report.pdf,atr,section,OK,220319,154
Carver,2019,https://web.archive.org/web/20240707084038id_/https://www.carverma.gov/sites/g/files/vyhlif4221/f/pages/2019_town_report.pdf,atr,section,OK,244779,133
Charlemont,2020,https://www.charlemont-ma.us/files/CharlemontTownReportForYearEnding2020.pdf,atr,section,RETRY,103,104
Charlton,2009,https://archives.lib.state.ma.us/server/api/core/bitstreams/8cd6614c-f769-4490-b399-c1bb926b6768/content,atr,section,OK,543656,253
Chatham,2015,https://chatham-ma.gov/DocumentCenter/View/1721/2015-Annual-Town-Report-PDF,atr,section,OK,527663,130
Chatham,2017,https://chatham-ma.gov/DocumentCenter/View/1717/2017-Annual-Town-Report-PDF,atr,section,OK,480573,130
Chelmsford,2019,https://archives.lib.state.ma.us/server/api/core/bitstreams/87e9a885-4a7f-4293-b794-ada98c262407/content,atr,section,OK,552878,224
Cheshire,2017,https://storage.googleapis.com/juniper-media-library/56/2024/01/2017 Annual Town Report.pdf,atr,section,RETRY,0,0
Cohasset,2006,https://web.archive.org/web/20160727104131id_/http://www.cohassetma.org:80/uploads/forms/townreportcombinedfinal_2006.pdf,atr,section,OK,388295,232
Cohasset,2008,https://web.archive.org/web/20160819001238id_/http://www.cohassetma.org//uploads/Town%20Reports/TownReportCombinedFinal_2008.pdf,atr,section,OK,485466,234
Cohasset,2010,https://web.archive.org/web/20160819001329id_/http://www.cohassetma.org//uploads/Town%20Reports/TownReportCombinedFinal_2010.pdf,atr,section,OK,342328,200
Cohasset,2011,https://web.archive.org/web/20160818223151id_/http://www.cohassetma.org//uploads/Town%20Reports/TownReportCombinedFinal_2011.pdf,atr,section,OK,262705,156
Cohasset,2013,https://web.archive.org/web/20160723160725id_/http://www.cohassetma.org:80/uploads/forms/townreportcombinedfinal_2013.pdf,atr,section,OK,403619,216
Concord,2020,https://concordma.gov/DocumentCenter/View/29861/2020-Annual-Town-Report-Complete-Report,atr,section,OK,727065,252
Cummington,2011,http://www.cummington-ma.gov/SiteAssets/Docs/Town/TownReportFy2011.pdf,atr,section,OK,143802,96
Dalton,2010,https://archives.lib.state.ma.us/server/api/core/bitstreams/0e4d8432-edde-46be-b7d2-14dea121251d/content,atr,section,OK,158008,82
Dalton,2013,https://web.archive.org/web/20150914164614id_/http://www.dalton-ma.gov/vertical/sites/%7B204E6885-7D62-4A77-ACAF-365E762BDF59%7D/uploads/2013Jun25STEtally.pdf,atr,section,RETRY,884,1
Dalton,2020,https://dalton-ma.gov/wp-content/uploads/2021/06/Town-Report-file-2020.pdf,atr,section,OK,134978,81
Dartmouth,2009,https://web.archive.org/web/20220301232320id_/https://www.town.dartmouth.ma.us/sites/g/files/vyhlif466/f/uploads/2009_town_report.pdf,atr,section,OK,483591,234
Dartmouth,2011,https://web.archive.org/web/20220301232315id_/https://www.town.dartmouth.ma.us/sites/g/files/vyhlif466/f/uploads/2011_town_report.pdf,atr,section,OK,731755,414
Dartmouth,2016,https://web.archive.org/web/20220301232535id_/https://www.town.dartmouth.ma.us/sites/g/files/vyhlif466/f/uploads/annual_report_2016_final.pdf,atr,section,OK,655672,350
Dartmouth,2017,https://web.archive.org/web/20220308073525id_/https://www.town.dartmouth.ma.us/sites/g/files/vyhlif466/f/uploads/annual_report_2017.pdf,atr,section,OK,593744,342
Deerfield,2014,https://web.archive.org/web/20150908212607id_/http://www.deerfieldma.us/Pages/2014%20Annual%20Town%20Report.pdf,atr,section,OK,241245,148
Dracut,2018,https://archives.lib.state.ma.us/server/api/core/bitstreams/cb83e9b7-25c2-4ba7-966b-7420999b3ddd/content,atr,section,OK,273838,150
Dunstable,2015,https://www.dunstable-ma.gov/sites/g/files/vyhlif4361/f/uploads/annual_town_report_2015.pdf,atr,section,OK,311479,154
East Bridgewater,2015,https://eastbridgewaterma.gov/DocumentCenter/View/594/2015-Annual-Town-Report-PDF,atr,section,RETRY,187,188
East Bridgewater,2019,https://eastbridgewaterma.gov/DocumentCenter/View/598/2019-Annual-Town-Report-PDF,atr,section,RETRY,208,209
Erving,2017,https://web.archive.org/web/20220419172019id_/https://www.erving-ma.gov/sites/g/files/vyhlif4401/f/uploads/2017_annual_town_report_final.pdf,atr,section,OK,206734,131
Essex,2020,https://www.essexma.org/DocumentCenter/View/844,atr,section,OK,2743,4
Falmouth,2020,https://www.falmouthma.gov/DocumentCenter/View/9003,atr,section,OK,744762,273
Grafton,2013,https://web.archive.org/web/20220319195917id_/https://www.grafton-ma.gov/sites/g/files/vyhlif4461/f/uploads/2013_annual_town_report_tr_web_copy_final.pdf,atr,section,OK,389806,124
Grafton,2014,https://web.archive.org/web/20151022185021id_/http://www.grafton-ma.gov:80/sites/graftonma/files/uploads/bos_town_report_2014.pdf,atr,section,OK,446213,122
Granby,2006,https://web.archive.org/web/20161228082319id_/http://www.granby-ma.gov/Pages/GranbyMA_Selectmen/2006-Annual%20Report.pdf,atr,section,RETRY,81,82
Granby,2018,https://web.archive.org/web/20230309065405id_/https://www.granby-ma.gov/sites/g/files/vyhlif4466/f/uploads/2018_annual_town_report.pdf,atr,section,RETRY,85,86
Great Barrington,2018,https://web.archive.org/web/20220304051100id_/https://www.townofgb.org/sites/g/files/vyhlif636/f/uploads/fy17_annual_report_2018.04.18_final.pdf,atr,section,OK,163157,76
Groton,2011,https://portal.grotonma.gov/storage/Town_Reports/2011_Annual_Report.pdf,atr,section,OK,433293,146
Groton,2017,https://portal.grotonma.gov/storage/Town_Reports/2017_Annual_Report.pdf,atr,section,OK,519614,235
Groton,2020,https://portal.grotonma.gov/storage/Town_Reports/2020_Annual_Report.pdf,atr,section,OK,452678,219
Groveland,2012,https://archives.lib.state.ma.us/server/api/core/bitstreams/82dd765b-6a8a-47bd-9c9d-f359c272479c/content,atr,section,OK,147668,103
Hanover,2011,https://web.archive.org/web/20170126043347id_/http://www.hanover-ma.gov/sites/hanoverma/files/file/file/annualreport2011.pdf,atr,section,OK,524040,265
Hanover,2016,https://www.hanover-ma.gov/sites/g/files/vyhlif12081/f/file/file/journal_of_the_september_26_2016_special_town_meeting_and_october_1_election_for_town_report.pdf,atr,section,OK,7870,5
Hanson,2015,https://www.hanson-ma.gov/sites/g/files/vyhlif3231/f/uploads/hanson_2015_annual_town_report.pdf,atr,section,OK,402260,107
Hanson,2016,https://www.hanson-ma.gov/sites/g/files/vyhlif3231/f/uploads/hanson_2016_annual_town_report.pdf,atr,section,OK,396173,112
Harvard,2008,https://web.archive.org/web/20240610195452id_/https://www.harvard-ma.gov/sites/g/files/vyhlif676/f/uploads/2008_town_report.pdf,atr,section,RETRY,171,172
Hawley,2014,https://townofhawley.com/wp-content/uploads/2023/09/2014-Hawley-Annual-Town-Report.pdf,atr,section,OK,161264,106
Hawley,2015,https://townofhawley.com/wp-content/uploads/2023/09/2015-Hawley-Annual-Town-Report.pdf,atr,section,OK,165015,106
Hawley,2016,https://townofhawley.com/wp-content/uploads/2023/09/2016-Hawley-Annual-Town-Report.pdf,atr,section,OK,163209,108
Hawley,2020,https://townofhawley.com/wp-content/uploads/2023/09/2020-Hawley-Town-Report.pdf,atr,section,OK,163613,80
Hingham,2006,https://web.archive.org/web/20100527143020id_/http://www.hingham-ma.gov/document/Town_Annual_Report_2006.pdf,atr,section,OK,352065,206
Hinsdale,2001,https://hinsdalemass.com/DocumentCenter/View/286/2001-Annual-Report,atr,section,RETRY,77,78
Hinsdale,2003,https://hinsdalemass.com/DocumentCenter/View/288/2003-Annual-Report,atr,section,RETRY,73,74
Hinsdale,2004,https://hinsdalemass.com/DocumentCenter/View/289/2004-Annual-Report,atr,section,RETRY,73,74
Hinsdale,2005,https://hinsdalemass.com/DocumentCenter/View/290/2005-Annual-Report,atr,section,RETRY,81,82
Hinsdale,2007,https://hinsdalemass.com/DocumentCenter/View/292/2007-Annual-Report,atr,section,RETRY,69,70
Hinsdale,2010,https://hinsdalemass.com/DocumentCenter/View/241/2010-Annual-Report,atr,section,RETRY,79,80
Holden,2017,https://holdenma.gov/DocumentCenter/View/764/2017-Annual-Town-Report,atr,section,OK,333322,202
Holliston,2004,https://web.archive.org/web/20060929234107id_/http://www.townofholliston.us/CPC/CPC_Annual_Report_2004.pdf,atr,section,OK,9034,4
Holliston,2009,https://web.archive.org/web/20220308074230id_/https://www.townofholliston.us/sites/g/files/vyhlif706/f/file/file/finance_committee_annual_report_2009.pdf,atr,section,OK,136137,52
Holliston,2016,https://web.archive.org/web/20220302180555id_/https://www.townofholliston.us/sites/g/files/vyhlif706/f/file/file/annual_town_report_2016.pdf,atr,section,OK,323881,154
Hopedale,2016,https://hopedale-ma.gov/DocumentCenter/View/961/FY16-Annual-Town-Report,atr,section,RETRY,112,113
Hopedale,2020,https://web.archive.org/web/20211211004931id_/https://www.hopedale-ma.gov/sites/g/files/vyhlif711/f/uploads/fy_2020_annual_report_final.pdf,atr,section,OK,163995,109
Hopkinton,2017,https://ehop.org/wp/wp-content/uploads/2017/04/HOPKINTON-MA-2016-Annual-Town-Report.pdf,atr,section,OK,558137,277
Hull,2008,https://archives.lib.state.ma.us/server/api/core/bitstreams/539988fb-b1ac-4d76-be52-e3efa4793bf0/content,atr,section,OK,412956,201
Lancaster,2003,https://web.archive.org/web/20040609155127id_/http://www.ci.lancaster.ma.us:80/town_report/2003_annual_town_report_part1.pdf,atr,section,OK,172040,87
Lancaster,2004,https://web.archive.org/web/20060518021428id_/http://www.ci.lancaster.ma.us:80/town_report/2004/2004_ar_sec1.pdf,atr,section,OK,203875,94
Lancaster,2007,https://web.archive.org/web/20211130030624id_/https://www.ci.lancaster.ma.us/sites/g/files/vyhlif4586/f/uploads/2007_annual_town_report.pdf,atr,section,OK,377662,176
Lancaster,2009,https://web.archive.org/web/20211130033838id_/https://www.ci.lancaster.ma.us/sites/g/files/vyhlif4586/f/uploads/2009_annual_town_report.pdf,atr,section,OK,397897,213
Lancaster,2012,https://web.archive.org/web/20211130034938id_/https://www.ci.lancaster.ma.us/sites/g/files/vyhlif4586/f/uploads/2012_annual_town_report.pdf,atr,section,OK,352281,193
Lee,2000,https://web.archive.org/web/20250312131056id_/http://www.lee.ma.us/sites/g/files/vyhlif771/f/uploads/town_report_cy_2000.pdf,atr,section,RETRY,117,118
Lee,2004,https://web.archive.org/web/20250405211744id_/http://www.lee.ma.us/sites/g/files/vyhlif771/f/uploads/town_report_fy_2004.pdf,atr,section,RETRY,113,114
Littleton,2003,https://web.archive.org/web/20150907010911id_/http://www.littletonma.org/filestorage/19479/28346/20201/20348/20357/AnnualReport2003.pdf,atr,section,OK,291415,147
Littleton,2009,https://web.archive.org/web/20150911123720id_/http://www.littletonma.org/filestorage/19455/533/6789/Microsoft_Word_-_2009_TOWN_REPORT.pdf,atr,section,OK,307993,132
Littleton,2017,https://web.archive.org/web/20220619020131id_/https://www.littletonma.org/sites/g/files/vyhlif8011/f/uploads/annual_town_report_2017_0.pdf,atr,section,OK,485703,212
Ludlow,2005,https://web.archive.org/web/20140801133547id_/http://www.ludlow.ma.us:80/reports/selectmen/reports/2005_town_report.pdf,atr,section,OK,227132,68
Ludlow,2006,https://web.archive.org/web/20100911002734id_/http://www.ludlow.ma.us:80/selectmen/reports/2006_town_report.pdf,atr,section,OK,231621,87
Ludlow,2007,https://web.archive.org/web/20081203133216id_/http://www.ludlow.ma.us:80/selectmen/reports/2007_town_report.pdf,atr,section,OK,239021,109
Ludlow,2009,https://web.archive.org/web/20100704224004id_/http://www.ludlow.ma.us:80/selectmen/reports/2009_town_report.pdf,atr,section,OK,233776,101
Ludlow,2010,https://web.archive.org/web/20120424211547id_/http://www.ludlow.ma.us:80/selectmen/reports/2010_Town_Report.pdf,atr,section,OK,228837,104
Ludlow,2011,https://web.archive.org/web/20251028101426id_/https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2011-Annual-Town-Report.pdf,atr,section,OK,241381,106
Ludlow,2012,https://web.archive.org/web/20251028065601id_/https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2012-Annual-Town-Report.pdf,atr,section,OK,228539,98
Ludlow,2013,https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2013-Annual-Town-Report.pdf,atr,section,RETRY,0,0
Ludlow,2014,https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2014-Annual-Town-Report.pdf,atr,section,RETRY,0,0
Ludlow,2015,https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2015-Annual-Town-Report.pdf,atr,section,RETRY,0,0
Ludlow,2016,https://web.archive.org/web/20251028073350id_/https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2016-Annual-Town-Report.pdf,atr,section,OK,245022,126
Ludlow,2017,https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2017-Annual-Town-Report.pdf,atr,section,RETRY,0,0
Ludlow,2018,https://web.archive.org/web/20251028073311id_/https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2018-Annual-Town-Report.pdf,atr,section,OK,285586,130
Ludlow,2019,https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2019-Annual-Town-Report.pdf,atr,section,RETRY,0,0
Ludlow,2020,https://web.archive.org/web/20251028115808id_/https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2020-Annual-Town-Report.pdf,atr,section,OK,301121,134
Lunenburg,2011,https://archives.lib.state.ma.us/server/api/core/bitstreams/1d32f856-b803-4b2d-a5c6-2c3a65886f52/content,atr,section,OK,364146,102
Lunenburg,2017,https://lunenburgma.gov/DocumentCenter/View/4124/FY-2017-Annual-Town-Report,atr,section,OK,361186,201
Lunenburg,2019,https://lunenburgma.gov/DocumentCenter/View/4126/FY-2019-Annual-Town-Report,atr,section,RETRY,205,206
Manchester,2006,https://web.archive.org/web/20101224172805id_/http://www.manchester.ma.us/Pages/ManchesterMA_BOS/2006_townreport.pdf,atr,section,OK,208155,88
Mansfield,2001,https://web.archive.org/web/20110128131653id_/http://mansfieldma.com/Clerk/Annual_Report_2001.pdf,atr,section,OK,158456,149
Marblehead,2011,https://web.archive.org/web/20251013065328id_/https://marbleheadma.gov/wp-content/uploads/2025/04/Annual-Report-2011.pdf,atr,section,OK,377111,248
