municipality,year,url,kind,pool,prior_status,prior_chars,prior_pages
Abington,2014,https://web.archive.org/web/20220302114548id_/https://www.abingtonma.gov/sites/g/files/vyhlif236/f/file/file/2014_town_report.pdf,atr,section,OK,396572,222
Abington,2015,https://web.archive.org/web/20161227124326id_/http://www.abingtonma.gov/sites/abingtonma/files/file/file/2015_town_annual_report_0.pdf,atr,section,OK,363694,185
Abington,2016,https://web.archive.org/web/20160509105502id_/http://www.abingtonma.gov:80/sites/abingtonma/files/unofficial_election_results_4-30-2016.pdf,atr,section,OK,2768,2
Abington,2017,https://web.archive.org/web/20220302114757id_/https://www.abingtonma.gov/sites/g/files/vyhlif236/f/uploads/2017_town_report.pdf,atr,section,OK,247174,172
Abington,2019,https://web.archive.org/web/20220303033034id_/https://www.abingtonma.gov/sites/g/files/vyhlif236/f/uploads/abington_town_report_2019_web_file.pdf,atr,section,OK,298097,170
Acushnet,2018,https://web.archive.org/web/20220321012348id_/https://www.acushnet.ma.us/sites/g/files/vyhlif2721/f/uploads/town_report_2018_v3.pdf,atr,section,OK,291456,209
Agawam,2014,https://web.archive.org/web/20151020210845id_/http://www.agawam.ma.us/filestorage/2862/2882/2979/2014_NPDES_Annual_Report.pdf,atr,section,RETRY,88,89
Amesbury,2008,https://web.archive.org/web/20150926185730id_/http://www.amesburyma.gov/sites/amesburyma/files/file/file/annual_report_2008_0.pdf,atr,section,OK,251848,142
Amesbury,2009,https://web.archive.org/web/20150926233033id_/http://www.amesburyma.gov/sites/amesburyma/files/file/file/annual_report_2009.pdf,atr,section,OK,200830,119
Amesbury,2010,https://web.archive.org/web/20150926231420id_/http://www.amesburyma.gov/sites/amesburyma/files/file/file/annual_report_2010.pdf,atr,section,OK,23832,22
Amesbury,2011,https://web.archive.org/web/20150927015910id_/http://www.amesburyma.gov/sites/amesburyma/files/file/file/annual_report_2011.pdf,atr,section,OK,56204,31
Amesbury,2012,https://web.archive.org/web/20150927015737id_/http://www.amesburyma.gov/sites/amesburyma/files/file/file/annual_report_2012.pdf,atr,section,OK,96610,62
Amesbury,2013,https://web.archive.org/web/20150926233020id_/http://www.amesburyma.gov/sites/amesburyma/files/file/file/annual_report_2013.pdf,atr,section,OK,97744,66
Amesbury,2015,https://web.archive.org/web/20161228203150id_/http://www.amesburyma.gov/sites/amesburyma/files/11-3-2015_unofficial_final_tally.pdf,atr,section,OK,7054,6
Amesbury,2016,https://web.archive.org/web/20200615012606id_/https://www.amesburyma.gov/sites/amesburyma/files/file/file/2016_annual_report.pdf,atr,section,OK,215049,154
Amesbury,2018,https://web.archive.org/web/20200627040450id_/https://www.amesburyma.gov/sites/amesburyma/files/uploads/amesbury_annual_report_fy2018.pdf,atr,section,OK,222681,146
Amesbury,2019,https://web.archive.org/web/20211229014807id_/https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/uploads/2019_annual_report_final.pdf,atr,section,OK,69919,47
