municipality,year,url
Aquinnah,2016,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/uploads/town_report_fy_2016.pdf
Ashburnham,2002,https://web.archive.org/web/20170130192347id_/http://www.ashburnham-ma.gov/pages/AshburnhamMA_ElectionResults/2002-04-30AnnualTownElectionBallot.pdf
Ashburnham,2014,https://web.archive.org/web/20151023004354id_/http://www.ashburnham-ma.gov/Pages/AshburnhamMA_Admin/Annual%20Town%20Reports/2014%20ANNUAL%20TOWN%20REPORT.pdf
Ashburnham,2015,https://web.archive.org/web/20170107083723id_/http://www.ashburnham-ma.gov/Pages/AshburnhamMA_Admin/Annual%20Town%20Reports/2015%20ANNUAL%20TOWN%20REPORT%201.pdf
Ashburnham,2016,https://ashburnham-ma.gov/DocumentCenter/View/465/2016-Annual-Report-PDF
Ashfield,2014,https://web.archive.org/web/20151210041515id_/http://ashfield.org/documents/SelectBoard/AshfieldAnnualReport2014.pdf
Ashfield,2016,https://ashfield.org/DocumentCenter/View/82
Ashfield,2017,https://ashfield.org/DocumentCenter/View/6620
Ashland,2016,https://ashlandmass.com/ImageRepository/Document?documentID=230
Avon,2010,https://web.archive.org/web/20161226184543id_/http://www.avon-ma.gov/sites/avonma/files/file/file/townreport2010.pdf
Avon,2012,https://web.archive.org/web/20250224053525id_/https://www.avon-ma.gov/sites/g/files/vyhlif271/f/uploads/2012_annual_town_report.pdf
Avon,2013,https://web.archive.org/web/20161203003429id_/http://www.avon-ma.gov/sites/avonma/files/u121/avon_2013_town_report.pdf
Avon,2014,https://web.archive.org/web/20161203003412id_/http://www.avon-ma.gov/sites/avonma/files/u121/annual_town_report_2014.pdf
Avon,2015,https://web.archive.org/web/20250224070355id_/https://www.avon-ma.gov/sites/g/files/vyhlif271/f/uploads/2015_annual_town_report.pdf
Avon,2017,https://web.archive.org/web/20220812203509id_/https://www.avon-ma.gov/sites/g/files/vyhlif271/f/uploads/town_of_avon_annual_town_report_2017.pdf
Ayer,2013,https://web.archive.org/web/20150609151359id_/http://www.ayer.ma.us/pages/AyerMA_About/2013-town_report.pdf
Ayer,2016,https://web.archive.org/web/20210326065421id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2016_town_of_ayer_annual_report.pdf
Ayer,2017,https://web.archive.org/web/20210326065428id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2017_town_report_digital_copy.pdf
Ayer,2018,https://web.archive.org/web/20210326065420id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2018_town_of_ayer_annual_report.pdf
Ayer,2019,https://web.archive.org/web/20210326065422id_/https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/2019_town_of_ayer_annual_report.pdf
Barnstable,2018,https://tobweb.town.barnstable.ma.us/Departments%5C%5CTownManager%5C%5CAnnual_Reports%5C%5C2018.pdf
Bedford,2005,https://web.archive.org/web/20060627054256id_/http://www.bedfordnh.org:80/dept/townmanager/townreport2005.pdf
Bedford,2008,https://web.archive.org/web/20161226234149id_/http://www.bedfordma.gov/sites/bedfordma/files/file/file/2008_annual_report.pdf
Bedford,2009,https://web.archive.org/web/20210512233410id_/https://www.bedfordma.gov/sites/g/files/vyhlif6866/f/file/file/annual_report_2009_final-updated_2-26-10.pdf
Bedford,2010,https://web.archive.org/web/20170125133525id_/http://www.bedfordma.gov/sites/bedfordma/files/file/file/annual_report_2010_-_website.pdf
Bedford,2019,https://web.archive.org/web/20210511134143id_/https://www.bedfordma.gov/sites/g/files/vyhlif6866/f/pages/annualreport_2019_complete_ocrmissing.pdf
Bellingham,2021,https://archives.lib.state.ma.us/server/api/core/bitstreams/57ffd0f0-ef2c-4ca1-839f-45d04c5927a3/content
Belmont,2004,https://web.archive.org/web/20140501022756id_/http://www.belmont-ma.gov:80/Public_Documents/BelmontMA_WebDocs/townreports/2004/selectmen.pdf
Belmont,2008,https://web.archive.org/web/20160705223040id_/http://www.belmont-ma.gov:80/sites/belmontma/files/file/file/2008annualreport.pdf
Belmont,2009,https://web.archive.org/web/20161227191344id_/https://www.belmont-ma.gov/sites/belmontma/files/file/file/2009annualreport.pdf
Belmont,2010,https://web.archive.org/web/20161227191454id_/https://www.belmont-ma.gov/sites/belmontma/files/file/file/2010annualreport.pdf
Belmont,2011,https://web.archive.org/web/20161227165332id_/http://www.belmont-ma.gov/sites/belmontma/files/file/file/2011annualreport.pdf
Belmont,2012,https://web.archive.org/web/20161227191643id_/https://www.belmont-ma.gov/sites/belmontma/files/file/file/2012annualreport.pdf
Berkley,2017,https://web.archive.org/web/20260106131938id_/https://townofberkleyma.gov/wp-content/uploads/2025/09/May-6-2017-Election-Results.pdf
Berkley,2020,https://web.archive.org/web/20260106160413id_/https://townofberkleyma.gov/wp-content/uploads/2025/09/May-30-2020-Annual-Town-Election-Results.pdf
Berlin,2017,https://townofberlin.com/DocumentCenter/View/1156/2017-Annual-Town-Reports
Berlin,2018,https://townofberlin.com/DocumentCenter/View/1157/2018-Annual-Town-Reports
Berlin,2019,https://townofberlin.com/DocumentCenter/View/1158/2019-Annual-Town-Report
Berlin,2020,https://townofberlin.com/DocumentCenter/View/1159/2020-Annual-Town-Report
Billerica,2018,https://web.archive.org/web/20251029002710id_/https://billerica.gov/wp-content/uploads/2018/10/Spring-2018-Town-Meeting-2018-Annual-Report-Final.pdf
Blackstone,2011,https://townofblackstone.org/DocumentCenter/View/1924/2011-Annual-Town-Report-PDF
