stem,stem_year,document_year,delta
Boxford2020,2020,2000,-20
Northborough2011,2011,2009,-2
Amherst2005,2005,2004,-1
Barnstable2010,2010,2009,-1
Barnstable2016,2016,2015,-1
Barnstable2020,2020,2019,-1
Bedford2011,2011,2010,-1
Cheshire2020,2020,2019,-1
Falmouth2017,2017,2016,-1
Franklin2018,2018,2017,-1
Franklin2020,2020,2019,-1
Hamilton2019,2019,2018,-1
Maynard2014,2014,2013,-1
Maynard2018,2018,2017,-1
Shirley2003,2003,2002,-1
Shirley2018,2018,2017,-1
Uxbridge2005,2005,2004,-1
Uxbridge2006,2006,2005,-1
Hawley2017,2017,2018,+1
Pepperell2018,2018,2019,+1
Pepperell2019,2019,2020,+1
SouthHadley2012,2012,2013,+1
Winchester2011,2011,2017,+6
Berlin2001,2001,2011,+10
