municipality,year,url,alt_url
Leverett,2021,https://leverett.ma.us/n/11075/Town-of-Leverett-Election-Results-ATM-May-1-2021,
Leverett,2021,https://leverett.ma.us/n/36/Election-Results,
Leverett,2021,https://leverett.ma.us/n/5073/Leverett-Election-Results,
Leverett,2021,https://leverett.ma.us/n/59/Leverett-Election-Results,
Leverett,2023,https://leverett.ma.us/n/36/Election-Results,
Leverett,2023,https://leverett.ma.us/n/5073/Leverett-Election-Results,
Leverett,2023,https://leverett.ma.us/n/59/Leverett-Election-Results,
New Braintree,2025,https://www.newbraintreema.us/elections,
Norton,2021,https://nortonma.org/503/Election-Results,
Petersham,2021,https://townofpetersham.org/document/previous-elections-information/,
Rutland,2022,https://townofrutland.org/789/Election-Results,
Saugus,2024,https://saugus-ma.gov/373/Election-Information-Results,
Southbridge,2023,https://ci.southbridge.ma.us/m/newsflash/Home/Detail/258,
Wendell,2021,https://www.wendellmass.us/election-results?name=election-results,
Agawam,2021,https://www.agawam.ma.us/DocumentCenter/View/1711/2021-Municipal-Election-Results,
Dracut,2022,https://www.dracutma.gov/DocumentCenter/View/472/Town-Election-2022-Official-Results-PDF,
Easton,2022,https://eastontownma.documents-on-demand.com/Document/4e450b5a-45c3-ec11-a374-000c29a595e1,
