municipality,year,url,alt_url
Abington,2023,https://abingtonnews.org/2023/04/29/your-choice-23-donovan-djusberg-coyle-whitney-hughes-win/,
Acushnet,2021,https://acushnet.ma.us/DocumentCenter/View/334/1959,
Blandford,2025,https://townofblandford.gov/wp-content/uploads/2025/06/annual-town-report-2023-2024.pdf,
Boston,2025,https://www.boston.gov/sites/default/files/file/2025/11/2025-Unofficial-Ward-Precinct-Results-General-Municipal-Election.pdf,
Bourne,2023,https://www.bourne-ma.gov/DocumentCenter/View/3318/2023-Town-Report,
Boylston,2021,https://cms3.revize.com/revize/boylstonma/Documents/Services/Treasurer%20Collector/Documents%20&%20Forms/Boylston%20financials%2021.pdf,
Brewster,2023,https://www.brewster-ma.gov/town-clerk/news/official-annual-town-election-results,
Brewster,2025,https://www.brewster-ma.gov/town-clerk/news/official-annual-town-election-results,
Carver,2022,https://www.carverma.gov/home/news/official-election-results-2022,
Charlemont,2024,https://charlemont-ma.us/files/Town_Report__Year_end_2024_finished.pdf,
Chilmark,2024,https://www.sec.state.ma.us/divisions/elections/download/research-and-statistics/IFV_2024.pdf,
Conway,2022,https://www.recorder.com/Waldo-wins-Selectboard-seat-in-Conway-46755631,
Conway,2024,https://www.recorder.com/Campbell-claims-Selectboard-seat-by-two-vote-margin-in-Conway-election-55478231,
Dalton,2023,https://dalton-ma.gov/elections/,
East Brookfield,2021,https://web.archive.org/web/20211227174942/https://www.eastbrookfieldma.us/town-clerk/news/results-for-annual-town-election,
Edgartown,2022,https://www.mvtimes.com/2022/04/14/three-towns-going-polls/,
Gill,2025,https://recorder.com/2025/05/20/12-year-selectman-returning-to-board-following-gill-election-61286836/,
Granby,2022,https://www.gazettenet.com/Newcomer-ousts-incumbent-Select-Board-member-in-Granby-election-46402450,
Greenfield,2023,https://recorder.com/2023/11/07/desorgher-victorious-greenfield-mayor-elect-defeats-wedegartner-winning-every-precinct-52888641/,
Groveland,2025,https://www.grovelandma.com/Documents/Departments/Clerk/MA-Municipal-Retention-Manual-PDF-2-1.pdf?t=202506271234480,
Hadley,2025,https://www.hadleyma.org/select-board/files/service-delivery-plan-2025,
Hanson,2025,https://www.hanson-ma.gov/home/news/annual-town-election-5172025-official-results,
Hatfield,2021,https://gazettenet.com/2021/05/20/write-in-candidates-tie-for-school-committee-seat-in-hatfield-40563897/,
Lancaster,2022,https://www.ci.lancaster.ma.us/DocumentCenter/View/434/2022-Year-End-Campaign-Finance-Report-ALL-PDF,
Lanesborough,2021,https://cms5.revize.com/revize/lanesboroughma/Document%20Center/Government/Town%20Meeting/2021/2020_lanesboro_town_report_for_website.pdf,
Leominster,2021,https://www.leominster-ma.gov/DocumentCenter/View/1077/Appendix-A3-Leominster-OSRP-Public-Survey-Results-PDF,
Leverett,2024,https://gazettenet.com/LeverettTM-042724-54931149,
Ludlow,2021,https://ludlow.ma.us/wp-content/uploads/sites/2/2025/05/2021-Annual-Town-Report.pdf,
Ludlow,2022,https://ludlow.ma.us/document/local-election-results/,
Mashpee,2021,https://www.mashpeema.gov/DocumentCenter/View/2496/02-03-2021,
Mashpee,2025,https://www.mashpeema.gov/DocumentCenter/View/4091/12-03-2025,
Merrimac,2021,https://townofmerrimac.com/wp-content/uploads/2023/05/Fiscal-Year-2021-Audited-Finacials.pdf,
Millville,2021,https://www.millvillema.org/town-clerk/files/official-results-ate-april-5-2021#main,
Monroe,2025,https://recorder.com/2025/07/02/975k-budget-approved-in-monroe-62121236/,
Monterey,2021,https://www.montereyma.gov/sites/g/files/vyhlif3496/f/uploads/fy21townreport.pdf,
Nahant,2021,https://nahant.org/wp-content/uploads/2024/05/Advisory_Finance_Report_May_15_2021.pdf,
Nahant,2023,https://nahant.org/wp-content/uploads/2023/05/Report-and-Recommendations-of-the-Advisory-and-Finance-Committee-FY24.pdf,
New Ashford,2021,https://www.newashford-ma.us/wp-content/uploads/2021/05/New-Ashford-Annual-Town-Report-2021-2.pdf,
New Salem,2025,https://www.recorder.com/No-surprises-in-New-Salem-election-61044497,
Newton,2021,https://www.newtonma.gov/government/elections/election-results/-folder-1809#docfold_5503_407_314_1809,
Northfield,2021,https://www.northfieldma.gov/DocumentCenter/View/326,
Norwell,2022,https://cms2.revize.com/revize/norwell/Documents/Departments/Town%20Accountant/Annual%20Comprehensive%20Financial%20Reports/norwell_ma_acfr22_-_final_002.pdf,
Orange,2024,https://www.recorder.com/Smith-Davis-win-Selectboard-seats-in-Orange-53951780,
