town,host,years
FallRiver,fallriverma.org,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
Chelsea,chelseama.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
Newton,newtonma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019
Peabody,peabody-ma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2020
Everett,cityofeverett.com,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2020
Agawam,agawam.ma.us,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2016 2017 2019 2020
Winthrop,winthropma.gov,2000 2001 2002 2003 2004 2005 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2018 2020
Lynn,lynnma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
Pittsfield,pittsfieldma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2012 2014 2016 2017 2018 2020
Chicopee,chicopeema.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2012 2014 2016 2018 2020
Southbridge,ci.southbridge.ma.us,2000 2002 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2019 2020
Waltham,city.waltham.ma.us,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013
Melrose,cityofmelrose.org,2000 2001 2002 2003 2004 2005 2006 2009 2010 2011 2012 2013 2014 2015
WestSpringfield,townofwestspringfield.org,2000 2001 2002 2003 2004 2012 2013 2014 2015 2016 2017 2018 2019 2020
Easthampton,easthamptonma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2012 2014 2016
Westfield,cityofwestfield.org,2000 2001 2002 2004 2005 2006 2007 2008 2012 2014 2016 2018 2020
Greenfield,greenfield-ma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2016
Newburyport,cityofnewburyport.com,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011
Taunton,taunton-ma.gov,2000 2002 2004 2006 2008 2010 2012 2014 2016 2018 2020
NorthAdams,northadams-ma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
Lowell,lowellma.gov,2000 2001 2002 2003 2004 2006 2007 2008 2010 2012
Somerville,somervillema.gov,2000 2002 2003 2004 2006 2007 2008 2009 2010 2011
Methuen,methuen.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009
Woburn,woburnma.gov,2000 2001 2002 2003 2004 2006 2008 2010 2012 2020
Quincy,quincyma.gov,2011 2012 2014 2015 2016 2017 2018 2019 2020
Malden,cityofmalden.org,2000 2001 2002 2003 2004 2005 2006 2008 2010
Fitchburg,fitchburgma.gov,2000 2001 2002 2003 2004 2008 2012 2016 2018
Marlborough,marlborough-ma.gov,2000 2002 2004 2006 2012 2014 2016 2018 2020
Gloucester,gloucester-ma.gov,2000 2001 2002 2004 2006 2008 2010 2020
Amesbury,amesburyma.gov,2000 2001 2002 2003 2004 2005 2006 2007
Lawrence,cityoflawrence.com,2000 2001 2002 2003 2004 2005 2006
Attleboro,cityofattleboro.us,2000 2002 2003 2004 2006 2008 2020
EastLongmeadow,eastlongmeadowma.gov,2000 2002 2003 2004 2005 2006 2007
Boston,documents.boston.gov,2000 2001 2002 2003 2004 2008
Worcester,worcesterma.gov,2002 2004 2006 2012 2013 2016
Framingham,framinghamma.gov,2000 2001 2002 2003 2004 2005
Beverly,beverlyma.gov,2000 2001 2002 2004 2005 2006
NorthAttleborough,nattleboro.com,2000 2001 2002 2003 2004 2005
Haverhill,haverhillma.gov,2000 2001 2002 2005 2019
Braintree,braintreema.gov,2008 2010 2012 2014 2018
Springfield,springfield-ma.gov,2000 2002 2014 2020
Brockton,brockton.ma.us,2000 2001 2002 2004
Franklin,franklinma.gov,2000 2001 2002 2003
Gardner,gardner-ma.gov,2000 2001 2002 2003
Salem,salemma.gov,2001 2002 2009
Amherst,amherstma.gov,2001 2019 2020
Weymouth,weymouth.ma.us,2004 2010
Northampton,northamptonma.gov,2000 2002
Barnstable,town.barnstable.ma.us,2000
Palmer,townofpalmer.com,2006
