town,host,years
Alford,townofalford.org,2022
Berkley,townofberkleyma.gov,2022
Berkley,townofberkleyma.com,2022
Bernardston,townofbernardston.org,2021
Brimfield,brimfieldma.org,2022
Charlemont,charlemont-ma.us,2026
Chesterfield,townofchesterfieldma.com,2021
Chesterfield,wayback-recovery,2021
Conway,conwayma.gov,2023
Cummington,cummington-ma.gov,2026
Douglas,douglas-ma.gov,2024|2026
East Brookfield,eastbrookfieldma.civiccms.acsitefactory.com,2022|2023|2024|2026
East Brookfield,eastbrookfieldma.us,2022|2023|2024|2026
Egremont,egremont-ma.gov,2021
Gosnold,gosnold-ma.gov,2021|2022|2023|2026
Gosnold,docs.google.com,2021|2022|2023|2026
Granville,granville-ma.gov,2026
Granville,townofgranville.net,2026
Hampden,hampdenma.gov,2022
Hancock,town.hancock.ma.us,2022|2026
Hancock,berkshireeagle.com,2022|2026
Heath,townofheath.org,2021|2022|2023
Holbrook,holbrookma.gov,2021
Holbrook,tbdailynews.com,2021
Holland,town.holland.ma.us,2026
Hubbardston,hubbardstonma.us,2021
Hubbardston,hubbardstonma.gov,2021
Leverett,leverett.ma.us,2026
Littleton,littletonma.org,2026
Littleton,lowellsun.com,2026
Mattapoisett,mattapoisett.gov,2022|2026
Mattapoisett,mattapoisett.net,2022|2026
Merrimac,townofmerrimac.com,2022
Middlefield,middlefield-ma.gov,2021|2022
Millville,millvillema.org,2026
Monson,monson-ma.gov,2021
Montgomery,montgomeryma.gov,2026
New Braintree,newbraintreema.us,2021|2022|2026
Norfolk,norfolk.ma.us,2026
Norfolk,thesunchronicle.com,2026
North Brookfield,northbrookfield.net,2026
Oakham,oakham-ma.gov,2023
Petersham,townofpetersham.weebly.com,2026
Petersham,townofpetersham.org,2026
Phillipston,atholdailynews.com,2021
Phillipston,phillipston-ma.gov,2021
Plainfield,plainfield-ma.us,2022
Richmond,files.constantcontact.com,2021|2022|2023|2026
Richmond,richmondma.org,2021|2022|2023|2026
Royalston,royalston-ma.gov,2026
Royalston,royalstonma.civiccms.acsitefactory.com,2026
Russell,townofrussell.us,2023
Russell,russell-ma.gov,2023
Sandisfield,sandisfieldma.gov,2026
Savoy,townofsavoy.com,2021|2022
Savoy,storage.googleapis.com,2021|2022
Sheffield,sheffieldma.gov,2021
Shelburne,townofshelburne.com,2021
Shutesbury,shutesbury.org,2026
Shutesbury,c:\users\owner\documents\civicatlasma\data\incoming\atrcrops\shutesbury2023_atr.pdf,2026
Southampton,townofsouthampton.org,2023
Stockbridge,wamc.org,2026
Stockbridge,stockbridge-ma.gov,2026
Sutton,suttonma.org,2026
Sutton,suttonma.civiccms.acsitefactory.com,2026
Tolland,tolland-ma.gov,2021|2026
Tolland,tollandma.civiccms.acsitefactory.com,2021|2026
Ware,cms1files.revize.com,2026
Ware,townofware.com,2026
Warren,warren-ma.gov,2022|2023|2024
Washington,washington-ma.gov,2021
Wendell,storage.googleapis.com,2021|2022
Wendell,wendellmass.us,2021|2022
West Brookfield,storage.googleapis.com,2022
West Brookfield,wbrookfield.com,2022
Williamsburg,burgy.org,2026
Williamsburg,c:\users\owner\documents\civicatlasma\data\incoming\atrcrops\williamsburg2021_atr.pdf,2026
