town,host,years
Cummington,cummington-ma.gov,2026
Cummington,www.cummington-ma.gov,2026
Granville,www.granville-ma.gov,2026
Holland,town.holland.ma.us,2026
Holland,www.town.holland.ma.us,2026
Leverett,leverett.ma.us,2026
Littleton,www.littletonma.org,2026
Millville,www.millvillema.org,2026
Montgomery,montgomeryma.gov,2026
Norfolk,www.norfolk.ma.us,2026
Norfolk,www.norfolkmass.gov,2026
North Brookfield,www.northbrookfield.net,2026
Sandisfield,www.sandisfieldma.gov,2026
Stockbridge,www.stockbridge-ma.gov,2026
Sutton,www.suttonma.gov,2026
Sutton,www.suttonma.org,2026
Tolland,www.tolland-ma.gov,2026|2021
Ware,www.townofware.com,2026|2025
Douglas,douglas-ma.gov,2026|2024
New Braintree,newbraintreema.govoffice3.com,2026|2021|2022
Richmond,www.richmondma.org,2026|2021|2022
Gosnold,www.gosnold-ma.gov,2026|2021|2022|2023
Savoy,www.savoy-ma.gov,2021|2022
Merrimac,www.merrimacma.gov,2022
Monroe,www.monroe-ma.gov,2021|2023
Monroe,monroe-ma.gov,2021|2023
