town,host,years
Swansea,swanseama.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017
Foxborough,foxboroughma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2010 2011 2013
Webster,webster-ma.gov,2000 2001 2002 2004 2005 2006 2007 2008 2009 2010 2011 2012
Auburn,auburnma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2010 2011 2013
Maynard,townofmaynard-ma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2012
Rutland,townofrutland.org,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011
Millville,millvillema.org,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2011 2012
Becket,townofbecket.org,2000 2001 2002 2003 2004 2005 2006 2008 2009 2010 2011 2012
Erving,erving-ma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011
Chesterfield,chesterfieldma.civiccms.acsitefactory.com,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011
Plainfield,plainfield-ma.us,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2011 2014
Hawley,townofhawley.com,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011
Somerset,townofsomerset.org,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
Clinton,clintonma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2012
Leicester,leicesterma.org,2000 2001 2002 2003 2004 2005 2006 2007 2008 2010 2012
WestBoylston,westboylston-ma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2017 2018
Williamstown,williamstownma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
Cummington,cummington-ma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
Heath,townofheath.org,2000 2001 2002 2003 2004 2005 2006 2007 2008 2011 2012
Charlton,townofcharlton.net,2000 2001 2002 2003 2004 2005 2006 2007 2008 2011
Hanson,hanson-ma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009
Brewster,brewster-ma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2009 2011
Sturbridge,sturbridge.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2015
Blackstone,townofblackstone.org,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009
Montague,montague-ma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009
Halifax,halifax-ma.org,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009
GreatBarrington,townofgb.org,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009
Sherborn,sherbornma.org,2000 2001 2002 2003 2004 2005 2006 2007 2008 2010
Sunderland,townofsunderland.us,2000 2001 2002 2003 2004 2005 2006 2007 2008 2010
Berlin,townofberlin.com,2000 2002 2003 2004 2005 2006 2010 2011 2012 2015
Stockbridge,stockbridge-ma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009
Ashfield,ashfield.org,2000 2001 2002 2003 2004 2005 2006 2007 2008 2009
Grafton,grafton-ma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2008
Spencer,spencerma.gov,2000 2001 2002 2003 2004 2005 2006 2007 2010
Lakeville,lakevillema.org,2000 2001 2002 2003 2004 2005 2006 2007 2008
Mattapoisett,mattapoisett.net,2000 2001 2002 2003 2004 2005 2006 2007 2008
WestBrookfield,wbrookfield.com,2000 2001 2002 2003 2004 2005 2006 2019 2020
Shelburne,townofshelburne.com,2000 2001 2002 2003 2004 2005 2008 2009 2010
Richmond,richmondma.org,2000 2001 2002 2003 2004 2005 2006 2007 2008
Yarmouth,yarmouth.ma.us,2000 2001 2002 2003 2004 2005 2006 2007
Winchester,winchester.us,2000 2004 2008 2009 2010 2012 2013 2014
Hudson,townofhudson.org,2000 2001 2002 2003 2004 2012 2013 2014
Holden,holdenma.gov,2000 2001 2002 2003 2004 2005 2006 2007
Norton,nortonma.org,2000 2001 2002 2003 2004 2005 2006 2007
Seekonk,seekonk-ma.gov,2000 2001 2002 2003 2004 2005 2006 2007
Wrentham,wrentham.gov,2000 2001 2002 2003 2004 2005 2006 2007
Winchendon,townofwinchendon.com,2000 2001 2002 2003 2004 2005 2006 2007
Salisbury,salisburyma.gov,2000 2001 2002 2003 2004 2005 2006 2007
Ayer,ayer.ma.us,2000 2001 2002 2003 2004 2006 2007 2008
Adams,town.adams.ma.us,2000 2001 2002 2003 2004 2005 2006 2007
Rockport,rockportma.gov,2000 2001 2002 2003 2004 2005 2006 2008
Granville,townofgranville.net,2000 2001 2002 2003 2004 2005 2006 2007
Canton,town.canton.ma.us,2000 2001 2002 2003 2004 2006 2007
Pembroke,pembroke-ma.gov,2000 2001 2002 2003 2004 2005 2006
Westwood,townhall.westwood.ma.us,2000 2001 2002 2003 2004 2005 2006
Whitman,whitman-ma.gov,2000 2001 2002 2003 2004 2005 2006
Holliston,townofholliston.us,2000 2001 2002 2006 2007 2008 2010
Dennis,town.dennis.ma.us,2000 2001 2002 2003 2004 2005 2006
Millbury,millburyma.gov,2000 2001 2002 2003 2004 2005 2006
Oxford,oxfordma.us,2000 2001 2002 2003 2004 2005 2006
Lunenburg,lunenburgma.gov,2000 2001 2002 2003 2004 2005 2006
Southborough,southboroughtown.com,2000 2001 2002 2003 2004 2007 2008
Townsend,townsendma.gov,2000 2001 2002 2003 2004 2005 2016
Westminster,westminster-ma.gov,2000 2001 2002 2003 2004 2005 2006
Harvard,harvard-ma.gov,2000 2001 2002 2003 2004 2005 2006
Chatham,chatham-ma.gov,2000 2001 2002 2003 2004 2005 2006
Topsfield,topsfield-ma.gov,2000 2001 2002 2003 2004 2005 2006
Deerfield,deerfieldma.us,2001 2002 2003 2004 2005 2006 2007
Avon,avon-ma.gov,2000 2001 2002 2003 2004 2005 2006
Sheffield,sheffieldma.gov,2000 2001 2002 2003 2004 2005 2006
Shrewsbury,shrewsburyma.gov,2000 2001 2002 2003 2004 2005
Dartmouth,town.dartmouth.ma.us,2000 2001 2002 2003 2004 2006
Dedham,dedham-ma.gov,2000 2001 2002 2003 2004 2005
Bourne,bourne-ma.gov,2000 2001 2002 2003 2004 2005
Marblehead,marbleheadma.gov,2000 2001 2002 2003 2004 2005
Ashland,ashlandmass.com,2000 2001 2002 2003 2004 2007
SouthHadley,southhadley.org,2000 2001 2002 2003 2004 2005
Northborough,town.northborough.ma.us,2000 2001 2002 2003 2004 2005
Uxbridge,uxbridge-ma.gov,2000 2001 2002 2003 2012 2015
Lynnfield,town.lynnfield.ma.us,2000 2001 2002 2003 2004 2005
Southwick,southwickma.gov,2000 2001 2002 2003 2004 2005
Lincoln,lincolntown.org,2000 2001 2002 2003 2004 2005
Groveland,grovelandma.com,2000 2001 2002 2003 2005 2007
Dalton,dalton-ma.gov,2000 2001 2002 2003 2018 2019
Southampton,southampton-ma.gov,2000 2001 2002 2003 2004 2005
