town,host,years,max_id
Alford,townofalford.org,2022,3000
Bernardston,townofbernardston.org,2021,3000
Brimfield,brimfieldma.org,2022,3000
Douglas,douglas-ma.gov,2024|2026,6000
Egremont,egremont-ma.gov,2021,3000
Gosnold,gosnold-ma.gov,2021|2022|2023|2026,3000
Granville,granville-ma.gov,2026,3000
Hampden,hampdenma.gov,2022,3000
Holbrook,holbrookma.gov,2021,6000
Holland,town.holland.ma.us,2026,3000
Hubbardston,hubbardstonma.us,2021,3000
Littleton,littletonma.org,2026,6000
Mattapoisett,mattapoisett.gov,2022|2026,6000
Middlefield,middlefield-ma.gov,2021|2022,3000
Monson,monson-ma.gov,2021,6000
North Brookfield,northbrookfield.net,2026,3000
Oakham,oakham-ma.gov,2023,3000
Plainfield,plainfield-ma.us,2022,3000
Royalston,royalston-ma.gov,2026,3000
Russell,townofrussell.us,2023,3000
Sandisfield,sandisfieldma.gov,2026,3000
Sheffield,sheffieldma.gov,2021,3000
Sutton,suttonma.org,2026,6000
Tolland,tolland-ma.gov,2021|2026,3000
Warren,warren-ma.gov,2022|2023|2024,6000
Washington,washington-ma.gov,2021,3000
