town,host,years,max_id,control_id
Douglas,douglas-ma.gov,2024|2026,7159,3533
Egremont,www.egremont-ma.gov,2021,4000,1695
Gosnold,www.gosnold-ma.gov,2021|2022|2023|2026,4000,619
Granville,www.granville-ma.gov,2026,4000,1037
Hampden,www.hampdenma.gov,2022,4000,1373
Holbrook,holbrookma.gov,2021,4000,1678
Hubbardston,www.hubbardstonma.gov,2021,4000,1516
Littleton,www.littletonma.org,2026,18015,9564
Mattapoisett,mattapoisett.gov,2022|2026,4052,1807
Merrimac,www.townofmerrimac.com,2022,5539,2633
Middlefield,www.middlefield-ma.gov,2021|2022,4000,391
Monson,www.monson-ma.gov,2021,7487,3715
North Brookfield,northbrookfield.net,2026,12941,6745
Oakham,www.oakham-ma.gov,2023,4000,1018
Russell,www.townofrussell.us,2023,4000,519
Warren,www.warren-ma.gov,2022|2023|2024,4320,1956
