municipality,year,election_date,registered,basis
Abington,2021,2021-04-24,12024,interpolated
Abington,2022,2022-04-30,12198,interpolated
Abington,2023,2023-04-29,11927,interpolated
Abington,2024,2024-04-27,12420,interpolated
Abington,2025,2025-04-27,12916,carried
Abington,2026,2026-04-25,12916,carried
Acton,2021,2021-03-30,16461,interpolated
Acton,2022,2022-03-29,15985,interpolated
Acton,2023,2023-04-25,15743,interpolated
Acton,2024,2024-04-30,15753,interpolated
Acton,2025,2025-04-29,16246,carried
Acton,2026,2026-04-28,16246,carried
Acushnet,2021,2021-05-15,7946,interpolated
Acushnet,2022,2022-05-14,8005,interpolated
Acushnet,2023,2023-05-13,8136,interpolated
Acushnet,2024,2024-05-18,8545,interpolated
Acushnet,2025,2025-04-22,8637,carried
Acushnet,2026,2026-04-28,8637,carried
Adams,2021,2021-05-03,6234,interpolated
Adams,2022,2022-05-02,6301,interpolated
Adams,2023,2023-05-01,6242,interpolated
Adams,2024,2024-05-06,6592,interpolated
Adams,2025,2025-05-05,6709,carried
Adams,2026,2026-05-04,6709,carried
Agawam,2021,2021-11-02,22287,interpolated
Agawam,2023,2023-11-07,21907,interpolated
Agawam,2025,2025-11-04,22971,carried
Alford,2021,2021-05-18,381,interpolated
Alford,2022,2022-05-17,373,interpolated
Alford,2023,2023-05-16,365,interpolated
Alford,2024,2024-05-21,389,interpolated
Alford,2025,2025-05-20,410,carried
Alford,2026,2026-05-19,410,carried
Amesbury,2021,2021-11-02,13417,interpolated
Amesbury,2023,2023-11-07,13805,interpolated
Amesbury,2025,2025-11-04,14466,carried
Amherst,2021,2021-11-02,15316,interpolated
Amherst,2023,2023-11-07,13689,interpolated
Amherst,2025,2025-11-04,13537,carried
Andover,2021,2021-03-23,25415,interpolated
Andover,2022,2022-03-22,25570,interpolated
Andover,2023,2023-03-28,26148,interpolated
Andover,2024,2024-03-26,26358,snapshot
Andover,2025,2025-03-25,27246,carried
Andover,2026,2026-03-24,27246,carried
Aquinnah,2021,2021-06-24,416,interpolated
Aquinnah,2022,2022-05-12,411,interpolated
