municipality,year,url,alt_url
Holden,2022,https://www.holdenma.gov/sites/g/files/vyhlif4526/f/uploads/2022_05_09_unofficial_results_ate.pdf,https://www.holdenma.gov/home/news/may-9th-annual-town-election-unofficial-results
Holden,2025,https://www.holdenma.gov/sites/g/files/vyhlif4526/f/uploads/2025_05_12_official_results_ate.pdf,https://www.holdenma.gov/sites/g/files/vyhlif4526/f/uploads/2025_05_12_unofficial_results_ate.pdf
Norton,2021,https://www.nortonma.org/sites/g/files/vyhlif3606/f/news/2021.04.10_annual_town_election_-_official_results.pdf,https://www.nortonma.org/town-clerk/pages/election-results
Northbridge,2024,https://www.northbridgemass.org/town-clerk/files/town-election-results,https://www.northbridgemass.org/town-clerk/pages/election-information
Northbridge,2025,https://www.northbridgemass.org/town-clerk/files/2025-town-election,https://www.northbridgemass.org/town-clerk/pages/election-information
Swampscott,2021,https://www.swampscottma.gov/sites/g/files/vyhlif1296/f/uploads/4.27.21_town_election_resultsf.pdf,https://www.swampscottma.gov/town-clerk-elections/pages/election-results
Swampscott,2024,https://www.swampscottma.gov/sites/g/files/vyhlif1296/f/news/official_election_results_local_election_4.30.24_.pdf,https://www.swampscottma.gov/town-clerk-elections/pages/election-results
East Bridgewater,2022,https://www.eastbridgewaterma.gov/home/news/official-election-results,https://www.eastbridgewaterma.gov/town-clerk/news/official-election-results
Uxbridge,2021,https://www.uxbridge-ma.gov/sites/g/files/vyhlif3971/f/uploads/website_annual_report.pdf,https://www.uxbridge-ma.gov/town-clerk/pages/voting-elections
Uxbridge,2022,https://www.aol.com/amid-budget-crisis-uxbridge-voters-192118188.html,https://www.uxbridge-ma.gov/select-board/pages/annual-town-reports
Millbury,2021,https://www.millburyma.gov/home/news/official-election-results-april-27-2021,https://www.millburyma.gov/town-clerk/pages/annual-town-elections
Millbury,2022,https://www.millburyma.gov/home/news/official-election-results-april-26-2022,https://www.millburyma.gov/town-clerk/pages/annual-town-elections
Athol,2024,https://www.athol-ma.gov/sites/g/files/vyhlif2741/f/news/athol_election_results_4-1-2024.pdf,https://www.athol-ma.gov/town-clerk/pages/election-information
Athol,2025,https://www.athol-ma.gov/sites/g/files/vyhlif2741/f/uploads/athol_election_results_4-7-2025.pdf,https://www.athol-ma.gov/home/news/election-results-annual-town-election
Acushnet,2025,https://www.acushnet.ma.us/sites/g/files/vyhlif2721/f/uploads/4-22-2025_town_election_results_to_fax.pdf,https://www.acushnet.ma.us/home/news/april-22-2025-annual-town-election-ballot-warrant-information-final-results
Sutton,2024,https://www.suttonma.org/home/news/town-sutton-election-results-official,https://www.suttonma.org/home/news/spring-town-meeting-051324-election-details-05282024
Southwick,2024,https://www.southwickma.org/sites/g/files/vyhlif1241/f/uploads/ate_2024_official.pdf,https://www.southwickma.org/town-clerk/files/official-results-town-election-may-14-2024
Townsend,2024,https://www.townsendma.gov/sites/g/files/vyhlif1331/f/uploads/final_results_of_the_annual_town_election.pdf,https://www.townsendma.gov/home/files/final-results-annual-town-election-4-22-2024
Ayer,2021,https://www.ayer.ma.us/about-ayer/news/election-results-may-11-2021,https://www.ayer.ma.us/home/news/annual-town-election-unofficial-results-0
