municipality,year,url,alt_url
New Braintree,2024,https://web.archive.org/web/20240601id_/https://www.newbraintreema.us/vertical/sites/%7BDB28C06A-9981-4746-94BD-D376054BB741%7D/uploads/ATE_REsults.pdf,https://web.archive.org/web/20240901id_/https://www.newbraintreema.us/vertical/Sites/%7BDB28C06A-9981-4746-94BD-D376054BB741%7D/uploads/ATE_REsults.pdf
New Braintree,2024,https://web.archive.org/web/20241201id_/https://www.newbraintreema.us/vertical/sites/%7BDB28C06A-9981-4746-94BD-D376054BB741%7D/uploads/ATE_REsults.pdf,https://web.archive.org/web/20250201id_/https://www.newbraintreema.us/vertical/sites/%7BDB28C06A-9981-4746-94BD-D376054BB741%7D/uploads/ATE_REsults.pdf
New Braintree,2024,https://web.archive.org/web/20240601id_/https://www.newbraintreema.us/vertical/sites/%7BDB28C06A-9981-4746-94BD-D376054BB741%7D/uploads/sample_ballot.docx(1).pdf,https://web.archive.org/web/20240515id_/https://www.newbraintreema.us/elections
New Braintree,2024,https://web.archive.org/timemap/link/https://www.newbraintreema.us/vertical/sites/%7BDB28C06A-9981-4746-94BD-D376054BB741%7D/uploads/ATE_REsults.pdf,
East Brookfield,2024,https://web.archive.org/web/20240517id_/https://www.eastbrookfieldma.us/town-clerk/news/official-results,https://web.archive.org/web/20240601id_/http://www.eastbrookfieldma.us/town-clerk/news/official-results
East Brookfield,2024,https://web.archive.org/web/20240801id_/https://www.eastbrookfieldma.us/town-clerk/news/official-results,https://web.archive.org/web/20250101id_/https://www.eastbrookfieldma.us/town-clerk/news/official-results
East Brookfield,2024,https://web.archive.org/timemap/link/https://www.eastbrookfieldma.us/town-clerk/news/official-results,
East Brookfield,2024,https://web.archive.org/web/20240601id_/https://www.eastbrookfieldma.us/sites/g/files/vyhlif541/f/news/2024_ate_official_results.pdf,https://web.archive.org/web/20240601id_/https://www.eastbrookfieldma.us/sites/g/files/vyhlif541/f/news/official_results.pdf
East Brookfield,2024,https://web.archive.org/timemap/link/https://www.eastbrookfieldma.us/town-clerk/news,
Warren,2024,https://web.archive.org/timemap/link/https://www.warren-ma.gov/DocumentCenter,
Warren,2024,https://web.archive.org/web/20240601id_/https://www.warren-ma.gov/171/Election-Results,https://web.archive.org/web/20240601id_/https://www.warren-ma.gov/townclerk
Warren,2024,https://web.archive.org/timemap/link/https://www.warren-ma.gov/,
Turley QBG,2024,https://web.archive.org/web/2024id_/https://quaboagcurrent.turley.com/qc-archives/QBG051624.pdf,https://web.archive.org/web/2024id_/https://www.quaboagcurrent.turley.com/qc-archives/QBG051624.pdf
Turley QBG,2024,https://web.archive.org/web/2024id_/https://quaboagcurrent.turley.com/qc-archives/QBG052324.pdf,https://web.archive.org/web/2024id_/https://www.quaboagcurrent.turley.com/qc-archives/QBG052324.pdf
Turley WAR,2024,https://web.archive.org/web/2024id_/http://www.turley.com/warerivernews/wrn_archives/WAR050924.pdf,https://web.archive.org/web/2024id_/http://www.turley.com/warerivernews/wrn_archives/WAR051624.pdf
Turley BAR,2024,https://web.archive.org/web/2024id_/https://barregazette.turley.com/bg_archive/BAR050924.pdf,https://web.archive.org/web/2024id_/https://barregazette.turley.com/bg_archive/BAR051624.pdf
