municipality,year,url,alt_url
Andover,2021,https://andoverma.gov/DocumentCenter/View/9808,
Aquinnah,2024,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/atm_elections_results_2024.pdf,
Ashburnham,2021,https://www.ashburnham-ma.gov/sites/g/files/vyhlif266/f/uploads/official_results_of_town_election_for_april_27_2021.pdf,https://ashburnham-ma.gov/DocumentCenter/View/559/Annual-Election-Results-2021-
Ashburnham,2022,https://www.ashburnham-ma.gov/sites/g/files/vyhlif266/f/alerts/town_election_results_4-26-2022.pdf,https://www.ashburnham-ma.gov/DocumentCenter/View/627
Ashburnham,2024,https://ashburnham-ma.gov/DocumentCenter/View/2027/Annual-Election-Results-2024,https://www.ashburnham-ma.gov/DocumentCenter/View/2209
Ashburnham,2026,https://ashburnham-ma.gov/DocumentCenter/View/2718/Official-Election-Results-2026,https://ashburnham-ma.gov/DocumentCenter/View/2716/Unofficial-Town-Election-Results-April-28-2026
Ashfield,2022,https://ashfield.org/DocumentCenter/View/8672,https://ashfield.org/DocumentCenter/View/8712
Ashfield,2026,https://ashfield.org/DocumentCenter/View/12132,
Athol,2022,https://www.athol-ma.gov/sites/g/files/vyhlif2741/f/news/athol_election_results_4-4-2022.pdf,https://gardnermagazine.com/wp-content/uploads/2022/05/Hardwick-2022ElectionResults.pdf
Athol,2024,https://www.athol-ma.gov/sites/g/files/vyhlif2741/f/news/athol_election_results_4-1-2024.pdf,https://gardnermagazine.com/wp-content/uploads/2024/05/Ashburnham-2024-Town-Election-Results.pdf
Berkley,2022,https://townofberkleyma.gov/wp-content/uploads/2025/09/March-5-2022-Special-District-Election-Results.pdf,
Bernardston,2022,https://townofbernardston.org/images/clerk/Election_Results/2022_Town_Election_Results.pdf,
Blandford,2024,https://townofblandford.com/wp-content/uploads/2024/03/Blandford-certified-election-results-030524.pdf,https://townofblandford.com/wp-content/uploads/2024/06/election-results-060824.pdf
Boxborough,2026,https://www.boxborough-ma.gov/DocumentCenter/View/6366,https://www.boxborough-ma.gov/DocumentCenter/View/6553
Boxford,2026,https://ma-boxford.civicplus.com/DocumentCenter/View/3163,https://ma-boxford.civicplus.com/DocumentCenter/View/3164
