municipality,year,url,alt_url
Alford,2022,http://web.archive.org/web/20220308080314id_/https://www.townofalford.org/town-clerk/news/2022-annual-town-election,https://www.townofalford.org/town-clerk/news/2022-annual-town-election
Alford,2022,http://web.archive.org/web/20220308080217id_/https://www.townofalford.org/town-clerk/news/annual-town-election-may-17-2022-12pm-6pm,https://www.townofalford.org/town-clerk/news/annual-town-election-may-17-2022-12pm-6pm
Hancock,2026,http://web.archive.org/web/20220309211932id_/https://www.berkshireeagle.com/ap/national/colorado-elections-clerk-indicted-in-voting-system-breach/article_75e2a5cf-9889-57ea-a626-9a2ba6017d03.html,https://www.berkshireeagle.com/ap/national/colorado-elections-clerk-indicted-in-voting-system-breach/article_75e2a5cf-9889-57ea-a626-9a2ba6017d03.html
Hancock,2026,http://web.archive.org/web/20220511235317id_/https://www.berkshireeagle.com/ap/national/creeping-covid-19-cases-result-in-few-schools-mask-mandates/article_1f2de626-0d06-5a2e-8aba-8427e5c80c1d.html,https://www.berkshireeagle.com/ap/national/creeping-covid-19-cases-result-in-few-schools-mask-mandates/article_1f2de626-0d06-5a2e-8aba-8427e5c80c1d.html
Hancock,2026,http://web.archive.org/web/20221101200822id_/https://www.berkshireeagle.com/ap/national/exec-trump-organization-changed-pay-practices-post-election/article_267b4aca-8a35-57de-be57-0d8d4e74f9f9.html,https://www.berkshireeagle.com/ap/national/exec-trump-organization-changed-pay-practices-post-election/article_267b4aca-8a35-57de-be57-0d8d4e74f9f9.html
Hancock,2022,http://web.archive.org/web/20210925162144id_/https://www.berkshireeagle.com/ap/national/explainer-as-arizona-election-audit-ends-new-ones-begin/article_f7055405-14f8-5078-8a22-b8073edfbc59.html,https://www.berkshireeagle.com/ap/national/explainer-as-arizona-election-audit-ends-new-ones-begin/article_f7055405-14f8-5078-8a22-b8073edfbc59.html
Hancock,2026,http://web.archive.org/web/20240107155012id_/https://www.berkshireeagle.com/ap/national/hasina-is-set-to-stay-in-power-in-bangladesh-after-opposition-boycotts-election-saying-its/article_d4615357-3537-5a24-8f7a-26399c0eddc3.html,https://www.berkshireeagle.com/ap/national/hasina-is-set-to-stay-in-power-in-bangladesh-after-opposition-boycotts-election-saying-its/article_d4615357-3537-5a24-8f7a-26399c0eddc3.html
Hancock,2026,http://web.archive.org/web/20220725232251id_/https://www.berkshireeagle.com/ap/national/jury-selection-starts-for-alex-jones-defamation-trial/article_269dba74-2c08-55c0-ba80-5ab576227dc8.html,https://www.berkshireeagle.com/ap/national/jury-selection-starts-for-alex-jones-defamation-trial/article_269dba74-2c08-55c0-ba80-5ab576227dc8.html
Hancock,2022,http://web.archive.org/web/20220816043348id_/https://www.berkshireeagle.com/ap/national/palin-murkowski-highlight-alaskas-2-elections-on-tuesday/article_ff71cf22-42e5-5418-912a-295841dbae18.html,https://www.berkshireeagle.com/ap/national/palin-murkowski-highlight-alaskas-2-elections-on-tuesday/article_ff71cf22-42e5-5418-912a-295841dbae18.html
Hancock,2022,http://web.archive.org/web/20211101093755id_/https://www.berkshireeagle.com/ap/national/wall-street-rally-japan-election-drive-asian-shares-higher/article_4256091f-f9c4-508a-b738-17b056e86a22.html,https://www.berkshireeagle.com/ap/national/wall-street-rally-japan-election-drive-asian-shares-higher/article_4256091f-f9c4-508a-b738-17b056e86a22.html
Hancock,2022,http://web.archive.org/web/20221108132711id_/https://www.berkshireeagle.com/ap/politics/2022-midterms-live-updates-latest-election-news-from-ap/article_a87a73be-da9d-56b2-815a-db2578c47563.html,https://www.berkshireeagle.com/ap/politics/2022-midterms-live-updates-latest-election-news-from-ap/article_a87a73be-da9d-56b2-815a-db2578c47563.html
Hancock,2022,http://web.archive.org/web/20221128060555id_/https://www.berkshireeagle.com/ap/politics/arizona-counties-face-deadline-to-certify-2022-election/article_0d431b9d-3f64-56a3-bb9f-740d9b212281.html,https://www.berkshireeagle.com/ap/politics/arizona-counties-face-deadline-to-certify-2022-election/article_0d431b9d-3f64-56a3-bb9f-740d9b212281.html
Hancock,2026,http://web.archive.org/web/20230307222041id_/https://www.berkshireeagle.com/ap/politics/canada-to-examine-if-china-interfered-in-its-2021-elections/article_d81d4bba-f6cc-5f2a-8d26-3ac0f6b10bec.html,https://www.berkshireeagle.com/ap/politics/canada-to-examine-if-china-interfered-in-its-2021-elections/article_d81d4bba-f6cc-5f2a-8d26-3ac0f6b10bec.html
Hancock,2026,http://web.archive.org/web/20220309221943id_/https://www.berkshireeagle.com/ap/politics/colorado-elections-clerk-indicted-in-voting-system-breach/article_75e2a5cf-9889-57ea-a626-9a2ba6017d03.html,https://www.berkshireeagle.com/ap/politics/colorado-elections-clerk-indicted-in-voting-system-breach/article_75e2a5cf-9889-57ea-a626-9a2ba6017d03.html
Hancock,2022,http://web.archive.org/web/20220629033727id_/https://www.berkshireeagle.com/ap/politics/colorado-gop-deals-blow-to-election-denial-movement/article_54937322-6e96-597c-ab4d-42ac844db770.html,https://www.berkshireeagle.com/ap/politics/colorado-gop-deals-blow-to-election-denial-movement/article_54937322-6e96-597c-ab4d-42ac844db770.html
Hancock,2022,http://web.archive.org/web/20220629053636id_/https://www.berkshireeagle.com/ap/politics/colorado-gop-rejects-candidates-who-back-trump-election-lie/article_54937322-6e96-597c-ab4d-42ac844db770.html,https://www.berkshireeagle.com/ap/politics/colorado-gop-rejects-candidates-who-back-trump-election-lie/article_54937322-6e96-597c-ab4d-42ac844db770.html
Hancock,2026,http://web.archive.org/web/20210918210840id_/https://www.berkshireeagle.com/ap/politics/communists-observers-report-violations-in-russian-election/article_21b0147d-f391-58bb-ad26-cc637a97ee9f.html,https://www.berkshireeagle.com/ap/politics/communists-observers-report-violations-in-russian-election/article_21b0147d-f391-58bb-ad26-cc637a97ee9f.html
Hancock,2026,http://web.archive.org/web/20221109120859id_/https://www.berkshireeagle.com/ap/politics/democrat-katherine-clark-wins-reelection-to-u-s-house-in-massachusetts-5th-congressional-district/article_f23c3c24-9935-5e1c-8a46-26250fbb9f4d.html,https://www.berkshireeagle.com/ap/politics/democrat-katherine-clark-wins-reelection-to-u-s-house-in-massachusetts-5th-congressional-district/article_f23c3c24-9935-5e1c-8a46-26250fbb9f4d.html
Hancock,2022,http://web.archive.org/web/20220628095037id_/https://www.berkshireeagle.com/ap/politics/election-2022-abortion-central-in-first-post-roe-primaries/article_54937322-6e96-597c-ab4d-42ac844db770.html,https://www.berkshireeagle.com/ap/politics/election-2022-abortion-central-in-first-post-roe-primaries/article_54937322-6e96-597c-ab4d-42ac844db770.html
Hancock,2022,http://web.archive.org/web/20220628152248id_/https://www.berkshireeagle.com/ap/politics/election-2022-abortion-is-central-in-1st-post-roe-primaries/article_54937322-6e96-597c-ab4d-42ac844db770.html,https://www.berkshireeagle.com/ap/politics/election-2022-abortion-is-central-in-1st-post-roe-primaries/article_54937322-6e96-597c-ab4d-42ac844db770.html
Hancock,2022,http://web.archive.org/web/20220719120425id_/https://www.berkshireeagle.com/ap/politics/election-2022-maryland-voters-choosing-gov-hogan-successor/article_f11a2eb8-e31d-5eca-803f-80f010462572.html,https://www.berkshireeagle.com/ap/politics/election-2022-maryland-voters-choosing-gov-hogan-successor/article_f11a2eb8-e31d-5eca-803f-80f010462572.html
Hancock,2022,http://web.archive.org/web/20220719220326id_/https://www.berkshireeagle.com/ap/politics/election-2022-maryland-voting-for-successor-to-gov-hogan/article_f11a2eb8-e31d-5eca-803f-80f010462572.html,https://www.berkshireeagle.com/ap/politics/election-2022-maryland-voting-for-successor-to-gov-hogan/article_f11a2eb8-e31d-5eca-803f-80f010462572.html
Hancock,2022,http://web.archive.org/web/20220614123448id_/https://www.berkshireeagle.com/ap/politics/election-2022-nevada-gop-contest-crucial-to-senate-control/article_0859d1d5-2a2f-5b8b-9e8a-9b3d256855a2.html,https://www.berkshireeagle.com/ap/politics/election-2022-nevada-gop-contest-crucial-to-senate-control/article_0859d1d5-2a2f-5b8b-9e8a-9b3d256855a2.html
