municipality,year,url,alt_url
Hubbardston,2021,http://web.archive.org/web/20211211014018id_/https://www.hubbardstonma.us/sites/g/files/vyhlif3276/f/pages/final_candidate_list_for_june_8_2021_town_election_0.pdf,https://www.hubbardstonma.us/sites/g/files/vyhlif3276/f/pages/final_candidate_list_for_june_8_2021_town_election_0.pdf
Monson,2021,http://web.archive.org/web/20250419105709id_/https://www.monson-ma.gov/289/2021-Test-Results,https://www.monson-ma.gov/289/2021-Test-Results
Monson,2021,http://web.archive.org/web/20211117011612id_/https://www.monson-ma.gov/sites/g/files/vyhlif926/f/pages/outfall_sampling_results_memo_1.11.21.pdf,https://www.monson-ma.gov/sites/g/files/vyhlif926/f/pages/outfall_sampling_results_memo_1.11.21.pdf
Phillipston,2021,http://web.archive.org/web/20220302215642id_/https://www.phillipston-ma.gov/town-clerk/news/2021-general-election-results,https://www.phillipston-ma.gov/town-clerk/news/2021-general-election-results
Holbrook,2021,http://web.archive.org/web/20250621143054id_/https://tbdailynews.com/2020/01/21/fitchburg-online-discount-steak-saleswoman-diversifies-portfolio-by-selling-totally-not-stolen-memory-card/,https://tbdailynews.com/2020/01/21/fitchburg-online-discount-steak-saleswoman-diversifies-portfolio-by-selling-totally-not-stolen-memory-card/
Holbrook,2021,http://web.archive.org/web/20250819134304id_/https://tbdailynews.com/2021/01/08/weston-superintendent-writes-email-celebrating-election-of-raphael-warnock-says-blm-protesters-would-have-been-killed-if-they-rioted/,https://tbdailynews.com/2021/01/08/weston-superintendent-writes-email-celebrating-election-of-raphael-warnock-says-blm-protesters-would-have-been-killed-if-they-rioted/
Holbrook,2021,http://web.archive.org/web/20251005125319id_/https://tbdailynews.com/2021/01/16/rachael-rollins-chooses-not-to-prosecute-9-criminal-charges-that-her-siblings-committed-3-time-felon-brother-released-from-prison-shortly-after-drug-arrest-and-election/,https://tbdailynews.com/2021/01/16/rachael-rollins-chooses-not-to-prosecute-9-criminal-charges-that-her-siblings-committed-3-time-felon-brother-released-from-prison-shortly-after-drug-arrest-and-election/
Holbrook,2021,http://web.archive.org/web/20251117054533id_/https://tbdailynews.com/2021/04/01/5th-annual-ratchet-madness-selection-show-starts-tonight-at-9/,https://tbdailynews.com/2021/04/01/5th-annual-ratchet-madness-selection-show-starts-tonight-at-9/
Holbrook,2021,http://web.archive.org/web/20251107182623id_/https://tbdailynews.com/2021/04/08/providence-judge-requests-blogger-ask-leominster-judge-to-remove-order-against-mentally-ill-man-stalking-family-accuses-holden-police-of-lying-in-police-report/,https://tbdailynews.com/2021/04/08/providence-judge-requests-blogger-ask-leominster-judge-to-remove-order-against-mentally-ill-man-stalking-family-accuses-holden-police-of-lying-in-police-report/
Holbrook,2021,http://web.archive.org/web/20251009011230id_/https://tbdailynews.com/2021/05/11/i-lost-the-election-but-i-learned-a-lot-and-i-will-be-back/,https://tbdailynews.com/2021/05/11/i-lost-the-election-but-i-learned-a-lot-and-i-will-be-back/
Holbrook,2021,http://web.archive.org/web/20251015232628id_/https://tbdailynews.com/2021/06/02/manchester-attorney-robert-fojo-charges-plaintiffs-thousands-of-dollars-for-anti-covid-lawsuits-that-produce-no-results-swears-in-front-of-children-drives-drunk-down-one-way-streets/,https://tbdailynews.com/2021/06/02/manchester-attorney-robert-fojo-charges-plaintiffs-thousands-of-dollars-for-anti-covid-lawsuits-that-produce-no-results-swears-in-front-of-children-drives-drunk-down-one-way-streets/
Holbrook,2021,http://web.archive.org/web/20251010193408id_/https://tbdailynews.com/2021/06/10/barnstable-high-school-teacher-on-leave-and-under-investigation-for-preventing-student-from-hitting-another-student-and-accidentally-throwing-him-into-filing-cabinet/,https://tbdailynews.com/2021/06/10/barnstable-high-school-teacher-on-leave-and-under-investigation-for-preventing-student-from-hitting-another-student-and-accidentally-throwing-him-into-filing-cabinet/
Holbrook,2021,http://web.archive.org/web/20250908130616id_/https://tbdailynews.com/2021/06/29/rachael-rollins-alleges-mentally-ill-winthrop-man-married-to-bernie-sanders-supporting-social-justice-activist-killed-2-black-people-because-hes-a-white-supremacist/,https://tbdailynews.com/2021/06/29/rachael-rollins-alleges-mentally-ill-winthrop-man-married-to-bernie-sanders-supporting-social-justice-activist-killed-2-black-people-because-hes-a-white-supremacist/
Holbrook,2021,http://web.archive.org/web/20251018082035id_/https://tbdailynews.com/2021/09/08/worcester-pediatrician-seeks-attention-on-twitter-by-forcing-kids-to-wear-face-shields-at-airport-asking-nike-to-sign-her-mentally-abused-non-binary-daughter/,https://tbdailynews.com/2021/09/08/worcester-pediatrician-seeks-attention-on-twitter-by-forcing-kids-to-wear-face-shields-at-airport-asking-nike-to-sign-her-mentally-abused-non-binary-daughter/
Holbrook,2021,http://web.archive.org/web/20251018065928id_/https://tbdailynews.com/2021/09/20/gabby-petitos-likely-murder-was-the-sad-result-of-social-media-narcissism-gone-wrong/,https://tbdailynews.com/2021/09/20/gabby-petitos-likely-murder-was-the-sad-result-of-social-media-narcissism-gone-wrong/
Holbrook,2021,http://web.archive.org/web/20250803112954id_/https://tbdailynews.com/2021/10/22/millville-police-chief-forced-to-resign-as-a-result-of-turtleboy-exposing-him-for-nearly-running-over-woonsocket-cops-foot-and-abusing-his-authority/,https://tbdailynews.com/2021/10/22/millville-police-chief-forced-to-resign-as-a-result-of-turtleboy-exposing-him-for-nearly-running-over-woonsocket-cops-foot-and-abusing-his-authority/
Holbrook,2021,http://web.archive.org/web/20251014012154id_/https://tbdailynews.com/2021/11/02/turtleboy-election-night-coverage/,https://tbdailynews.com/2021/11/02/turtleboy-election-night-coverage/
Holbrook,2021,http://web.archive.org/web/20251113060459id_/https://tbdailynews.com/2021/12/14/newton-woman-accuses-turtleboy-of-digitally-lynching-white-newton-north-high-school-principal-for-criticizing-his-racist-pedophile-apologist-email/,https://tbdailynews.com/2021/12/14/newton-woman-accuses-turtleboy-of-digitally-lynching-white-newton-north-high-school-principal-for-criticizing-his-racist-pedophile-apologist-email/
Holbrook,2021,http://web.archive.org/web/20250806213500id_/https://tbdailynews.com/2022/12/21/michelle-wu-campaign-organizer-groomed-15-year-old-socialist-girl-for-kink-fetish-sex-after-meeting-on-campaign-hired-for-city-hall-job-after-election/,https://tbdailynews.com/2022/12/21/michelle-wu-campaign-organizer-groomed-15-year-old-socialist-girl-for-kink-fetish-sex-after-meeting-on-campaign-hired-for-city-hall-job-after-election/
Holbrook,2021,http://web.archive.org/web/20250826000749id_/https://tbdailynews.com/wp-content/uploads/2025/08/searchresults-21.pdf,https://tbdailynews.com/wp-content/uploads/2025/08/searchresults-21.pdf
Holbrook,2021,http://web.archive.org/web/20250819143649id_/https://tbdailynews.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftbdailynews.com%2F2021%2F01%2F08%2Fweston-superintendent-writes-email-celebrating-election-of-raphael-warnock-says-blm-protesters-would-have-been-killed-if-they-rioted%2F&format=xml,https://tbdailynews.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftbdailynews.com%2F2021%2F01%2F08%2Fweston-superintendent-writes-email-celebrating-election-of-raphael-warnock-says-blm-protesters-would-have-been-killed-if-they-rioted%2F&format=xml
Holbrook,2021,http://web.archive.org/web/20251107184046id_/https://tbdailynews.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftbdailynews.com%2F2021%2F04%2F08%2Fprovidence-judge-requests-blogger-ask-leominster-judge-to-remove-order-against-mentally-ill-man-stalking-family-accuses-holden-police-of-lying-in-police-report%2F&format=xml,https://tbdailynews.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftbdailynews.com%2F2021%2F04%2F08%2Fprovidence-judge-requests-blogger-ask-leominster-judge-to-remove-order-against-mentally-ill-man-stalking-family-accuses-holden-police-of-lying-in-police-report%2F&format=xml
Holbrook,2021,http://web.archive.org/web/20250819140603id_/https://tbdailynews.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftbdailynews.com%2F2021%2F01%2F08%2Fweston-superintendent-writes-email-celebrating-election-of-raphael-warnock-says-blm-protesters-would-have-been-killed-if-they-rioted%2F,https://tbdailynews.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftbdailynews.com%2F2021%2F01%2F08%2Fweston-superintendent-writes-email-celebrating-election-of-raphael-warnock-says-blm-protesters-would-have-been-killed-if-they-rioted%2F
Holbrook,2021,http://web.archive.org/web/20251107204341id_/https://tbdailynews.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftbdailynews.com%2F2021%2F04%2F08%2Fprovidence-judge-requests-blogger-ask-leominster-judge-to-remove-order-against-mentally-ill-man-stalking-family-accuses-holden-police-of-lying-in-police-report%2F,https://tbdailynews.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftbdailynews.com%2F2021%2F04%2F08%2Fprovidence-judge-requests-blogger-ask-leominster-judge-to-remove-order-against-mentally-ill-man-stalking-family-accuses-holden-police-of-lying-in-police-report%2F
