municipality,year,url,alt_url
Ashburnham,2022,https://www.ashburnham-ma.gov/sites/g/files/vyhlif266/f/alerts/town_election_results_4-26-2022.pdf,
Athol,2022,https://www.athol-ma.gov/sites/g/files/vyhlif2741/f/news/athol_election_results_4-4-2022.pdf,
Athol,2024,https://www.athol-ma.gov/sites/g/files/vyhlif2741/f/news/athol_annual_town_election_ballot_4-1-2024.pdf,https://www.athol-ma.gov/sites/g/files/vyhlif2741/f/news/athol_election_results_4-1-2024.pdf
Bedford,2022,https://www.thebedfordcitizen.org/wp-content/uploads/2022/03/2022-Preliminary-Tally.pdf,
Berkley,2022,https://townofberkleyma.gov/wp-content/uploads/2025/09/March-5-2022-Special-District-Election-Results.pdf,
Berlin,2024,https://www.townofberlin.com/sites/g/files/vyhlif4156/f/uploads/berlin_ma_-_nov_5_2024_-_unofficial_results_0.pdf,
Bernardston,2022,https://townofbernardston.org/images/clerk/Election_Results/2022_Town_Election_Results.pdf,
Boxford,2026,https://ma-boxford.civicplus.com/DocumentCenter/View/3163,https://ma-boxford.civicplus.com/DocumentCenter/View/3164
Carver,2022,https://www.carverma.gov/sites/g/files/vyhlif4221/f/uploads/2022_official_election_results.pdf,
Charlton,2023,https://www.townofcharlton.net/DocumentCenter/View/3776/Certified-vote-tally-2023,https://www.townofcharlton.net/DocumentCenter/View/3776/Certified-vote-tally-2023?bidId=
Dracut,2022,https://www.dracutma.gov/DocumentCenter/View/472/Town-Election-2022-Official-Results-PDF,
Easton,2022,https://eastontownma.documents-on-demand.com/Document/4e450b5a-45c3-ec11-a374-000c29a59557/2022.04.22%20Unofficial%20Results.pdf,https://eastontownma.documents-on-demand.com/Document/7ad395bb-d55f-ed11-a398-000c29a59557/2022.11.08%20Unofficial%20Results.pdf
Great Barrington,2022,https://www.townofgb.org/sites/g/files/vyhlif636/f/news/2022_ate_total_tally_sheet_final.pdf,https://www.townofgb.org/sites/g/files/vyhlif636/f/news/may_2022_annual_town_election_prelim_results.pdf
Groveland,2021,https://www.grovelandma.com/sites/g/files/vyhlif3191/f/news/2021_annual_town_elections_website_post_0.pdf,https://www.grovelandma.com/sites/g/files/vyhlif3191/f/uploads/groveland_election_official_results_2021_0.pdf
Groveland,2022,https://www.grovelandma.com/sites/g/files/vyhlif3191/f/news/2022_may_2nd_local_election_official_results.pdf,https://grovelandma.com/wp-content/uploads/2022/04/2013_town_election_results.pdf
Groveland,2026,https://grovelandma.com/departments/2026%20LOCAL%20ELECTON%20OFFICIAL%20RESULTS.pdf?t=202605081022500,
Hingham,2023,https://hingham-ma.gov/DocumentCenter/View/18323/2023-Town-Election-Results,
Holbrook,2022,https://www.holbrookma.gov/sites/g/files/vyhlif3261/f/pages/2022_11.8_election_results.pdf,
Hopedale,2024,https://www.hopedale-ma.gov/sites/g/files/vyhlif711/f/news/2024_official_results_sept.pdf,https://www.hopedale-ma.gov/sites/g/files/vyhlif711/f/news/unofficial_results_3-5-2024_0.pdf
Leominster,2021,https://leominster-ma.gov/DocumentCenter/View/1162/11-02-2021-Municipal-Election-Official-Results-PDF,
Lincoln,2022,http://www.lincolntown.org/DocumentCenter/View/72348/2022-Annual-Town-Election-Unofficial-Totals,
Lunenburg,2022,https://www.lunenburgma.gov/sites/default/files/field/files-docs/ate_tally_5.21.2022_0.pdf,
Marblehead,2026,https://marbleheadma.gov/wp-content/uploads/2026/06/Town-election-official-results-June-9-2026.pdf,
Marshfield,2026,https://cms3.revize.com/revize/allentx/Unofficial%20Election%20Results%202026.pdf?t=202605022343340&t=202605022343340,
Merrimac,2024,https://townofmerrimac.com/wp-content/uploads/2024/11/November-5-2024-Unofficial-Results.pdf,
Merrimac,2026,https://townofmerrimac.com/wp-content/uploads/2026/01/Unofficial-Results-Town-Election-5.5.2025-2.pdf,
Millis,2022,https://www.millisma.gov/sites/g/files/vyhlif901/f/news/may_2022_town_election_results.pdf,https://www.millisma.gov/sites/g/files/vyhlif901/f/news/unofficial_election_results_nov._8_2022.pdf
Millis,2023,https://www.millisma.gov/sites/g/files/vyhlif901/f/news/town_election_results_for_may_8_2023.pdf,
Mount Washington,2022,https://mountwashington-ma.gov/download/town_clerk/election_results/2022-5-10-Election-Results.pdf,
Mount Washington,2024,https://mountwashington-ma.gov/download/404/election-results/13033/2024-05-14-town-election-results.pdf?preview=1,
Nahant,2021,https://www.nahant.org/documents/clerk/town_election_results_apr_24_2021.pdf,https://nahant.org/wp-content/uploads/2021/07/town_election_results_apr_24_2021.pdf
Nahant,2022,https://nahant.org/wp-content/uploads/2022/12/ATE-OFFICIAL-RESULTS-2025-1.pdf,https://nahant.org/wp-content/uploads/2022/12/ATE-OFFICIAL-RESULTS-2025.pdf
Nahant,2026,https://nahant.org/wp-content/uploads/2025/06/ATE-UNOFFICIAL-RESULTS-2026.pdf,
Northfield,2022,https://www.northfieldma.gov/sites/g/files/vyhlif991/f/uploads/annual_town_election_may_3_2022_results_0.pdf,
Norwood,2026,https://www.norwoodma.gov/departments/town_clerk/Clerk/6.15.2026 SPECIAL TOWN ELECTION OFFICIAL RESULTS.pdf?t=202606171522460,https://www.norwoodma.gov/departments/town_clerk_and_accountant/voting_and_elections/Clerk/April 6 2026 ATE OFFICIAL RESULTS.pdf?t=202604131525170
Otis,2026,"https://townofotisma.com/boards_commissions/bor/Documents/Boards Commissions/Elections Board of Registrars/Elections/2026/Recount Results June 8, 2026.pdf?t=202606081920200",https://townofotisma.com/boards_commissions/bor/Documents/Boards Commissions/Elections Board of Registrars/Elections/2026/Annual Town Election Results 05-26-2026 UPDATED SPELLING AND FORMATTING.pdf?t=202605270944310
