municipality,year,url,alt_url
Alford,2022,https://www.townofalford.org/node/671/news,
Alford,2024,https://www.townofalford.org/home/town-clerk-office,
Blandford,2023,https://townofblandford.com/2023-annual-town-election-results/,
Douglas,2026,https://douglas-ma.gov/DocumentCenter/View/5178,
East Brookfield,2022,https://www.eastbrookfieldma.us/node/2027/news,
East Brookfield,2024,https://www.eastbrookfieldma.us/town-clerk/news/official-results-annual-town-election-2024,
Groton,2026,https://portal.grotonma.gov/storage/Election_Information/Ballots/Statement_Regarding_2026_Annual_Town_Election_Ballot.pdf,
Hatfield,2022,https://www.townofhatfield.org/town-clerk/pages/annual-town-meeting-election-information,
Hinsdale,2025,https://www.hinsdalemass.com/DocumentCenter/View/3326,
Holland,2022,https://town.holland.ma.us/sites/g/files/vyhlif3266/f/uploads/election_warrant_2022_003.pdf,
Hopedale,2021,https://hopedale-ma.gov/DocumentCenter/View/955/FY20-Annual-Town-Report,
Lincoln,2021,https://lincolntown.org/DocumentCenter/View/65260/Official-Annual-Town-Election-Results-2021,
Lincoln,2026,https://lincolntown.org/DocumentCenter/View/78779,
Millis,2021,https://www.millisma.gov/economic-development-committee,
New Ashford,2024,https://www.newashford-ma.us/departments-and-committees/town-clerk/elections/,
New Marlborough,2021,https://www.newmarlboroughma.gov/sites/g/files/vyhlif4771/f/pages/results_of_ate_5.10.21.pdf,
New Salem,2022,https://www.newsalemma.org/town-clerk/pages/election-results,
Peru,2022,https://www.townofperuma.com/town-clerk/elections/files/annual-town-election-june-11-2022-results,
Peru,2024,https://www.townofperuma.com/town-clerk/election/files/annual-town-election-june-8-2024-results,
Phillipston,2021,https://www.phillipston-ma.gov/town-clerk/news/2021-general-election-results,
Phillipston,2022,https://www.phillipston-ma.gov/sites/g/files/vyhlif3676/f/news/phillipston_-final_atr_fy2025_budget_document_04-22-2024_1.pdf,
Phillipston,2023,https://www.phillipston-ma.gov/sites/g/files/vyhlif3676/f/news/phillipston_-final_atr_fy2025_budget_document_04-22-2024_1.pdf,
Plainfield,2024,https://www.plainfield-ma.us/town-clerk/page/register-vote,
Raynham,2021,https://www.town.raynham.ma.us/town-clerk/news/unofficial-results-town-election-april-24-2021,
Richmond,2024,https://www.townofrichmond-ma.gov/board-selectmen/files/richmond-election-results-may-20-2024,
Rockland,2024,https://rockland-ma.gov/DocumentCenter/View/3869/FINAL-September-3-2024-Election-Results,
Rowley,2021,https://www.townofrowley.net/sites/g/files/vyhlif4956/f/uploads/2021_town_report_final.pdf,
Royalston,2024,https://www.royalston-ma.gov/sites/g/files/vyhlif5901/f/uploads/2024_town_election_results-official.pdf,
Rutland,2022,https://rutlandma.gov/DocumentCenter/View/860/FY2022-Annual-Town-Report,
Savoy,2021,https://www.savoy-ma.gov/sites/g/files/vyhlif6856/f/uploads/2021_annual_town_report.pdf,
Savoy,2022,https://www.savoy-ma.gov/sites/g/files/vyhlif6856/f/uploads/2022_annual_town_report.pdf,
Shelburne,2021,https://www.shelburne-ma.gov/town-clerk/files/2021-annual-town-election-official-results,
Sherborn,2024,https://www.sherbornma.org/DocumentCenter/View/2205,
Southbridge,2023,https://www.southbridgema.gov/sites/g/files/vyhlif4796/f/pages/2023_ate_final_results.pdf,
Sturbridge,2021,https://sturbridge.org/DocumentCenter/View/7969/2021-Annual-Town-Election-Results,
Sutton,2021,https://www.suttonma.org/town-clerk/files/general-bylaws,
Sutton,2022,https://www.suttonma.org/town-clerk/news/annual-town-election-official-results-may-27-2025,
Sutton,2026,https://www.suttonma.gov/DocumentCenter/View/1030/Annual-Town-Election-2026-Available-Positions,
Tolland,2021,https://www.tolland-ma.gov/police-department/links/mass-state-police,
Tolland,2024,https://www.tolland-ma.gov/town-clerk/links/massachusetts-secretary-state,
Tyngsborough,2022,https://tyngsboroughma.gov/DocumentCenter/View/746,
Tyngsborough,2023,https://www.tyngsboroughma.gov/wp-content/uploads/2023/05/TOWN-ELECTION-16-MAY-2023.pdf,
Tyringham,2023,https://www.tyringham-ma.gov/sites/g/files/vyhlif1336/f/news/annual_town_election_results_5-15-23.pdf,
Warren,2022,https://www.warren-ma.gov/sites/g/files/vyhlif3996/f/news/revised_final_plan_-_warren_2024.pdf,
Washington,2021,https://www.washington-ma.gov/community/washington-insights-articles,
Wendell,2021,https://www.wendell-ma.gov/town-clerk/pages/election-results,
West Tisbury,2026,https://westtisbury-ma.gov/District Vote 6-2-2026- West Tisbury.pdf,
