municipality,year,url,alt_url
Abington,2021,http://www.abingtonma.gov/sites/abingtonma/files/unofficial_election_results.pdf,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/news/unofficial_election_results_0.pdf
Abington,2022,http://www.abingtonma.gov/sites/abingtonma/files/unofficial_election_results.pdf,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/news/unofficial_election_results_0.pdf
Abington,2026,http://www.abingtonma.gov/sites/abingtonma/files/unofficial_election_results.pdf,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/news/unofficial_election_results_0.pdf
Adams,2024,https://www.town.adams.ma.us/sites/g/files/vyhlif141/f/news/09.24.24_adams_fire_district_special_election_results.pdf,
Alford,2022,https://www.townofalford.org/sites/g/files/vyhlif6926/f/uploads/results_of_the_annual_town_election_on_may_18_2021.pdf,
Alford,2024,https://www.townofalford.org/sites/g/files/vyhlif6926/f/uploads/results_of_the_annual_town_election_on_may_18_2021.pdf,
Alford,2026,https://www.townofalford.org/sites/g/files/vyhlif6926/f/uploads/results_of_the_annual_town_election_on_may_18_2021.pdf,
Andover,2021,https://andoverma.gov/DocumentCenter/View/11651/Memorial-Hall-Library-Community-Survey-Results---December-2021,https://andoverma.gov/DocumentCenter/View/12578/March-28-2023-Annual-Town-Election---Unofficial-Results
Andover,2026,https://andoverma.gov/DocumentCenter/View/12578/March-28-2023-Annual-Town-Election---Unofficial-Results,https://andoverma.gov/DocumentCenter/View/12578/March-28-2023-Annual-Town-Election---Unofficial-Results?bidId=
Aquinnah,2024,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/atm_elections_results_2024.pdf,
Arlington,2026,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_Selectmen/Summits/Summit%20IV%20Results.pdf,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_Clerk/elections/2013/04062013_UnofficialResults.pdf
Ashburnham,2021,https://www.ashburnham-ma.gov/sites/g/files/vyhlif266/f/uploads/official_results_of_town_election_for_april_27_2021.pdf,https://ashburnham-ma.gov/DocumentCenter/View/559/Annual-Election-Results-2021-
Ashburnham,2022,https://ashburnham-ma.gov/DocumentCenter/View/1545/2022-Survey-Results-raw-data,https://www.ashburnham-ma.gov/DocumentCenter/View/2201/Ashburnham-unofficial-results-11-5-24
Ashburnham,2024,https://www.ashburnham-ma.gov/DocumentCenter/View/2027/2024-Town-Election-Results,https://ashburnham-ma.gov/DocumentCenter/View/2027/Annual-Election-Results-2024
Ashburnham,2026,https://ashburnham-ma.gov/DocumentCenter/View/2716/Unofficial-Town-Election-Results-April-28-2026,https://ashburnham-ma.gov/DocumentCenter/View/2718/Official-Election-Results-2026
Ashfield,2022,http://ashfield.org/documents/TownClerk/AshfieldUnofficialLocalElectionResultsMay42013.pdf,https://ashfield.org/DocumentCenter/View/7137/Local-Election-20210605-Results
Ashfield,2026,http://ashfield.org/documents/TownClerk/AshfieldUnofficialLocalElectionResultsMay42013.pdf,https://ashfield.org/DocumentCenter/View/7137/Local-Election-20210605-Results
