municipality,year,url,alt_url
Abington,2021,http://www.abingtonma.gov/sites/abingtonma/files/file/file/official_election_results.pdf,
Abington,2022,http://www.abingtonma.gov/sites/abingtonma/files/file/file/official_election_results.pdf,
Abington,2026,http://www.abingtonma.gov/sites/abingtonma/files/file/file/official_election_results.pdf,
Andover,2021,https://andoverma.gov/DocumentCenter/View/12578/March-28-2023-Annual-Town-Election---Unofficial-Results?bidId=,
Andover,2026,https://andoverma.gov/DocumentCenter/View/10735/UNOFFICIAL-RESULTS-MARCH-2022,
Arlington,2026,http://www.arlingtonma.gov/Public_Documents/ArlingtonMA_Clerk/elections/2002/2002_AnnualElection_Results.pdf,
Ashburnham,2021,https://www.ashburnham-ma.gov/DocumentCenter/View/2201/Ashburnham-unofficial-results-11-5-24,
Ashburnham,2022,https://www.ashburnham-ma.gov/DocumentCenter/View/2201/Ashburnham-unofficial-results-11-5-24?bidId=,
Ashburnham,2024,https://www.ashburnham-ma.gov/DocumentCenter/View/2201/Ashburnham-unofficial-results-11-5-24,
Ashburnham,2026,https://www.ashburnham-ma.gov/DocumentCenter/View/2201/Ashburnham-unofficial-results-11-5-24,
Ashfield,2022,https://www.ashfield.org/DocumentCenter/View/7190/SSOC-Survey-Results,
Ashfield,2026,https://www.ashfield.org/DocumentCenter/View/7190/SSOC-Survey-Results,
Ashland,2026,https://www.ashlandmass.com/DocumentCenter/View/13887/2024-Annual-Town-Election-Unofficial-Results,
Athol,2022,https://www.athol-ma.gov/sites/g/files/vyhlif2741/f/news/athol_election_results_4-1-2024.pdf,
Athol,2024,https://www.athol-ma.gov/sites/g/files/vyhlif2741/f/news/athol_election_results_4-4-2022.pdf,
Athol,2026,https://www.athol-ma.gov/sites/g/files/vyhlif2741/f/news/athol_election_results_4-4-2022.pdf,
Avon,2026,https://www.avon-ma.gov/DocumentCenter/View/3272/Election-Results,
Ayer,2021,https://www.ayer.ma.us/DocumentCenter/View/2375/Election-Results-PDF,
Barre,2026,https://www.townofbarre.com/vertical/sites/%7BBE114F1B-906E-45B0-8413-50FFE8B51C22%7D/uploads/2024-3-5-PresPrim-Unofficial-Results-pdf.pdf,
Becket,2023,https://www.townofbecket.org/sites/g/files/vyhlif4146/f/uploads/post_election_tabulation_notice.pdf,
Becket,2024,https://www.townofbecket.org/sites/g/files/vyhlif4146/f/uploads/post_election_tabulation_notice.pdf,
Berkley,2022,https://townofberkleyma.gov/wp-content/uploads/2024/12/2023-Annual-Town-Election-Official-Results.pdf,
Berlin,2024,http://www.townofberlin.com/wp-content/uploads/2013/12/Election-Results-Local-Town-Election-2013.pdf,
Berlin,2026,http://www.townofberlin.com/wp-content/uploads/2013/12/Election-Results-Local-Town-Election-2013.pdf,
Blandford,2023,https://townofblandford.com/wp-content/uploads/2024/06/election-results-060824.pdf,
Blandford,2024,https://townofblandford.gov/wp-content/uploads/2024/06/election-results-060824.pdf,
Blandford,2026,https://townofblandford.com/wp-content/uploads/2024/06/election-results-060824.pdf,
Boxborough,2026,https://www.boxborough-ma.gov/DocumentCenter/View/2334/Liberty-Field-Bid-Results---6222022,
Boxford,2024,https://boxfordlibrary.org/DocumentCenter/View/802/Preliminary-Unofficial-Results-Boxford-June-29-2021-Annual-Town-Election-Page-3-JPG,
Boxford,2026,https://boxfordlibrary.org/DocumentCenter/View/802/Preliminary-Unofficial-Results-Boxford-June-29-2021-Annual-Town-Election-Page-3-JPG,
Boylston,2021,https://www.boylston-ma.gov/sites/g/files/vyhlif4171/f/uploads/2024_town_election_official_results.pdf,
Boylston,2022,https://www.boylston-ma.gov/sites/g/files/vyhlif4171/f/uploads/2024_town_election_official_results.pdf,
Boylston,2026,https://www.boylston-ma.gov/sites/g/files/vyhlif4171/f/uploads/2024_town_election_official_results.pdf,
Brewster,2021,https://brewster-ma.gov/files/dem20tallypdf.pdf,
Brewster,2023,https://brewster-ma.gov/files/dem20tallypdf.pdf,
Brewster,2026,https://brewster-ma.gov/files/dem20tallypdf.pdf,
Brimfield,2022,http://www.brimfieldma.org/Pages/2017electionresults.pdf,
Brimfield,2026,http://www.brimfieldma.org/Pages/2017electionresults.pdf,
Canton,2022,https://town.canton.ma.us/DocumentCenter/View/10087/Democratic-Results,
Canton,2026,https://town.canton.ma.us/DocumentCenter/View/10087/Democratic-Results,
Carlisle,2024,http://www.carlislema.gov/Pages/CarlisleMA_Clerk/Elections/2008/13%20May%202008%20Annual%20Town%20Election%20Results.pdf,
Carver,2021,http://www.carverma.gov/sites/carverma/files/uploads/tally.pdf,
Carver,2022,http://www.carverma.gov/sites/carverma/files/uploads/total_tally_-_official.pdf,
Charlemont,2026,https://charlemont-ma.us/news/newsfile_20139_2023_Annual_Election_Results.pdf,
Charlton,2023,https://www.townofcharlton.net/DocumentCenter/View/3776/Certified-vote-tally-2023,
Chatham,2021,https://www.chatham-ma.gov/DocumentCenter/View/8724/ATM-2025-Article-Scorecard-Unofficial-Results-051025-PDF,
Chatham,2023,https://www.chatham-ma.gov/DocumentCenter/View/8724/ATM-2025-Article-Scorecard-Unofficial-Results-051025-PDF,
Chester,2023,https://townofchester.net/wp-content/uploads/2017/11/ATM-results-20160611.pdf,
Chester,2024,https://townofchester.net/wp-content/uploads/2024/11/Election-Results-State-11-5-2024.pdf,
Chesterfield,2021,https://townofchesterfieldma.com/attachments/article/279/Results%20of%20the%20Cannabis%20Survey.pdf,
Chilmark,2022,https://www.sec.state.ma.us/divisions/securities/download/BICE-Draft-Report-Fiduciary-Rule-and-Survey-Results-10-27-16.pdf,
Chilmark,2024,https://www.sec.state.ma.us/divisions/securities/download/BICE-Draft-Report-Fiduciary-Rule-and-Survey-Results-10-27-16.pdf,
Clinton,2021,http://www.clintonma.gov:80/2014%20Town%20Election%20Results.pdf,
Clinton,2022,http://www.clintonma.gov:80/2014%20Town%20Election%20Results.pdf,
Clinton,2023,http://www.clintonma.gov:80/2014%20Town%20Election%20Results.pdf,
Clinton,2026,http://www.clintonma.gov:80/2014%20Town%20Election%20Results.pdf,
Colrain,2021,https://colrain-ma.gov/files/Final_Tally_Results_Town_Election_05072024_ColrainMA.pdf,
Colrain,2022,https://colrain-ma.gov/files/Final_Tally_Results_Town_Election_05072024_ColrainMA.pdf,
Colrain,2026,https://colrain-ma.gov/files/Final_Tally_Results_Town_Election_05022023_ColrainMA.pdf,
Concord,2026,https://www.concordma.gov/DocumentCenter/View/47280/20240305_Unofficial-Election-Results,
Cummington,2021,https://cummington-ma.gov/DDGAssets/Board/PB2020SurveyResults.pdf,
Cummington,2023,https://cummington-ma.gov/DDGAssets/Board/PB2020SurveyResults.pdf,
Cummington,2026,https://cummington-ma.gov/DDGAssets/Board/PB2020SurveyResults.pdf,
Dalton,2021,http://www.dalton-ma.gov/vertical/sites/%7B204E6885-7D62-4A77-ACAF-365E762BDF59%7D/uploads/2013June25StateResult.pdf,
Dalton,2022,http://www.dalton-ma.gov/vertical/sites/%7B204E6885-7D62-4A77-ACAF-365E762BDF59%7D/uploads/2013June25StateResult.pdf,
Dalton,2023,http://www.dalton-ma.gov/vertical/sites/%7B204E6885-7D62-4A77-ACAF-365E762BDF59%7D/uploads/2013June25StateResult.pdf,
Dalton,2024,http://www.dalton-ma.gov/vertical/sites/%7B204E6885-7D62-4A77-ACAF-365E762BDF59%7D/uploads/2013June25StateResult.pdf,
Dalton,2026,http://www.dalton-ma.gov/vertical/sites/%7B204E6885-7D62-4A77-ACAF-365E762BDF59%7D/uploads/2013June25StateResult.pdf,
Dartmouth,2021,https://www.dartmouthma.gov/DocumentCenter/View/334/2005-April-5-Annual-Town-Election-Official-Results-PDF,
Dartmouth,2022,https://www.dartmouthma.gov/DocumentCenter/View/334/2005-April-5-Annual-Town-Election-Official-Results-PDF,
Dartmouth,2026,https://www.dartmouthma.gov/DocumentCenter/View/334/2005-April-5-Annual-Town-Election-Official-Results-PDF,
Dighton,2021,https://dighton-ma.gov/DocumentCenter/View/3054/Official-Election-Results-PP-3524pdf,
Dracut,2021,https://www.dracutma.gov/DocumentCenter/View/3231/MBTA-Communities-Survey-Results-PDF,
Dracut,2022,http://www.dracutma.gov/sites/dracutma/files/uploads/copy_of_statepres_election_110816_results_unofficial.pdf,
Dudley,2021,https://www.dudleyma.gov/DocumentCenter/View/659/Annual-Town-Election-Official-Results-June-13-2022-PDF,
Dudley,2024,https://dudleyma.gov/wp-content/uploads/Dudley-ATE-06152020-Official-Election-Results-v2.pdf,
Dunstable,2022,http://dunstable-ma.gov/pages/DunstableMA_Clerk/results/11.pdf,
Dunstable,2026,http://dunstable-ma.gov/pages/DunstableMA_Clerk/results/12.pdf,
Eastham,2026,http://www.eastham-ma.gov/Public_Documents/EasthamMA_Procurement/Contract4waterBid/Contract4_Bid%20Results.pdf,
Easton,2022,https://eastontownma.documents-on-demand.com/Document/55f35603-e022-f011-a447-000c29a59557/Annual%20Town%20Election%20Unofficial%20Results%20-%2004.26.2025.pdf,
Egremont,2021,https://www.egremont-ma.gov/DocumentCenter/View/1154/Tabulated-Results-and-All-Responses-from-the-Comprehensive-and-Open-Space-and-Recreation-Plans-Second-Community-Wide-Survey-PDF,
Erving,2021,https://www.erving-ma.gov/DocumentCenter/View/2761/December-2020-Park-Survey-Results-Summary-PDF,
Erving,2022,https://www.erving-ma.gov/DocumentCenter/View/237/Handling-the-Mentally-Ill-DOC,
Erving,2026,https://www.erving-ma.gov/DocumentCenter/View/237/Handling-the-Mentally-Ill-DOC,
Georgetown,2026,http://www.georgetownma.gov/Public_Documents/GeorgetownMA_Clerk/Election%20Results/5-14-12%20election%20results.pdf,
Granville,2026,https://www.granville-ma.gov/DocumentCenter/View/1012/2024-State-Federal-Election-Results,
Great Barrington,2022,http://www.townofgb.org/Pages/GBarringtonMA_Clerk/ELECTION%20RESULTS.pdf,
Groton,2022,https://portal.grotonma.gov/storage/Election_Information/2022%20Election%20Results/2022_Primary_Final_Results.pdf,
Groton,2026,https://portal.grotonma.gov/storage/Election_Information/2008%20Election%20Results/2008-05-20_Official_Results.pdf,
Groveland,2021,https://www.grovelandma.com/Documents/Community/Grants%20Projects/Stormwater%20Management%20Program/Groveland-Dry-Weater-Screening-Results-2021.pdf?t=202506271234480,
Groveland,2022,https://grovelandma.com/wp-content/uploads/2022/04/groveland_election_official_results_2021_0.pdf,
Groveland,2026,https://grovelandma.com/wp-content/uploads/2023/05/2023-Official-Election-Results-May-1-2023-Local-Election-1.pdf,
Hadley,2026,http://hadleyma.org/pages/HadleyMA_Clerk/2015ATEresults.pdf,
Hanson,2024,https://www.hanson-ma.gov/sites/g/files/vyhlif3231/f/uploads/annual_town_election_results.pdf,
Hanson,2026,https://www.hanson-ma.gov/sites/g/files/vyhlif3231/f/uploads/annual_town_election_results.pdf,
Haverhill,2023,https://www.haverhillma.gov/media/z4pmtfye/haverhill-general-municipal-election-official-results.pdf,
Hawley,2021,http://www.townofhawley.com/wp-content/uploads/docs/Highways/Bid-all-results-FY20.pdf,
Hawley,2022,http://www.townofhawley.com/wp-content/uploads/docs/Highways/Bid-all-results-FY20.pdf,
Hawley,2024,http://www.townofhawley.com/wp-content/uploads/docs/Bulletins%26NewsItems/FY21King-Corner-Projec%20BID-results-AWARD.pdf,
Hawley,2026,http://www.townofhawley.com/wp-content/uploads/docs/Highways/Bid-all-results-FY20.pdf,
Hingham,2023,https://www.hingham-ma.gov/DocumentCenter/View/17899/PFAS-Results-Summary-Updated-November-2023?bidId=,
Hinsdale,2021,https://hinsdalemass.com/DocumentCenter/View/988/lead_and_copper_test_results-_oct_2023pdf,
Hinsdale,2022,https://hinsdalemass.com/DocumentCenter/View/988/lead_and_copper_test_results-_oct_2023pdf,
Hinsdale,2025,https://hinsdalemass.com/DocumentCenter/View/988/lead_and_copper_test_results-_oct_2023pdf,
Hinsdale,2026,https://hinsdalemass.com/DocumentCenter/View/988/lead_and_copper_test_results-_oct_2023pdf,
Holbrook,2021,https://www.holbrookma.gov/DocumentCenter/View/307/Opioid-Settlement-Survey-Results-PDF,
Holbrook,2022,https://www.holbrookma.gov/DocumentCenter/View/307/Opioid-Settlement-Survey-Results-PDF,
Holbrook,2026,https://www.holbrookma.gov/DocumentCenter/View/307/Opioid-Settlement-Survey-Results-PDF,
Holland,2021,https://town.holland.ma.us/sites/g/files/vyhlif3266/f/news/official_town_election_results_6-11-2024.pdf,
Holland,2022,https://town.holland.ma.us/sites/g/files/vyhlif3266/f/uploads/2021_election_results.pdf,
Holland,2024,https://town.holland.ma.us/sites/g/files/vyhlif3266/f/uploads/2021_election_results.pdf,
Holland,2026,https://town.holland.ma.us/sites/g/files/vyhlif3266/f/uploads/2021_election_results.pdf,
Holliston,2026,https://www.townofholliston.us/DocumentCenter/View/761/Republican-Results-PDF,
Holyoke,2021,https://storage.googleapis.com/5paisa-prod-storage/files/investor_relations/2021-05/financial-results-for-quarter-ended-december-2019.pdf,
Hopedale,2021,http://www.hopedale-ma.gov/Public_Documents/HopedaleMA_BBoard/0090A018-000F8513.4/Survey%20Results%20&%20Design%20Workshop%20Slides.pdf,
Hopedale,2024,http://www.hopedale-ma.gov/Public_Documents/HopedaleMA_BBoard/0090A018-000F8513.4/Survey%20Results%20&%20Design%20Workshop%20Slides.pdf,
Hopkinton,2021,https://ehop.org/wp/wp-content/uploads/2024/06/2024-05-20-Annual-Town-Election-Official-Results.pdf,
Hopkinton,2026,https://ehop.org/wp/wp-content/uploads/2024/06/2024-05-20-Annual-Town-Election-Official-Results.pdf,
Hubbardston,2021,http://hubbardstonma.us/pdfs/OfficialElectionResults06082010.pdf,
Hubbardston,2024,http://hubbardstonma.us/pdfs/OfficialElectionResults06082010.pdf,
Hudson,2026,https://www.townofhudson.org/sites/g/files/vyhlif3281/f/uploads/may_13_2024_annual_town_election_unofficial_results.pdf,
Huntington,2023,https://www.huntingtonma.us/Documents/Clerk/11-3-20%20Master%20Tally%20Consolidated-To%20Post.pdf,
Huntington,2026,https://www.huntingtonma.us/Documents/Clerk/11-3-20%20Master%20Tally%20Consolidated-To%20Post.pdf,
Ipswich,2024,https://www.ipswichma.gov/DocumentCenter/View/1078/Appendix-B---Survey-Results-PDF?bidId=,
Lanesborough,2021,https://www.lanesborough-ma.gov/sites/g/files/vyhlif761/f/uploads/soliciting_and_canvassing_permit_application_final.pdf,
Lanesborough,2026,https://www.lanesborough-ma.gov/sites/g/files/vyhlif761/f/uploads/soliciting_and_canvassing_permit_application_final.pdf,
Lee,2023,https://leema.gov/DocumentCenter/View/214,
Leicester,2024,https://www.leicesterma.org/DocumentCenter/View/1963/Indoor-Air-Results-as-of-9-18-21-PDF,
Leominster,2021,https://leominster-ma.gov/DocumentCenter/View/1171,
Leominster,2023,https://leominster-ma.gov/DocumentCenter/View/4097/Leominster-Municipal-Election-November-4-2025-Unofficial-Results?utm_source=chatgpt.com,
