municipality,year,url,alt_url
Andover,2021,https://www.andoverma.gov/documentcenter/view/9808,
Ashburnham,2024,https://www.ashburnham-ma.gov/DocumentCenter/View/2027,
Boxborough,2026,https://www.boxborough-ma.gov/DocumentCenter/View/6556,
Clinton,2026,https://www.clintonma.gov/DocumentCenter/View/4191,https://www.clintonma.gov/DocumentCenter/View/4190
Dartmouth,2021,https://www.dartmouthma.gov/DocumentCenter/View/6599,
Dartmouth,2022,https://www.dartmouthma.gov/documentcenter/view/338,
Essex,2023,https://www.essexma.org/documentcenter/view/793,
Hatfield,2026,https://www.townofhatfield.org/m/NewsFlash/Home/Detail/30,https://www.townofhatfield.org/DocumentCenter/View/3618
Ipswich,2024,https://www.ipswichma.gov/documentcenter/view/16799,
Medfield,2021,https://www.town.medfield.net/documentcenter/view/5085,
Methuen,2023,https://www.cityofmethuen.net/documentcenter/view/2254,
Needham,2023,https://www.needhamma.gov/5380/Preliminary-Tally-Sheet-for-the-Tuesday-April-11-2023-Annual-Town-Election,https://www.needhamma.gov/DocumentCenter/View/43092
Needham,2024,https://www.needhamma.gov/DocumentCenter/View/45484,
Spencer,2023,https://www.spencerma.gov/DocumentCenter/View/1194,https://www.spencerma.gov/DocumentCenter/View/1202
Sunderland,2022,https://www.townofsunderland.us/DocumentCenter/View/373,
Sunderland,2024,https://www.townofsunderland.us/DocumentCenter/View/367,
Swampscott,2021,https://www.swampscottma.gov/DocumentCenter/View/2295,
Truro,2024,https://www.truro-ma.gov/documentcenter/view/874,
Wareham,2021,https://www.wareham.ma.us/documentcenter/view/2837,
Wareham,2023,https://www.wareham.ma.us/documentcenter/view/2838,
