municipality,year,url,alt_url
Andover,2021,https://andoverma.gov/DocumentCenter/View/11651/Memorial-Hall-Library-Community-Survey-Results---December-2021,
Andover,2021,https://andoverma.gov/DocumentCenter/View/9808,
Ashburnham,2021,https://ashburnham-ma.gov/DocumentCenter/View/559/Annual-Election-Results-2021-,
Ashburnham,2021,https://www.ashburnham-ma.gov/DocumentCenter/View/2650,
Ashburnham,2022,https://www.ashburnham-ma.gov/DocumentCenter/View/627,
Ashburnham,2024,https://ashburnham-ma.gov/DocumentCenter/View/2027/Annual-Election-Results-2024,
Ashburnham,2024,https://www.ashburnham-ma.gov/DocumentCenter/View/2209,
Ashburnham,2026,https://ashburnham-ma.gov/DocumentCenter/View/2718/Official-Election-Results-2026,
Ashburnham,2026,https://ashburnham-ma.gov/DocumentCenter/View/2716/Unofficial-Town-Election-Results-April-28-2026,
Ashland,2026,https://www.ashlandmass.com/DocumentCenter/View/16685,
Ashland,2026,https://www.ashlandmass.com/DocumentCenter/View/16692,
Boxborough,2026,https://boxborough-ma.gov/DocumentCenter/View/6369/03-07-2026-Certified-Votes-Debt-Exclusion-Special-Town-Election-PDF,
Canton,2022,https://town.canton.ma.us/DocumentCenter/View/9625/2022-Town-Election-Results,
Canton,2026,https://town.canton.ma.us/DocumentCenter/View/12668/Q1-2026-Operating-Results-Enterprise-Funds,
Canton,2026,https://town.canton.ma.us/DocumentCenter/View/12669/Q1-2026-Operating-Results-General-Fund,
Chester,2023,https://townofchester.net/2023/07/special-town-election-results/,
Chester,2023,https://townofchester.net/wp-content/uploads/2023/09/drinking-water-results-0923.pdf,
Chester,2024,https://townofchester.net/2024/11/election-results-11-5-24/,
Chester,2024,https://townofchester.net/wp-content/uploads/2024/11/Election-Results-State-11-5-2024.pdf,
Clinton,2021,https://clintonma.gov/DocumentCenter/View/2344/2021-Town-Election-Results-PDF,
Clinton,2022,https://clintonma.gov/DocumentCenter/View/2542,
Clinton,2023,https://clintonma.gov/DocumentCenter/View/2985,
Clinton,2026,https://clintonma.gov/DocumentCenter/View/4191,
Conway,2026,https://conwayma.gov/n/2235/2026-Local-Election-Results,
Dartmouth,2021,https://dartmouthma.gov/DocumentCenter/View/6599/2021-April-6-Annual-Town-Election-Official-Results,
Dartmouth,2021,https://www.town.dartmouth.ma.us/DocumentCenter/View/6599,
Dartmouth,2022,https://dartmouthma.gov/DocumentCenter/View/338/2022-April-5-Annual-Town-Election-Official-Results-PDF,
Dartmouth,2026,https://dartmouthma.gov/DocumentCenter/View/6999/2026-Dartmouth-Beach-Testing-Results-Spreadsheet,
Dartmouth,2026,https://dartmouthma.gov/DocumentCenter/View/6547/2026-April-7-Annual-Town-Election-OFFICIAL-Results,
Douglas,2024,https://douglas-ma.gov/DocumentCenter/View/4590/Douglas-Master-Plan-Survey-Results-Oct-5-2024---Jan-31-2025,
Dudley,2024,https://www.dudleyma.gov/DocumentCenter/View/602/Official-Results-ATE-Offices-Elected-June-10-2024-PDF,
Erving,2026,https://www.erving-ma.gov/DocumentCenter/View/2936/2026-Free-Cash-Certification-for-Erving-PDF,
Gill,2022,https://gillmass.org/files/2022-1207_Gill_Elementary_report_for_Lead_and_Copper_2022_4th_Q_Lead-Copper_results_Gill_Elementary_School.pdf,
Gill,2024,https://gillmass.org/files/2024-1001_Gill_School_lead_copper_LCR_results.pdf,
Gill,2026,https://gillmass.org/files/2026_Gill_Elementary_School_lead_copper_LCR_results.pdf,
Hatfield,2026,https://townofhatfield.org/DocumentCenter/View/3618,
Haverhill,2023,https://media-001-us.cdn.govstack.com/haverhillma-003-us/media/tlanlp5r/official-results-june-2023-election.pdf,
Hawley,2024,https://townofhawley.com/wp-content/uploads/2024/11/election-results.pdf,
Hingham,2023,https://hingham-ma.gov/DocumentCenter/View/18323/2023-Town-Election-Results,
Hinsdale,2026,https://hinsdalemass.com/DocumentCenter/View/3448,
Ipswich,2024,https://www.ipswichma.gov/DocumentCenter/View/16516/2024-01-23-Special-District-Election-Draft-Results,
Leominster,2021,https://leominster-ma.gov/DocumentCenter/View/1171,
Leverett,2023,https://leverett.ma.us/files/2024_Leverett_Comprehensive_Plan_Appendix_F_-_2023_Survey_Results.pdf,
Lincoln,2021,https://lincolntown.org/DocumentCenter/View/65260/Official-Annual-Town-Election-Results-2021,
Littleton,2026,https://littletonma.org/DocumentCenter/View/10306/Counter-Listing,
Mattapoisett,2026,https://mattapoisett.gov/DocumentCenter/View/2570/8-18-2026-Beach-Testing-Results_PDF,
