municipality,year,url,alt_url
Charlemont,2026,http://web.archive.org/web/2026id_/https://recorder.com/2026/06/04/karen-rau-retains-seat/,https://recorder.com/2026/06/04/karen-rau-retains-seat/
Charlemont,2026,http://web.archive.org/web/2026id_/https://recorder.com/2026/02/24/charlemonts-paula-moltzan-wins-olympic-bronze-in-alpine-skiing/,https://recorder.com/2026/02/24/charlemonts-paula-moltzan-wins-olympic-bronze-in-alpine-skiing/
Chesterfield,2021,http://web.archive.org/web/2021id_/https://gazettenet.com/2021/05/04/chesterfield-election-results-40298383/,https://gazettenet.com/2021/05/04/chesterfield-election-results-40298383/
Heath,2023,http://web.archive.org/web/2023id_/https://recorder.com/2023/04/26/i-just-wanted-to-help-heath-selectboard-member-not-seeking-reelection-after-24-years-50715407/,https://recorder.com/2023/04/26/i-just-wanted-to-help-heath-selectboard-member-not-seeking-reelection-after-24-years-50715407/
Heath,2022,http://web.archive.org/web/2022id_/https://recorder.com/2022/08/21/minor-injuries-result-from-horse-pulling-accident-at-104th-heath-fair-47695030/,https://recorder.com/2022/08/21/minor-injuries-result-from-horse-pulling-accident-at-104th-heath-fair-47695030/
Heath,2022,http://web.archive.org/web/2022id_/https://recorder.com/2022/05/08/heath-voters-back-rising-education-budget-school-district-charter-changes-46266671/,https://recorder.com/2022/05/08/heath-voters-back-rising-education-budget-school-district-charter-changes-46266671/
Heath,2021,http://web.archive.org/web/2021id_/https://recorder.com/2021/05/11/heath-fills-municipal-light-board-seats-elects-new-members-to-finance-committee-selectboard-40371495/,https://recorder.com/2021/05/11/heath-fills-municipal-light-board-seats-elects-new-members-to-finance-committee-selectboard-40371495/
Leverett,2026,http://web.archive.org/web/2026id_/https://recorder.com/2026/05/05/leverett-town-meeting-approvals/,https://recorder.com/2026/05/05/leverett-town-meeting-approvals/
Leverett,2026,http://web.archive.org/web/2026id_/https://recorder.com/2026/04/29/leverett-incumbents-seek-reelection/,https://recorder.com/2026/04/29/leverett-incumbents-seek-reelection/
Leverett,2026,http://web.archive.org/web/2026id_/https://recorder.com/2026/04/15/judi-fonsh-women-should-be-elected/,https://recorder.com/2026/04/15/judi-fonsh-women-should-be-elected/
Leverett,2026,http://web.archive.org/web/2026id_/https://gazettenet.com/2026/05/05/leverett-voters-back-conservation-trail-keep-historic-library/,https://gazettenet.com/2026/05/05/leverett-voters-back-conservation-trail-keep-historic-library/
Leverett,2026,http://web.archive.org/web/2026id_/https://gazettenet.com/2026/04/28/leverett-incumbents-largely-seek-reelection-at-town-election-saturday/,https://gazettenet.com/2026/04/28/leverett-incumbents-largely-seek-reelection-at-town-election-saturday/
Leverett,2026,http://web.archive.org/web/2026id_/https://gazettenet.com/2026/04/15/judi-fonsh-women-should-be-elected/,https://gazettenet.com/2026/04/15/judi-fonsh-women-should-be-elected/
Monroe,2023,http://web.archive.org/web/2023id_/https://recorder.com/2023/04/28/7-races-with-no-candidates-3-incumbents-seek-reelection-on-monroe-election-ballot-50764114/,https://recorder.com/2023/04/28/7-races-with-no-candidates-3-incumbents-seek-reelection-on-monroe-election-ballot-50764114/
Petersham,2026,http://web.archive.org/web/2026id_/https://atholdailynews.com/2026/08/26/petersham-voters-choose-shamgochian-for-selectboard-in-special-election/,https://atholdailynews.com/2026/08/26/petersham-voters-choose-shamgochian-for-selectboard-in-special-election/
Petersham,2026,http://web.archive.org/web/2026id_/https://atholdailynews.com/2026/03/15/local-resident-josh-chernin-runs-unopposed-for-petersham-selectboard/,https://atholdailynews.com/2026/03/15/local-resident-josh-chernin-runs-unopposed-for-petersham-selectboard/
Shutesbury,2026,http://web.archive.org/web/2026id_/https://recorder.com/2026/07/12/shutesbury-appoints-first-town-clerk/,https://recorder.com/2026/07/12/shutesbury-appoints-first-town-clerk/
Shutesbury,2026,http://web.archive.org/web/2026id_/https://recorder.com/2026/05/11/walton-wins-shutesbury-selectboard/,https://recorder.com/2026/05/11/walton-wins-shutesbury-selectboard/
Shutesbury,2026,http://web.archive.org/web/2026id_/https://recorder.com/2026/05/05/shutesbury-librarian-wins-award/,https://recorder.com/2026/05/05/shutesbury-librarian-wins-award/
Shutesbury,2026,http://web.archive.org/web/2026id_/https://gazettenet.com/2026/07/09/amherst-native-former-capitol-hill-intern-selected-as-first-appointed-shutesbury-town-clerk/,https://gazettenet.com/2026/07/09/amherst-native-former-capitol-hill-intern-selected-as-first-appointed-shutesbury-town-clerk/
Shutesbury,2026,http://web.archive.org/web/2026id_/https://gazettenet.com/2026/05/11/walton-wins-shutesbury-selectboard/,https://gazettenet.com/2026/05/11/walton-wins-shutesbury-selectboard/
Shutesbury,2026,http://web.archive.org/web/2026id_/https://gazettenet.com/2026/05/04/shutesbury-librarian-wins-national-award-for-resilience/,https://gazettenet.com/2026/05/04/shutesbury-librarian-wins-national-award-for-resilience/
Southampton,2023,http://web.archive.org/web/2023id_/https://gazettenet.com/2023/07/18/we-are-d3-after-more-than-wins-facing-kansas-alumni-team-in-tbt-the-basketball-tournament-51677258/,https://gazettenet.com/2023/07/18/we-are-d3-after-more-than-wins-facing-kansas-alumni-team-in-tbt-the-basketball-tournament-51677258/
Southampton,2023,http://web.archive.org/web/2023id_/https://gazettenet.com/2023/05/18/southampton-voters-approve-budget-override-51015913/,https://gazettenet.com/2023/05/18/southampton-voters-approve-budget-override-51015913/
Wendell,2021,http://web.archive.org/web/2021id_/https://recorder.com/2021/08/20/census-results-show-slight-decline-in-county-s-population-42047857/,https://recorder.com/2021/08/20/census-results-show-slight-decline-in-county-s-population-42047857/
Wendell,2021,http://web.archive.org/web/2021id_/https://recorder.com/2021/02/11/no-damage-results-from-lockes-village-road-chimney-fire-in-wendell-38829031/,https://recorder.com/2021/02/11/no-damage-results-from-lockes-village-road-chimney-fire-in-wendell-38829031/
Williamsburg,2026,http://web.archive.org/web/2026id_/https://gazettenet.com/2026/05/06/low-turnout-marks-williamsburg-town-election/,https://gazettenet.com/2026/05/06/low-turnout-marks-williamsburg-town-election/
