municipality,year,url,alt_url
Abington,2021,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBhTzBxREtjTWs0emJzb2Y1Qm9RUW9FRU42LXhCaEpQUFVRTE5GY0FJVmtWUEZ5cFJ0bW0wNEJFcU9oZWxvcG1GMlpRUFdnekFuanc?oc=5,
Abington,2021,https://news.google.com/rss/articles/CBMigAFBVV95cUxNYzNna21HbFRSS2pCQXZCNmJPTElGZk5ubXgwcjFrM3RFY0lJRmp6YmhGdVdMTE9SR0l1cXFLc1NOWmsyR3hkeHNBRjRnckZXQzN3NkRvcTRJMVlnREtCTF96MVV5ekdwYWJYWkFyZE5FVHlXNU5xLUx3cXZqM29lag?oc=5,
Abington,2022,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBhTzBxREtjTWs0emJzb2Y1Qm9RUW9FRU42LXhCaEpQUFVRTE5GY0FJVmtWUEZ5cFJ0bW0wNEJFcU9oZWxvcG1GMlpRUFdnekFuanc?oc=5,
Abington,2022,https://news.google.com/rss/articles/CBMia0FVX3lxTE1KdkZlVGc2MENjeGZaTVgzOWpkS19udl9XeEVxdTA4RWlIUE1XbGNYQVN5S3MwUS1fY2xBUm9hSF85OFFicjZMa21mcmJZOHBxNWJtcEp1V1NkSXZWeWhkanFaZ3JJYlU1X040?oc=5,
Abington,2026,https://news.google.com/rss/articles/CBMid0FVX3lxTE9fOFVyc0pKYzlGNXBvRHB3TUdBQmZScXVhR0J6bGZ0eFlQQzMyMl9fVHpfWExvOGxJMWk0Q0RERGpPVlJQOHEwSmJpODRTeTlSN3FVZXVZSFBTSFdmVE0xN25qWm5RRWd5OWNWNEIxZGFEQWxxRFdj?oc=5,
Abington,2026,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBhTzBxREtjTWs0emJzb2Y1Qm9RUW9FRU42LXhCaEpQUFVRTE5GY0FJVmtWUEZ5cFJ0bW0wNEJFcU9oZWxvcG1GMlpRUFdnekFuanc?oc=5,
Adams,2024,https://news.google.com/rss/articles/CBMi5wFBVV95cUxOeGpfVU1KMlNPc3FjY2JhWkVqMFJUX0xFSk9mV1lhMy1pSDg4eWE4bV9xczFXUTBCT1UtVy1pakxsTnNyTldoay1sYUJqYzRTOWNlV0dDdmRTQVozQ0RTdGk4U2ZLSk1GZmgxazA2NENtekFOazhES2VGX3pLVHlHeU5zdUVVWDRYLUJFampyVExiVjVSa3lPTFRLMnBHRmlhSFFhYXlsVXpzLXV6aTZGVVBYYjFmSnhTYXdfVDc3Z2xybzJlSUdUNU1KNDJVVXVuOTRRN2hWWGd6WEJJMnF4Xzlod09UZkE?oc=5,
Adams,2024,https://news.google.com/rss/articles/CBMi5AFBVV95cUxOLUxVTDdHV1Jtcm4tVGdPdlY3MWU1cUlVek02RWs4OTZKV1ZvSjN3azROelBocHJqYi1TWl9mTG5Nd2V3SDdXNjhhVk1TYWVvVVFLTVNMRXZGbDFVYlJiNUZ2SWhnai1zR1BGVldSRFFFNzFWUi1uOGJjNFJNTEU1TFNpLU1TQzlHeHk2R21hbEh3SUVxT3R3Vks0QWJQaXlZWWZteTZhMTA3bDFZbXljREJNWDBwb3ZxWUxEX2pZX00wWFlFZVI2QTM4SnU5c0diNjJ3WDhWRWFlVWpBNk5hQlBzeHg?oc=5,
Ashfield,2026,https://news.google.com/rss/articles/CBMifEFVX3lxTE5VSjRYZUVSV0VwczlGMEpXZ3BSU0tqQWdkT0xfTXJ2QlRVeDA5ZnVmWmZVQnRnd09PS3MxN1p0UnhoT2JDZHhfT3Y5X1FVUlNOZmlpaUp1VXVTc0EtSWtMa1ZCdFA1ZGphRnYzcUJxWDVDQnNKNG1VdzAzcy0?oc=5,
Athol,2024,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQOFpYLTRMNTFZc3ViNGdTWGx5NXpDazNEVjZmdTVJd09wSFM2SVNMVXJ4YjdYU3BLV0xmTzk3ZENvY0l2RnRMR3RTZlAzZVpfcnVDMU5xN1FvSWw5TzNCdDJMX3hYSVJCS2RrQUpVUmdmMWw0b1JsSlEwR2o5dHU2T1BfWWRwaXR2RDUtX1FUSXdSX2pMS1Z5cUhneE45RjNaZFVSdWJxMW1yNXpWejlObXRZTVNVUzdQ?oc=5,
Athol,2024,https://news.google.com/rss/articles/CBMiggFBVV95cUxQWDFYWERBUUVkUUExUWhEWTdiQ19UNnF6eFFBRGplZkFmR1Foenc1dW1ld0xOTkphaHYtRWljTDFvNFFLTHloRUJKZS1FckJudVhzYkZmNnEyX1dBYXdhOHkxMHhNQnRWV2pBS3VzRlU0bG1BdktxTGtERGtVUlhDNVRR?oc=5,
Bernardston,2026,https://news.google.com/rss/articles/CBMidkFVX3lxTE1zZU9MT3FheXZkUUNrbmtKVEM5SEJQUG05R1UtVVhCZjEwYTVPVk1RVHRCcUNPdkFVN0EtNjZxZTNubUVXNmhLVXpRR0NMNjljYVZ6TFV4TzdJYlFCbHRyal9JbUJNU0JTMDUtaXd1QzR2b1kzdWc?oc=5,
Bernardston,2026,https://news.google.com/rss/articles/CBMie0FVX3lxTFBnVk1vdVEybEM5N0Y3RkV6aGMtZ1E3MC02VHQ4LVJxUzluTHd2YUNhQXd3UDJWaVZObnZYay1Ra3RWbkNyUElKeGtfNmRJYWRZZUhfdGpvSnlIcFhJU2NZVDBFR21KanJxQUpuS1dSQmdGR1FhNF9HTl9Paw?oc=5,
