municipality,year,url,alt_url
Abington,2021,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBhTzBxREtjTWs0emJzb2Y1Qm9RUW9FRU42LXhCaEpQUFVRTE5GY0FJVmtWUEZ5cFJ0bW0wNEJFcU9oZWxvcG1GMlpRUFdnekFuanc?oc=5,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBhTzBxREtjTWs0emJzb2Y1Qm9RUW9FRU42LXhCaEpQUFVRTE5GY0FJVmtWUEZ5cFJ0bW0wNEJFcU9oZWxvcG1GMlpRUFdnekFuanc?oc=5
Abington,2022,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBhTzBxREtjTWs0emJzb2Y1Qm9RUW9FRU42LXhCaEpQUFVRTE5GY0FJVmtWUEZ5cFJ0bW0wNEJFcU9oZWxvcG1GMlpRUFdnekFuanc?oc=5,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBhTzBxREtjTWs0emJzb2Y1Qm9RUW9FRU42LXhCaEpQUFVRTE5GY0FJVmtWUEZ5cFJ0bW0wNEJFcU9oZWxvcG1GMlpRUFdnekFuanc?oc=5
Abington,2026,https://news.google.com/rss/articles/CBMid0FVX3lxTE9fOFVyc0pKYzlGNXBvRHB3TUdBQmZScXVhR0J6bGZ0eFlQQzMyMl9fVHpfWExvOGxJMWk0Q0RERGpPVlJQOHEwSmJpODRTeTlSN3FVZXVZSFBTSFdmVE0xN25qWm5RRWd5OWNWNEIxZGFEQWxxRFdj?oc=5,https://news.google.com/rss/articles/CBMid0FVX3lxTE9fOFVyc0pKYzlGNXBvRHB3TUdBQmZScXVhR0J6bGZ0eFlQQzMyMl9fVHpfWExvOGxJMWk0Q0RERGpPVlJQOHEwSmJpODRTeTlSN3FVZXVZSFBTSFdmVE0xN25qWm5RRWd5OWNWNEIxZGFEQWxxRFdj?oc=5
Adams,2024,https://news.google.com/rss/articles/CBMi5wFBVV95cUxOeGpfVU1KMlNPc3FjY2JhWkVqMFJUX0xFSk9mV1lhMy1pSDg4eWE4bV9xczFXUTBCT1UtVy1pakxsTnNyTldoay1sYUJqYzRTOWNlV0dDdmRTQVozQ0RTdGk4U2ZLSk1GZmgxazA2NENtekFOazhES2VGX3pLVHlHeU5zdUVVWDRYLUJFampyVExiVjVSa3lPTFRLMnBHRmlhSFFhYXlsVXpzLXV6aTZGVVBYYjFmSnhTYXdfVDc3Z2xybzJlSUdUNU1KNDJVVXVuOTRRN2hWWGd6WEJJMnF4Xzlod09UZkE?oc=5,https://news.google.com/rss/articles/CBMi5wFBVV95cUxOeGpfVU1KMlNPc3FjY2JhWkVqMFJUX0xFSk9mV1lhMy1pSDg4eWE4bV9xczFXUTBCT1UtVy1pakxsTnNyTldoay1sYUJqYzRTOWNlV0dDdmRTQVozQ0RTdGk4U2ZLSk1GZmgxazA2NENtekFOazhES2VGX3pLVHlHeU5zdUVVWDRYLUJFampyVExiVjVSa3lPTFRLMnBHRmlhSFFhYXlsVXpzLXV6aTZGVVBYYjFmSnhTYXdfVDc3Z2xybzJlSUdUNU1KNDJVVXVuOTRRN2hWWGd6WEJJMnF4Xzlod09UZkE?oc=5
Ashfield,2026,https://news.google.com/rss/articles/CBMifEFVX3lxTE5VSjRYZUVSV0VwczlGMEpXZ3BSU0tqQWdkT0xfTXJ2QlRVeDA5ZnVmWmZVQnRnd09PS3MxN1p0UnhoT2JDZHhfT3Y5X1FVUlNOZmlpaUp1VXVTc0EtSWtMa1ZCdFA1ZGphRnYzcUJxWDVDQnNKNG1VdzAzcy0?oc=5,https://news.google.com/rss/articles/CBMifEFVX3lxTE5VSjRYZUVSV0VwczlGMEpXZ3BSU0tqQWdkT0xfTXJ2QlRVeDA5ZnVmWmZVQnRnd09PS3MxN1p0UnhoT2JDZHhfT3Y5X1FVUlNOZmlpaUp1VXVTc0EtSWtMa1ZCdFA1ZGphRnYzcUJxWDVDQnNKNG1VdzAzcy0?oc=5
Athol,2024,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQOFpYLTRMNTFZc3ViNGdTWGx5NXpDazNEVjZmdTVJd09wSFM2SVNMVXJ4YjdYU3BLV0xmTzk3ZENvY0l2RnRMR3RTZlAzZVpfcnVDMU5xN1FvSWw5TzNCdDJMX3hYSVJCS2RrQUpVUmdmMWw0b1JsSlEwR2o5dHU2T1BfWWRwaXR2RDUtX1FUSXdSX2pMS1Z5cUhneE45RjNaZFVSdWJxMW1yNXpWejlObXRZTVNVUzdQ?oc=5,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQOFpYLTRMNTFZc3ViNGdTWGx5NXpDazNEVjZmdTVJd09wSFM2SVNMVXJ4YjdYU3BLV0xmTzk3ZENvY0l2RnRMR3RTZlAzZVpfcnVDMU5xN1FvSWw5TzNCdDJMX3hYSVJCS2RrQUpVUmdmMWw0b1JsSlEwR2o5dHU2T1BfWWRwaXR2RDUtX1FUSXdSX2pMS1Z5cUhneE45RjNaZFVSdWJxMW1yNXpWejlObXRZTVNVUzdQ?oc=5
Bernardston,2026,https://news.google.com/rss/articles/CBMidkFVX3lxTE1zZU9MT3FheXZkUUNrbmtKVEM5SEJQUG05R1UtVVhCZjEwYTVPVk1RVHRCcUNPdkFVN0EtNjZxZTNubUVXNmhLVXpRR0NMNjljYVZ6TFV4TzdJYlFCbHRyal9JbUJNU0JTMDUtaXd1QzR2b1kzdWc?oc=5,https://news.google.com/rss/articles/CBMidkFVX3lxTE1zZU9MT3FheXZkUUNrbmtKVEM5SEJQUG05R1UtVVhCZjEwYTVPVk1RVHRCcUNPdkFVN0EtNjZxZTNubUVXNmhLVXpRR0NMNjljYVZ6TFV4TzdJYlFCbHRyal9JbUJNU0JTMDUtaXd1QzR2b1kzdWc?oc=5
Brewster,2023,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPeEh0aFZWMDNoX0Y2RmlJRTd5VTNCNFZsc21WNzZsVV93TlA1aUJYZjlTRnBHamYwRUk0ZUxtWU8wNjhFUGZPdUQ1RkxFdmg3dDB3VVBlY3gtSHkyeGQwMHVkYWVEZF8tZm1wWDdDTTV5SVUzdXZlNmlPbTJhMVBmTUo0SFFDMHhWWldsMEpLRl9mLWdrbW53UGZ0MVJMd3gtZVY4NEVkNmdGM3BVMmY4UzFZRmlXWkVYMWQ3UC14ZnNySHRqNENZb0tLN3lqN0U2Q2ZmZkt1VXA?oc=5,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPeEh0aFZWMDNoX0Y2RmlJRTd5VTNCNFZsc21WNzZsVV93TlA1aUJYZjlTRnBHamYwRUk0ZUxtWU8wNjhFUGZPdUQ1RkxFdmg3dDB3VVBlY3gtSHkyeGQwMHVkYWVEZF8tZm1wWDdDTTV5SVUzdXZlNmlPbTJhMVBmTUo0SFFDMHhWWldsMEpLRl9mLWdrbW53UGZ0MVJMd3gtZVY4NEVkNmdGM3BVMmY4UzFZRmlXWkVYMWQ3UC14ZnNySHRqNENZb0tLN3lqN0U2Q2ZmZkt1VXA?oc=5
Carver,2021,https://news.google.com/rss/articles/CBMia0FVX3lxTE9vUGVQdGx2TmJEVTVldFplbEMwSG9wVE9uak15WGExY24wa2lvYkVpelk2aUVXYTRDUjlhU2lreUc2WEVYZDhjQzA0WVF6SFFLNU9DejRBdFMyMUVpOVp5cFJGc0xrLWVrbVQ4?oc=5,https://news.google.com/rss/articles/CBMia0FVX3lxTE9vUGVQdGx2TmJEVTVldFplbEMwSG9wVE9uak15WGExY24wa2lvYkVpelk2aUVXYTRDUjlhU2lreUc2WEVYZDhjQzA0WVF6SFFLNU9DejRBdFMyMUVpOVp5cFJGc0xrLWVrbVQ4?oc=5
Conway,2026,https://news.google.com/rss/articles/CBMic0FVX3lxTE0tN0JvYnd5Wm84TmVVMVI0UG1RMUxkdm5YMnQ2OTY2X3hqS0JWQWtyaTk1d0lIcGxfSEZRUHdFV0ZJTERZdnY1OEhtLXpkSnY3dl81NjhOZ0VMLXlTZlI5QThIWWFOdk4xVFJZeDNwcDdkZ1E?oc=5,https://news.google.com/rss/articles/CBMic0FVX3lxTE0tN0JvYnd5Wm84TmVVMVI0UG1RMUxkdm5YMnQ2OTY2X3hqS0JWQWtyaTk1d0lIcGxfSEZRUHdFV0ZJTERZdnY1OEhtLXpkSnY3dl81NjhOZ0VMLXlTZlI5QThIWWFOdk4xVFJZeDNwcDdkZ1E?oc=5
