municipality,year,url,alt_url
Abington,2022,https://abingtonma.civiccms.acsitefactory.com/sites/g/files/vyhlif236/f/file/file/special_municipal.pdf,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/file/file/special_municipal.pdf
Aquinnah,2024,https://aquinnahma.civiccms.acsitefactory.com/sites/g/files/vyhlif261/f/news/2024_state_election_unofficial_results.pdf,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/2024_state_election_unofficial_results.pdf
Ayer,2021,https://ayerma.civiccms.acsitefactory.com/sites/g/files/vyhlif2756/f/uploads/annual_town_report_2024.pdf,https://www.ayer.ma.us/sites/g/files/vyhlif2756/f/uploads/annual_town_report_2024.pdf
Becket,2023,https://becketma.civiccms.acsitefactory.com/sites/g/files/vyhlif4146/f/uploads/2023_atm_election_minutes.pdf,https://www.townofbecket.org/sites/g/files/vyhlif4146/f/uploads/2023_atm_election_minutes.pdf
Becket,2024,https://becketma.civiccms.acsitefactory.com/sites/g/files/vyhlif4146/f/uploads/2024_annual_town_election_ballot.pdf,https://www.townofbecket.org/sites/g/files/vyhlif4146/f/uploads/2024_annual_town_election_ballot.pdf
Berlin,2024,https://berlinma.civiccms.acsitefactory.com/sites/g/files/vyhlif4156/f/uploads/berlin_ma_-_nov_5_2024_-_unofficial_results_0.pdf,https://www.townofberlin.com/sites/g/files/vyhlif4156/f/uploads/berlin_ma_-_nov_5_2024_-_unofficial_results_0.pdf
Bernardston,2021,https://bernardstonma.civiccms.acsitefactory.com/sites/g/files/vyhlif12736/files/media/selectboard/file/4966/Bernardston_Annual%20Report_2024.pdf,https://www.townofbernardston.org/sites/g/files/vyhlif12736/files/media/selectboard/file/4966/Bernardston_Annual%20Report_2024.pdf
Boxford,2024,https://boxfordma.civiccms.acsitefactory.com/sites/g/files/vyhlif321/f/pages/230530_boxford_communityengagementresults_002.pdf,https://www.town.boxford.ma.us/sites/g/files/vyhlif321/f/pages/230530_boxford_communityengagementresults_002.pdf
Brewster,2021,https://brewsterma.civiccms.acsitefactory.com/sites/g/files/vyhlif16031/f/uploads/2022_annual_report_final_electronic_file.pdf,https://www.brewster-ma.gov/sites/g/files/vyhlif16031/f/uploads/2022_annual_report_final_electronic_file.pdf
Brimfield,2022,https://brimfieldma.civiccms.acsitefactory.com/sites/g/files/vyhlif4181/f/pages/atr_2022.pdf,https://www.brimfieldma.org/sites/g/files/vyhlif4181/f/pages/atr_2022.pdf
Brimfield,2026,https://brimfieldma.civiccms.acsitefactory.com/sites/g/files/vyhlif4181/f/news/brimfield_local_election_tally_sheet_may_21_2026.pdf,https://www.brimfieldma.org/sites/g/files/vyhlif4181/f/news/brimfield_local_election_tally_sheet_may_21_2026.pdf
Chilmark,2022,https://chilmarkma.civiccms.acsitefactory.com/sites/g/files/vyhlif8411/f/uploads/chilmark_town_report_2024.pdf,https://www.chilmarkma.gov/sites/g/files/vyhlif8411/f/uploads/chilmark_town_report_2024.pdf
Chilmark,2024,https://chilmarkma.civiccms.acsitefactory.com/sites/g/files/vyhlif8411/f/uploads/chilmark_town_report_2024.pdf,https://www.chilmarkma.gov/sites/g/files/vyhlif8411/f/uploads/chilmark_town_report_2024.pdf
East Bridgewater,2022,https://eastbridgewaterma.civiccms.acsitefactory.com/sites/g/files/vyhlif516/f/news/rep_offical_results_9-06-2022.pdf,https://www.eastbridgewaterma.gov/sites/g/files/vyhlif516/f/news/rep_offical_results_9-06-2022.pdf
Erving,2021,https://ervingma.civiccms.acsitefactory.com/sites/g/files/vyhlif4401/f/uploads/may_12_2021_atm_-_certified_vote_results.pdf,https://www.erving-ma.gov/sites/g/files/vyhlif4401/f/uploads/may_12_2021_atm_-_certified_vote_results.pdf
Erving,2022,https://ervingma.civiccms.acsitefactory.com/sites/g/files/vyhlif4401/f/uploads/park_survey_results_slideshow.pdf,https://www.erving-ma.gov/sites/g/files/vyhlif4401/f/uploads/park_survey_results_slideshow.pdf
Essex,2023,https://essexma.civiccms.acsitefactory.com/sites/g/files/vyhlif4406/f/pages/essex_municipal_vulnerability_preparedness_final_report_1.pdf,https://www.essexma.org/sites/g/files/vyhlif4406/f/pages/essex_municipal_vulnerability_preparedness_final_report_1.pdf
Granby,2024,https://granbyma.civiccms.acsitefactory.com/sites/g/files/vyhlif4466/f/news/town_clerk_election_notice_9.30.24_0.pdf,https://www.granby-ma.gov/sites/g/files/vyhlif4466/f/news/town_clerk_election_notice_9.30.24_0.pdf
Great Barrington,2022,https://greatbarringtonma.civiccms.acsitefactory.com/sites/g/files/vyhlif636/f/uploads/2022_state_election_flyer.pdf,https://www.townofgb.org/sites/g/files/vyhlif636/f/uploads/2022_state_election_flyer.pdf
Holland,2021,https://hollandma.civiccms.acsitefactory.com/sites/g/files/vyhlif3266/f/uploads/done.pdf,https://town.holland.ma.us/sites/g/files/vyhlif3266/f/uploads/done.pdf
Holland,2022,https://hollandma.civiccms.acsitefactory.com/sites/g/files/vyhlif3266/f/uploads/election_warrant_2022_003.pdf,https://town.holland.ma.us/sites/g/files/vyhlif3266/f/uploads/election_warrant_2022_003.pdf
Holland,2024,https://hollandma.civiccms.acsitefactory.com/sites/g/files/vyhlif3266/f/news/official_presidential_election_results_11.5.2024.pdf,https://town.holland.ma.us/sites/g/files/vyhlif3266/f/news/official_presidential_election_results_11.5.2024.pdf
Hopedale,2021,https://hopedalema.civiccms.acsitefactory.com/sites/g/files/vyhlif711/f/pages/benefit_selection_form_option_2_0.pdf,https://www.hopedale-ma.gov/sites/g/files/vyhlif711/f/pages/benefit_selection_form_option_2_0.pdf
Hopedale,2024,https://hopedalema.civiccms.acsitefactory.com/sites/g/files/vyhlif711/f/news/2024_official_results_sept.pdf,https://www.hopedale-ma.gov/sites/g/files/vyhlif711/f/news/2024_official_results_sept.pdf
Hubbardston,2021,https://hubbardstonma.civiccms.acsitefactory.com/sites/g/files/vyhlif3276/f/pages/final_candidate_list_for_june_8_2021_town_election_0.pdf,https://www.hubbardstonma.us/sites/g/files/vyhlif3276/f/pages/final_candidate_list_for_june_8_2021_town_election_0.pdf
Hubbardston,2024,https://hubbardstonma.civiccms.acsitefactory.com/sites/g/files/vyhlif3276/f/news/unofficial_results_03052024_0.pdf,https://www.hubbardstonma.us/sites/g/files/vyhlif3276/f/news/unofficial_results_03052024_0.pdf
Lee,2023,https://leema.civiccms.acsitefactory.com/sites/g/files/vyhlif771/f/uploads/municipal_telephone_dir._7-29-2020_0.pdf,https://www.lee.ma.us/sites/g/files/vyhlif771/f/uploads/municipal_telephone_dir._7-29-2020_0.pdf
Leicester,2024,https://leicesterma.civiccms.acsitefactory.com/sites/g/files/vyhlif781/f/news/state_election_11.05.24_official_results_0.pdf,https://www.leicesterma.org/sites/g/files/vyhlif781/f/news/state_election_11.05.24_official_results_0.pdf
Millis,2023,https://millisma.civiccms.acsitefactory.com/sites/g/files/vyhlif901/f/uploads/millis_6x9_2024.pdf,https://www.millisma.gov/sites/g/files/vyhlif901/f/uploads/millis_6x9_2024.pdf
Millville,2024,https://millvillema.civiccms.acsitefactory.com/sites/g/files/vyhlif906/f/uploads/mes_notice_of_tap_water_results_lead_and_copper_november_2024.pdf,https://www.millvillema.org/sites/g/files/vyhlif906/f/uploads/mes_notice_of_tap_water_results_lead_and_copper_november_2024.pdf
