municipality,year,url,alt_url
Wendell,2021,http://web.archive.org/web/20200929143124id_/https://www.wendellmass.us/home/remository/Town-Clerk/2102-Election-Results/,
Plainfield,2022,http://web.archive.org/web/20221226225814id_/https://plainfield-ma.us/files/RESULTS_OF_THE_NOVEMBER_8_2022_Midterm.pdf,
Warren,2023,http://web.archive.org/web/20240118050057id_/https://www.warren-ma.gov/home/news/special-town-meeting-november-16-2023-results,
Merrimac,2022,http://web.archive.org/web/20170403120201id_/http://townofmerrimac.com/221/Voting-Elections,
Chesterfield,2021,http://web.archive.org/web/20220614204520id_/https://www.townofchesterfieldma.com/sites/g/files/vyhlif7606/f/minutes/certified_votes_of_2021_annual_town_meeting.pdf,
Littleton,2026,http://web.archive.org/web/20040815050826id_/http://littletonma.org:80/General%20Info/June%2026%20Special%20Town%20Meeting%20Results.htm,
Warren,2024,http://web.archive.org/web/20240717071212id_/https://www.warren-ma.gov/sites/g/files/vyhlif3996/f/news/results_for_the_stm_june13_2024.pdf,
Chesterfield,2021,http://web.archive.org/web/20201127234825id_/https://townofchesterfieldma.com/78-tocnews/219-general-election-2020-unofficial-results,
Shelburne,2021,http://web.archive.org/web/20210225023607id_/https://www.townofshelburne.com/p/55/2021-Elections-and-Town-Meeting-Dates,
Shutesbury,2026,http://web.archive.org/web/20250124002312id_/https://www.shutesbury.org/news/april-26-2025-annual-town-meeting-local-election,
Warren,2023,http://web.archive.org/web/20230715212300id_/https://www.warren-ma.gov/home/news/town-clerk-results-special-town-meeting-6-29-23,
Holbrook,2021,http://web.archive.org/web/20220302003551id_/https://www.holbrookma.gov/sites/g/files/vyhlif3261/f/uploads/pfas_results_march_-_august_2021.pdf,
Chesterfield,2021,http://web.archive.org/web/20210410121728id_/https://townofchesterfieldma.com/78-tocnews/226-may-3-2021-town-election-info,
Shelburne,2021,http://web.archive.org/web/20210622202012id_/https://townofshelburne.com/p/55/2021-Elections-and-Town-Meetings,
Warren,2023,http://web.archive.org/web/20230514210149id_/https://www.warren-ma.gov/home/news/town-election-results-5-2-2023,
Wendell,2021,http://web.archive.org/web/20150802070350id_/http://www.wendellmass.us:80/index.php/home/remository/Town-Clerk/2102-Election-Results/,
Chesterfield,2021,http://web.archive.org/web/20201127232722id_/https://townofchesterfieldma.com/attachments/article/219/Unofficial%20Election%20Results.pdf,
Warren,2023,http://web.archive.org/web/20230715213443id_/https://www.warren-ma.gov/sites/g/files/vyhlif3996/f/news/certified_result_in_special_town_meeting_june_29_23.pdf,
