town,host,years
Abington,abingtonma.gov,2022|2023|2024|2025|2026
Ashby,ci.ashby.ma.us,2022|2023|2024|2025|2026
Bellingham,bellinghamma.org,2022|2023|2024|2025|2026
Berkley,townofberkleyma.com,2022|2023|2024|2025|2026
Bourne,townofbourne.com,2022|2023|2024|2025|2026
Boxford,town.boxford.ma.us,2022|2023|2024|2025|2026
Bridgewater,bridgewaterma.org,2022|2023|2024|2025|2026
Brockton,brockton.ma.us,2022|2023|2024|2025|2026
Cambridge,cambridgema.gov,2022|2023|2024|2025|2026
Chelsea,chelseama.gov,2022|2023|2024|2025|2026
Dedham,dedham-ma.gov,2022|2023|2024|2025|2026
Dover,doverma.gov,2022|2023|2024|2025|2026
Everett,cityofeverett.com,2022|2023|2024|2025|2026
Fall River,fallriverma.org,2022|2023|2024|2025|2026
Framingham,framinghamma.gov,2022|2023|2024|2025|2026
Freetown,freetownma.gov,2022|2023|2024|2025|2026
Georgetown,georgetownma.gov,2022|2023|2024|2025|2026
Gloucester,gloucester-ma.gov,2022|2023|2024|2025|2026
Hanson,hanson-ma.gov,2022|2023|2024|2025|2026
Haverhill,cityofhaverhill.com,2022|2023|2024|2025|2026
Hingham,hingham-ma.gov,2022|2023|2024|2025|2026
Lakeville,lakevillema.org,2022|2023|2024|2025|2026
Lancaster,ci.lancaster.ma.us,2022|2023|2024|2025|2026
Lawrence,cityoflawrence.com,2022|2023|2024|2025|2026
Littleton,littletonma.org,2022|2023|2024|2025|2026
Lynn,lynnma.gov,2022|2023|2024|2025|2026
Lynnfield,town.lynnfield.ma.us,2022|2023|2024|2025|2026
Mansfield,mansfieldma.com,2022|2023|2024|2025|2026
Marblehead,marblehead.org,2022|2023|2024|2025|2026
Medford,medfordma.org,2022|2023|2024|2025|2026
Melrose,cityofmelrose.org,2022|2023|2024|2025|2026
Merrimac,townofmerrimac.com,2022|2023|2024|2025|2026
Nahant,nahant.org,2022|2023|2024|2025|2026
Needham,needhamma.gov,2022|2023|2024|2025|2026
New Bedford,newbedford-ma.gov,2022|2023|2024|2025|2026
Newbury,townofnewbury.org,2022|2023|2024|2025|2026
Newburyport,cityofnewburyport.com,2022|2023|2024|2025|2026
Newton,newtonma.gov,2022|2023|2024|2025|2026
North Reading,northreadingma.gov,2022|2023|2024|2025|2026
Peabody,peabody-ma.gov,2022|2023|2024|2025|2026
Pembroke,pembroke-ma.gov,2022|2023|2024|2025|2026
Plympton,town.plympton.ma.us,2022|2023|2024|2025|2026
Quincy,quincyma.gov,2022|2023|2024|2025|2026
Randolph,randolph-ma.gov,2022|2023|2024|2025|2026
Raynham,town.raynham.ma.us,2022|2023|2024|2025|2026
Rehoboth,rehobothma.gov,2022|2023|2024|2025|2026
Revere,revere.org,2022|2023|2024|2025|2026
Rochester,townofrochestermass.com,2022|2023|2024|2025|2026
Salem,salemma.gov,2022|2023|2024|2025|2026
Saugus,saugus-ma.gov,2022|2023|2024|2025|2026
Shrewsbury,shrewsburyma.gov,2022|2023|2024|2025|2026
Somerville,somervillema.gov,2022|2023|2024|2025|2026
Sudbury,sudbury.ma.us,2022|2023|2024|2025|2026
Taunton,taunton-ma.gov,2022|2023|2024|2025|2026
Townsend,townsendma.gov,2022|2023|2024|2025|2026
Wareham,wareham.ma.us,2022|2023|2024|2025|2026
Watertown,watertown-ma.gov,2022|2023|2024|2025|2026
Wayland,wayland.ma.us,2022|2023|2024|2025|2026
West Bridgewater,westbridgewaterma.org,2022|2023|2024|2025|2026
Westford,westfordma.gov,2022|2023|2024|2025|2026
Westminster,westminster-ma.gov,2022|2023|2024|2025|2026
Weymouth,weymouth.ma.us,2022|2023|2024|2025|2026
Wilmington,wilmingtonma.gov,2022|2023|2024|2025|2026
Woburn,woburnma.gov,2022|2023|2024|2025|2026
