town,town_norm,community_type,governing_body,deadline_year
Abington,abington,commuter rail,Select Board,2024
Acton,acton,commuter rail,Select Board,2024
Amesbury,amesbury,MBTA adjacent,City Council,2024
Andover,andover,commuter rail,Select Board,2024
Arlington,arlington,subway or light rail,Select Board,2023
Ashburnham,ashburnham,MBTA adjacent,Select Board,2024
Ashby,ashby,MBTA adjacent,Select Board,2024
Ashland,ashland,commuter rail,Select Board,2024
Attleboro,attleboro,commuter rail,City Council,2024
Auburn,auburn,MBTA adjacent,Select Board,2024
Ayer,ayer,commuter rail,Select Board,2024
Bedford,bedford,bus,Select Board,2025
Bellingham,bellingham,MBTA adjacent,Select Board,2024
Belmont,belmont,bus,Select Board,2025
Berkley,berkley,MBTA adjacent,Select Board,2024
Beverly,beverly,bus,City Council,2025
Billerica,billerica,bus,Select Board,2025
Bourne,bourne,MBTA adjacent,Select Board,2024
Boxborough,boxborough,MBTA adjacent,Select Board,2024
Boxford,boxford,MBTA adjacent,Select Board,2024
Braintree,braintree,subway or light rail,City Council,2023
Bridgewater,bridgewater,commuter rail,City Council,2024
Brockton,brockton,bus,City Council,2025
Brookline,brookline,subway or light rail,Select Board,2023
Burlington,burlington,bus,Select Board,2025
Cambridge,cambridge,subway or light rail,City Council,2023
Canton,canton,bus,Select Board,2025
Carlisle,carlisle,MBTA adjacent,Select Board,2024
Carver,carver,MBTA adjacent,Select Board,2024
Chelmsford,chelmsford,MBTA adjacent,Select Board,2024
Chelsea,chelsea,subway or light rail,City Council,2023
Cohasset,cohasset,commuter rail,Select Board,2024
Concord,concord,commuter rail,Select Board,2024
Danvers,danvers,bus,Select Board,2025
Dedham,dedham,bus,Select Board,2025
Dover,dover,MBTA adjacent,Select Board,2024
Dracut,dracut,MBTA adjacent,Select Board,2024
Duxbury,duxbury,MBTA adjacent,Select Board,2024
East Bridgewater,eastbridgewater,MBTA adjacent,Select Board,2024
Easton,easton,MBTA adjacent,Select Board,2024
Essex,essex,MBTA adjacent,Select Board,2024
Everett,everett,subway or light rail,City Council,2023
Fitchburg,fitchburg,commuter rail,City Council,2024
Foxborough,foxborough,MBTA adjacent,Select Board,2024
Framingham,framingham,commuter rail,City Council,2024
Franklin,franklin,commuter rail,City Council,2024
Freetown,freetown,MBTA adjacent,Select Board,2024
Georgetown,georgetown,MBTA adjacent,Select Board,2024
Gloucester,gloucester,commuter rail,City Council,2024
Grafton,grafton,commuter rail,Select Board,2024
Groton,groton,MBTA adjacent,Select Board,2024
Groveland,groveland,MBTA adjacent,Select Board,2024
Halifax,halifax,commuter rail,Select Board,2024
Hamilton,hamilton,commuter rail,Select Board,2024
Hanover,hanover,MBTA adjacent,Select Board,2024
Hanson,hanson,commuter rail,Select Board,2024
Harvard,harvard,MBTA adjacent,Select Board,2024
Haverhill,haverhill,commuter rail,City Council,2024
Hingham,hingham,bus,Select Board,2025
Holbrook,holbrook,bus,Select Board,2025
Holden,holden,MBTA adjacent,Select Board,2024
Holliston,holliston,MBTA adjacent,Select Board,2024
Hopkinton,hopkinton,commuter rail,Select Board,2024
Hull,hull,bus,Select Board,2025
Ipswich,ipswich,commuter rail,Select Board,2024
Kingston,kingston,commuter rail,Select Board,2024
Lakeville,lakeville,commuter rail,Select Board,2024
Lancaster,lancaster,MBTA adjacent,Select Board,2024
Lawrence,lawrence,commuter rail,City Council,2024
Leicester,leicester,MBTA adjacent,Select Board,2024
Leominster,leominster,commuter rail,City Council,2024
Lexington,lexington,bus,Select Board,2025
Lincoln,lincoln,bus,Select Board,2025
Littleton,littleton,commuter rail,Select Board,2024
Lowell,lowell,commuter rail,City Council,2024
Lunenburg,lunenburg,MBTA adjacent,Select Board,2024
Lynn,lynn,bus,City Council,2025
Lynnfield,lynnfield,MBTA adjacent,Select Board,2024
Malden,malden,subway or light rail,City Council,2023
Manchester,manchester,commuter rail,Select Board,2024
Mansfield,mansfield,commuter rail,Select Board,2024
Marblehead,marblehead,bus,Select Board,2025
Marlborough,marlborough,MBTA adjacent,City Council,2024
Marshfield,marshfield,MBTA adjacent,Select Board,2024
Maynard,maynard,MBTA adjacent,Select Board,2024
Medfield,medfield,MBTA adjacent,Select Board,2024
Medford,medford,subway or light rail,City Council,2023
Medway,medway,MBTA adjacent,Select Board,2024
Melrose,melrose,subway or light rail,City Council,2023
