municipality,year,url,alt_url
Abington,2021,https://959watd.com/blog/2021/04/unofficial-abington-town-election-results/,https://abingtonnews.org/2021/04/28/your-choice-24-bunker-woods-wins-select-board-seats-in-a-squeaker/
Abington,2022,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/file/file/special_municipal.pdf,https://abingtonnews.org/2022/04/28/your-choice-24-bunker-woods-wins-select-board-seats-in-a-squeaker/
Acushnet,2022,https://www.acushnet.ma.us/documentcenter/view/887,https://www.acushnet.ma.us/sites/g/files/vyhlif2721/f/news/final_election_results_05-13-2022.pdf
Acushnet,2024,https://wbsm.com/acushnet-election-hours-controversy/,https://www.acushnet.ma.us/sites/g/files/vyhlif2721/f/news/final_election_results_05-13-2024.pdf
Agawam,2021,https://www.agawam.ma.us/DocumentCenter/View/1711/2021-Municipal-Election-Results,https://www.nepm.org/regional-news/2021-11-07/results-voters-in-pittsfield-and-agawam-to-elect-new-mayors-tuesday
Alford,2021,https://www.townofalford.org/sites/g/files/vyhlif6926/f/uploads/alford_historic_district_extension_preliminary_study_report_2020.pdf,
Alford,2022,https://www.townofalford.org/node/671/news,
Alford,2024,https://www.townofalford.org/home/town-clerk-office,
Ashby,2025,https://ashby-ma-us.blogspot.com/2025/04/unofficial-results-of-annual-town.html,https://ci.ashby.ma.us/2025/04/23/unofficial-results-annual-town-election/
Barre,2024,https://www.townofbarre.com/vertical/sites/%7BBE114F1B-906E-45B0-8413-50FFE8B51C22%7D/uploads/16-2024-11-5-Pres-Election-Results.pdf,https://townofbarre.com/vertical/Sites/%7BBE114F1B-906E-45B0-8413-50FFE8B51C22%7D/uploads/2024-ATE-April_3rd_unofficial-Results-pdf.pdf
Barre,2025,https://www.townofbarre.com/vertical/Sites/%7BBE114F1B-906E-45B0-8413-50FFE8B51C22%7D/uploads/unofficial-2025-8-5-Special_Town_Override_Election_-Results.pdf,https://townofbarre.com/vertical/Sites/%7BBE114F1B-906E-45B0-8413-50FFE8B51C22%7D/uploads/2025-ATE-April_3rd_unofficial-Results-pdf.pdf
Bernardston,2021,https://www.townofbernardston.org/sites/g/files/vyhlif12736/files/media/selectboard/file/4966/Bernardston_Annual%20Report_2024.pdf,
Billerica,2023,https://www.facebook.com/billericatownhall/posts/04012023-annual-town-election-unofficial-results/598507465651132/,https://www.town.billerica.ma.us/DocumentCenter/View/9530/April-2-2023-Town-Election-Unofficial-Results
Blandford,2021,https://townofblandford.gov/2021/06/28/2021-election-results/,https://townofblandford.com/wp-content/uploads/2024/05/annual-town-report-2021-2023.pdf
Blandford,2023,https://townofblandford.com/2023-annual-town-election-results/,https://townofblandford.com/wp-content/uploads/2024/05/annual-town-report-2023-2023.pdf
