year,municipalities,usable_denominators,with_date,no_election,kinds
1970,20,0,5,0,city+town
1971,3,0,3,0,city+town
1972,29,12,4,0,city+town
1973,62,4,9,0,city+town
1974,43,3,33,0,city+town
1975,81,4,14,0,city+town
1976,2,0,2,0,city+town
1977,108,4,15,0,city+town
1978,11,3,1,0,city+town
1981,5,1,3,0,town
1982,82,44,8,0,town
1983,1,0,1,0,town
1986,202,158,197,0,town
1988,271,196,236,0,town
1990,288,205,283,0,town
1992,286,261,283,0,town
1994,174,110,167,0,town
1996,298,248,294,0,town
1998,283,237,279,2,town
2000,280,201,260,4,town
2002,293,229,286,5,town
2004,308,259,298,7,town
2006,298,258,284,8,town
2008,309,281,298,11,town
2010,307,232,295,10,town
2012,304,285,287,11,town
2014,234,209,208,5,town
2016,226,200,223,3,town
2018,276,262,259,5,town
