municipality,year,url,alt_url
Hubbardston,2021,https://web.archive.org/web/20211211014018id_/https://www.hubbardstonma.us/sites/g/files/vyhlif3276/f/pages/final_candidate_list_for_june_8_2021_town_election_0.pdf,https://web.archive.org/web/20211211020537id_/https://www.hubbardstonma.us/sites/g/files/vyhlif3276/f/pages/sample_ballot_5.24.21.pdf
HubbardstonBallot,2021,https://web.archive.org/web/20211211020537id_/https://www.hubbardstonma.us/sites/g/files/vyhlif3276/f/pages/sample_ballot_5.24.21.pdf,
MonsonHostCDX,2021,https://web.archive.org/cdx/search/cdx?url=monson-ma.gov&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain,https://web.archive.org/cdx/search/cdx?url=www.monson-ma.gov&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=prefix
SavoyHostCDX,2021,https://web.archive.org/cdx/search/cdx?url=savoy-ma.gov&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain,https://web.archive.org/cdx/search/cdx?url=townofsavoy.com&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain
RussellHostCDX,2023,https://web.archive.org/cdx/search/cdx?url=russell-ma.gov&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain,https://web.archive.org/cdx/search/cdx?url=townofrussell.us&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain
GosnoldHostCDX,2021,https://web.archive.org/cdx/search/cdx?url=gosnold-ma.gov&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain,https://web.archive.org/cdx/search/cdx?url=townofgosnold.org&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain
MiddlefieldHostCDX,2021,https://web.archive.org/cdx/search/cdx?url=middlefield-ma.gov&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain,https://web.archive.org/cdx/search/cdx?url=middlefieldma.net&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain
WBrookHostCDX,2022,https://web.archive.org/cdx/search/cdx?url=westbrookfieldma.gov&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain,https://web.archive.org/cdx/search/cdx?url=wbrookfield.com&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain
EBrookHostCDX,2023,https://web.archive.org/cdx/search/cdx?url=eastbrookfieldma.us&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain,
NBraintreeHostCDX,2021,https://web.archive.org/cdx/search/cdx?url=newbraintreema.us&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain,
MiddlefieldDCCDX,2022,https://web.archive.org/cdx/search/cdx?url=middlefield-ma.gov%2FDocumentCenter&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=prefix,
TollandHostCDX,2021,https://web.archive.org/cdx/search/cdx?url=tolland-ma.gov&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain,https://web.archive.org/cdx/search/cdx?url=townoftollandma.us&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain
RichmondHostCDX,2021,https://web.archive.org/cdx/search/cdx?url=richmondma.org&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain,
OakhamHostCDX,2023,https://web.archive.org/cdx/search/cdx?url=oakham-ma.gov&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain,
SheffieldHostCDX,2023,https://web.archive.org/cdx/search/cdx?url=sheffieldma.gov&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain,
LeverettHostCDX,2023,https://web.archive.org/cdx/search/cdx?url=leverett.ma.us&output=json&limit=1500&collapse=urlkey&filter=statuscode:200&matchType=domain,
