municipality,predicted_2026_date,route
Abington,,OFFICIAL
Acton,2026-03-31,NEWS
Acushnet,2026-05-09,OFFICIAL
Adams,2026-05-04,OFFICIAL
Alford,2026-05-19,OFFICIAL
Andover,2026-03-24,NEWS
Aquinnah,2026-05-14,OFFICIAL
Arlington,2026-04-04,OFFICIAL
Ashburnham,2026-04-28,OFFICIAL
Ashby,2026-04-27,OFFICIAL
Ashfield,2026-05-02,OFFICIAL
Ashland,2026-05-19,NEWS
Athol,2026-04-06,OFFICIAL
Auburn,2026-05-19,NEWS
Avon,2026-04-14,NEWS
Ayer,2026-05-12,OFFICIAL
Barre,2026-04-06,OFFICIAL
Becket,2026-05-16,OFFICIAL
Bedford,2026-03-14,OFFICIAL
Belchertown,2026-05-18,NEWS
Bellingham,2026-05-05,NEWS
Belmont,2026-04-07,NEWS
Berkley,2026-05-09,NEWS
Berlin,2026-05-11,OFFICIAL
Bernardston,2026-05-04,OFFICIAL
Billerica,2026-04-04,OFFICIAL
Blackstone,2026-04-06,NEWS
Blandford,2026-06-13,OFFICIAL
Bolton,2026-05-11,NEWS
Bourne,2026-05-19,NEWS
Boxborough,2026-05-19,OFFICIAL
Boxford,2026-05-19,NEWS
Boylston,2026-05-11,OFFICIAL
Brewster,2026-05-26,OFFICIAL
Bridgewater,2026-04-25,OFFICIAL
Brimfield,2026-06-16,OFFICIAL
Brookfield,2026-05-04,OFFICIAL
Brookline,2026-05-05,NEWS
Buckland,2026-06-02,NEWS
Burlington,2026-04-04,NEWS
Canton,2026-04-07,NEWS
Carlisle,,OFFICIAL
Carver,2026-04-25,OFFICIAL
Charlemont,2026-05-26,OFFICIAL
Charlton,2026-05-02,OFFICIAL
Chatham,2026-05-21,OFFICIAL
Chelmsford,2026-04-07,NEWS
Cheshire,2026-05-04,OFFICIAL
Chester,2026-05-02,OFFICIAL
Chesterfield,2026-05-04,OFFICIAL
Chilmark,,OFFICIAL
Clarksburg,,OFFICIAL
Clinton,,OFFICIAL
Cohasset,2026-05-09,OFFICIAL
Colrain,2026-05-05,OFFICIAL
Concord,2026-04-14,NEWS
Conway,,NEWS
Cummington,2026-05-11,OFFICIAL
Dalton,2026-05-12,NEWS
Danvers,2026-05-05,NEWS
Dartmouth,2026-04-07,OFFICIAL
Dedham,2026-04-11,NEWS
Deerfield,2026-05-04,OFFICIAL
Dennis,2026-05-12,NEWS
Dighton,2026-04-11,OFFICIAL
Douglas,2026-05-12,OFFICIAL
Dover,2026-05-18,OFFICIAL
Dracut,2026-05-02,OFFICIAL
Dudley,2026-06-08,OFFICIAL
Dunstable,2026-05-19,OFFICIAL
Duxbury,2026-03-28,NEWS
East Bridgewater,,OFFICIAL
East Brookfield,2026-05-12,OFFICIAL
East Longmeadow,2026-06-02,NEWS
Eastham,2026-05-19,NEWS
Easton,,NEWS
Edgartown,2026-04-09,OFFICIAL
Egremont,2026-05-12,OFFICIAL
Erving,2026-05-04,OFFICIAL
Essex,2026-05-11,OFFICIAL
Fairhaven,2026-04-06,NEWS
Falmouth,2026-05-19,NEWS
Florida,,COLD_OFFICIAL
