municipality,year,election_type,expected,provenance,native_url,hosted_url,source,confidence,verification,priority,pdf_filename,has_pdf,has_json,status,markdown_url,conversion_method,known_bad_url,coverage_state,source_kind
Abington,2021,regular,yes,owner-supplied-2026-08-22-abington_annual_town_report_pp17-18,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/4608/Toa/e7334ef5-0433-473a-b9fd-7cf0c6cfdb8f/text.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Abington2021_d0.pdf,manual,,manual_ingest,,Abington2021_d0.pdf,yes,no,pdf_hosted,,docling-html,https://959watd.com/blog/2021/04/unofficial-abington-town-election-results/,published,official
Abington,2022,regular,yes,LEO,https://abingtonnews.org/2022/04/30/your-choice-22-vannest-christian-shepherd-grafton-chosen-by-voters/,,manual,,"landed 2026-08-25 from the Chrome ingest (news, -); 5 races",,,no,no,published,,,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/file/file/special_municipal.pdf,published,news
Abington,2023,regular,yes,NEWS,https://abingtonnews.org/2023/04/29/your-choice-23-donovan-djusberg-coyle-whitney-hughes-win/,,manual,manual,runner_fetch,95,Abington2023_d0.pdf,no,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Abington2023.md,docling-html,,published,news
Abington,2024,regular,yes,NEWS,https://abingtonnews.org/2024/04/28/your-choice-24-bunker-woods-wins-select-board-seats-in-a-squeaker/,,manual,,,,Abington2024_d0.pdf,,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Abington2024.md,playwright+docling-2.66.0,,published,news
Abington,2025,regular,yes,LEO,https://www.abingtonma.gov/article/2171924,,manual_sources,manual,,95,Abington2025_d0.pdf,,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Abington2025.md,playwright+docling-2.66.0,,published,official
Abington,2026,regular,yes,,https://959watd.com/blog/2026/04/new-members-elected-to-abington-select-board/,,,,"landed 2026-08-25 from the Chrome ingest (news, -); 2 races",,,no,no,missing,,,,published,news
Acton,2021,regular,yes,LEO,https://ma-acton2.civicplus.com/ArchiveCenter/ViewFile/Item/14138,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Acton2021_d0.pdf,manual_sources,manual,,95,Acton2021_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Acton2021.md,pypdf,,published,other
Acton,2022,regular,yes,LEO,https://ma-acton2.civicplus.com/ArchiveCenter/ViewFile/Item/15276,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Acton2022_d0.pdf,manual_sources,manual,,95,Acton2022_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Acton2022.md,pypdf,,published,other
Acton,2023,regular,yes,LEO,https://ma-acton2.civicplus.com/ArchiveCenter/ViewFile/Item/18407,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Acton2023_d0.pdf,manual_sources,manual,,95,Acton2023_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Acton2023.md,pypdf,,published,other
Acton,2024,regular,yes,LEO,https://www.acton-ma.gov/DocumentCenter/View/9561/Annual-Town-Election-43024-FINAL?bidId=,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Acton2024_d0.pdf,manual_sources,manual,,95,Acton2024_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Acton2024.md,pypdf,,published,official
Acton,2025,regular,yes,LEO,https://www.acton-ma.gov/DocumentCenter/View/10630/Annual-Town-Election-0429-2025-Final-Results?bidId=,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Acton2025_d0.pdf,manual_sources,manual,,95,Acton2025_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Acton2025.md,pypdf,,published,official
Acton,2026,regular,yes,cohort-2026,https://www.acton-ma.gov/DocumentCenter/View/11569,,,,,,,no,yes,hosted,,,,published,official
Acushnet,2021,regular,yes,LEO,https://acushnet.ma.us/DocumentCenter/View/334/1959,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Acushnet2021_d0.pdf,collect-web,high,runner_fetch,70,Acushnet2021_d0.pdf,yes,yes,pdf_hosted,,,,published,official
Acushnet,2022,regular,yes,LEO,https://www.acushnet.ma.us/DocumentCenter/View/890/2022_report,,manual,low,landed 2026-09-10 from research/SESSION_2026-09-10_FINDINGS.md; transcribed from the certified return and checked against the 742 ballots it reports,70,Acushnet2022_d0.pdf,yes,no,discarded_not_results,,,https://www.acushnet.ma.us/documentcenter/view/887,published,official
Acushnet,2023,regular,yes,LEO,https://www.acushnet.ma.us/sites/g/files/vyhlif2721/f/news/final_election_results_05-13-2023.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Acushnet2023_d0.pdf,wayback,manual,wayback,95,Acushnet2023_d0.pdf,yes,yes,hosted,https://jamesnicholsworley.github.io/civicatlasma/markdown/Acushnet2023.md,pypdf,,published,official
