stem,layer,check,verdict,evidence
Abington2021,0,document_self_identifies,PASS,...of the By-Laws of the Town of Abington. The polls were open from 8:0...
Abington2021,0,carries_the_year,PASS,"...ANNUAL TOWN ELECTION April 24, 2021 The Annual Town Election was held at Be..."
Abington2021,0,document_supports_record,PASS,16/16 names and 34/34 figures located in pdftext
Abington2021,1,names_grounded,PASS,16/16 names located in pdftext
Abington2021,1,figures_grounded,PASS,34/34 figures located in pdftext
Abington2021,2,ballots_derivable,PASS,5 of 5 contests agree on 1116
Abington2021,2,marks_exceed_ballots,FAIL,SELECTMAN: 2236 marks > 1116 ballots x 2 seats = 2232
Abington2021,2,contest_closes,PASS,ASSESSOR: 1116 == 1116 x 1
Abington2021,2,contest_closes,PASS,BOARD OF PUBLIC HEALTH: 2232 == 1116 x 2
Abington2021,2,contest_closes,PASS,TRUSTEE OF PUBLIC LIBRARY: 3348 == 1116 x 3
Abington2021,2,contest_closes,PASS,SCHOOL COMMITTEE: 2232 == 1116 x 2
Abington2021,2,contest_closes,PASS,SEWER COMMISSIONER: 1116 == 1116 x 1
Abington2021,2,contest_closes,PASS,WATER COMMISSIONER: 1116 == 1116 x 1
Abington2021,2,contest_closes,PASS,PLANNING BOARD: 1116 == 1116 x 1
Abington2021,2,contest_closes,PASS,HOUSING AUTHORITY: 1116 == 1116 x 1
Abington2021,3,office_count_consistent,PASS,9 contests; median 10 in other years
Abington2022,0,document_self_identifies,PASS,"...# Abington, MA — Annual Town Election, S..."
Abington2022,0,carries_the_year,PASS,"...nnual Town Election, Saturday April 30, 2022 (results reported) Source: ABINGTON NEW..."
Abington2022,0,document_supports_record,PASS,19/19 names and 8/8 figures located in markdown
Abington2022,1,names_grounded,PASS,19/19 names located in markdown
Abington2022,1,figures_grounded,PASS,8/8 figures located in markdown
Abington2022,2,ballots_derivable,UNKNOWN,only 0 qualifying contest(s); cannot derive
Abington2022,3,office_count_consistent,PASS,12 contests; median 9 in other years
Abington2023,0,document_held,FAIL,no document of any kind held
Abington2023,1,grounded,UNKNOWN,no document text held
Abington2023,2,ballots_derivable,UNKNOWN,only 0 qualifying contest(s); cannot derive
Abington2023,3,office_count_consistent,FAIL,3 contests; this town's other years median 10
Abington2024,0,document_held,FAIL,no document of any kind held
Abington2024,1,grounded,UNKNOWN,no document text held
Abington2024,2,ballots_derivable,UNKNOWN,only 0 qualifying contest(s); cannot derive
Abington2024,3,office_count_consistent,PASS,10 contests; median 9 in other years
Abington2025,0,document_self_identifies,PASS,...# [Town of Abington](\) [Phone Directory](\o\toa\...
Abington2025,0,carries_the_year,PASS,...Town of Abington](\) - [News](\news) - [2025 Annual Election Results](\article\21719...
Abington2025,0,document_supports_record,PASS,16/16 names and 42/42 figures located in markdown
Abington2025,1,names_grounded,PASS,16/16 names located in markdown
Abington2025,1,figures_grounded,PASS,42/42 figures located in markdown
Abington2025,2,ballots_derivable,PASS,5 of 5 contests agree on 466
Abington2025,2,contest_closes,PASS,SELECTMEN: 466 == 466 x 1
Abington2025,2,contest_closes,PASS,ASSESSOR: 466 == 466 x 1
Abington2025,2,contest_closes,PASS,BOARD OF PUBLIC HEALTH: 932 == 466 x 2
Abington2025,2,contest_closes,PASS,SCHOOL COMMITTEE: 466 == 466 x 1
Abington2025,2,contest_closes,PASS,SEWER COMMISSIONER: 932 == 466 x 2
Abington2025,2,contest_closes,PASS,TRUSTEE OF PUBLIC LIBRARY: 1398 == 466 x 3
Abington2025,2,contest_closes,PASS,WATER COMMISSIONER: 466 == 466 x 1
Abington2025,2,contest_closes,PASS,HOUSING AUTHORITY: 466 == 466 x 1
Abington2025,2,contest_closes,PASS,PLANNING BOARD: 466 == 466 x 1
Abington2025,3,office_count_consistent,PASS,13 contests; median 9 in other years
Abington2026,0,document_self_identifies,PASS,"...# Abington, MA — Annual Town Election, S..."
Abington2026,0,carries_the_year,PASS,"...nnual Town Election, Saturday April 25, 2026 Source: WATD 95.9 FM, ""New Members Elec..."
Abington2026,0,document_supports_record,PASS,4/4 names and 3/3 figures located in markdown
Abington2026,1,names_grounded,PASS,4/4 names located in markdown
Abington2026,1,figures_grounded,PASS,3/3 figures located in markdown
Abington2026,2,ballots_derivable,UNKNOWN,only 0 qualifying contest(s); cannot derive
Abington2026,3,office_count_consistent,FAIL,2 contests; this town's other years median 10
Acton2021,0,document_self_identifies,PASS,"...ELECTION MARCH 30, 2021 Final ACTON HOUSING AUTHORITY BLANK 56 84..."
Acton2021,0,carries_the_year,PASS,"...ANNUAL TOWN ELECTION MARCH 30, 2021 Final PCT 1 PCT 2 PCT 3 PCT4 PCT5 PCT6..."
Acton2021,0,document_supports_record,PASS,11/11 names and 25/25 figures located in markdown+pdftext
Acton2021,1,names_grounded,PASS,11/11 names located in markdown+pdftext
Acton2021,1,figures_grounded,PASS,25/25 figures located in markdown+pdftext
Acton2021,2,ballots_derivable,PASS,6 of 6 contests agree on 2369
Acton2021,2,contest_closes,PASS,MODERATOR: 2369 == 2369 x 1
Acton2021,2,contest_closes,PASS,BOARD OF SELECTMEN: 2369 == 2369 x 1
Acton2021,2,contest_closes,PASS,SCHOOL COMMITTEE: 4738 == 2369 x 2
Acton2021,2,contest_closes,PASS,LIBRARY TRUSTEE: 2369 == 2369 x 1
Acton2021,2,contest_closes,PASS,ACTON HOUSING AUTHORITY: 2369 == 2369 x 1
Acton2021,2,contest_closes,PASS,WATER DISTRICT MODERATOR: 2369 == 2369 x 1
Acton2021,2,contest_closes,PASS,WATER DISTRICT COMMISSIONER: 2369 == 2369 x 1
Acton2021,3,office_count_consistent,PASS,7 contests; median 6 in other years
Acton2022,0,document_self_identifies,PASS,...TOWN OF ACTON ANNUAL TOWN ELECTION MARCH 29...
Acton2022,0,carries_the_year,PASS,"...OF ACTON ANNUAL TOWN ELECTION MARCH 29, 2022 FINAL PCT 1 PCT 2 PCT 3 PCT 4 PCT 5 PCT..."
Acton2022,0,document_supports_record,PASS,13/13 names and 25/25 figures located in markdown+pdftext
Acton2022,1,names_grounded,PASS,13/13 names located in markdown+pdftext
Acton2022,1,figures_grounded,PASS,25/25 figures located in markdown+pdftext
Acton2022,2,ballots_derivable,PASS,4 of 4 contests agree on 934
Acton2022,2,contest_closes,PASS,MODERATOR: 934 == 934 x 1
Acton2022,2,contest_closes,PASS,SELECT BOARD: 1868 == 934 x 2
Acton2022,2,contest_closes,PASS,SCHOOL COMMITTEE: 1868 == 934 x 2
Acton2022,2,contest_closes,PASS,LIBRARY TRUSTEE: 934 == 934 x 1
Acton2022,2,contest_closes,PASS,ACTON HOUSING AUTHORITY: 934 == 934 x 1
Acton2022,2,contest_closes,PASS,WATER DISTRICT COMMISSIONER: 934 == 934 x 1
Acton2022,3,office_count_consistent,PASS,6 contests; median 7 in other years
Acton2023,0,document_self_identifies,PASS,...TOWN OF ACTON ANNUAL TOWN ELECTION APRIL 25...
Acton2023,0,carries_the_year,PASS,"...OF ACTON ANNUAL TOWN ELECTION APRIL 25, 2023 FINAL PCT 1 PCT 2 PCT 3 PCT 4 PCT 5 PCT..."
Acton2023,0,document_supports_record,PASS,22/22 names and 36/36 figures located in markdown+pdftext
Acton2023,1,names_grounded,PASS,22/22 names located in markdown+pdftext
Acton2023,1,figures_grounded,PASS,36/36 figures located in markdown+pdftext
Acton2023,2,ballots_derivable,PASS,5 of 5 contests agree on 2247
Acton2023,2,contest_closes,PASS,MODERATOR: 2247 == 2247 x 1
Acton2023,2,contest_closes,PASS,SELECT BOARD: 4494 == 2247 x 2
