stem,rung,contests,reason
Abington2014,publish,17,
Abington2015,publish,11,
Abington2017,review,12,Board of Selectmen: seats inferred as 3 but the totals imply 2
Abington2019,review,8,Board of Selectmen: seats inferred as 2 but the totals imply 1
Acushnet2018,publish,13,
Amherst2005,review,16,no two contests agree on a ballot count
Amherst2008,publish,8,
Amherst2016,publish,8,
Amherst2017,publish,9,
Amherst2018,publish,8,
Arlington2002,review,26,SELECTMEN: seat count left null by the transcriber
Arlington2005,review,39,no two contests agree on a ballot count
Arlington2008,review,19,Moderator for Three Years: a figure was not readable
Arlington2013,publish,34,no two contests agree on a ballot count
Ashburnham2002,review,12,Moderator – For One Year (Vote for One): a figure was not readable
Ashburnham2006,hold,10,Moderator – For one year term: 583 marks exceeds 534x1=534 -- impossible
Ashburnham2010,hold,0,the parse found no contest in this section
Ashburnham2011,publish,9,
Ashburnham2012,publish,10,
Ashburnham2013,publish,10,
Ashburnham2014,publish,8,
Ashburnham2015,publish,9,
Ashburnham2016,publish,9,
Ashburnham2017,publish,10,
Ashburnham2018,publish,9,
Ashburnham2020,hold,9,BOARD OF SELECTMEN-For three years: 343 marks exceeds 339x1=339 -- impossible
Ashby2016,review,13,"SELECTMAN, Three Years: a figure was not readable"
Ashfield2010,review,18,no election date could be derived
Ashfield2013,review,15,Sewer Commission: a figure was not readable
Ashfield2015,publish,14,
Ashfield2016,review,12,Moderator: a figure was not readable
Ashfield2017,hold,0,the parse found no contest in this section
Ashland2018,publish,9,
Attleboro2019,publish,12,
Avon2010,hold,9,SCHOOL COMMITTEE: 2 years vote for one: 144 marks exceeds 122x1=122 -- impossible
Avon2011,review,9,HOUSING AUTHORITY:: a figure was not readable
Avon2013,hold,0,the parse found no contest in this section
Avon2014,publish,8,
Avon2015,publish,8,
Ayer2010,hold,11,"Governor and Lieutenant Governor is a state or county office, so this section is not one annual municipal election (8 such offices here)"
Ayer2011,publish,17,
Ayer2012,publish,10,
Ayer2013,hold,0,the parse found no contest in this section
Ayer2014,publish,13,
Ayer2015,publish,11,
Ayer2016,hold,0,the parse found no contest in this section
Ayer2017,hold,0,the parse found no contest in this section
Ayer2018,hold,0,the parse found no contest in this section
Ayer2019,hold,0,the parse found no contest in this section
Ayer2020,hold,0,the parse found no contest in this section
Barnstable2001,publish,8,
Barnstable2003,publish,18,no two contests agree on a ballot count
Barnstable2008,hold,0,the parse found no contest in this section
Barnstable2010,publish,9,no two contests agree on a ballot count
Barnstable2011,publish,10,no two contests agree on a ballot count
Barnstable2012,hold,0,the parse found no contest in this section
Barnstable2014,publish,15,no two contests agree on a ballot count
Barnstable2015,hold,0,the parse found no contest in this section
Barnstable2016,review,10,no election date could be derived
Barnstable2017,hold,10,"ELECTOR OF PRESIDENT AND VICE PRESIDENT is a state or county office, so this section is not one annual municipal election (4 such offices here)"
Barnstable2018,hold,5,the section supports almost none of this record -- 0/10 names and 1/20 figures located in it
Barnstable2019,hold,18,"REPRESENTATIVE IN GENERAL COURT is a state or county office, so this section is not one annual municipal election (5 such offices here)"
Barnstable2020,publish,9,no two contests agree on a ballot count
Becket2017,publish,8,
Becket2020,publish,7,
Bedford2007,publish,9,
Bedford2008,hold,0,the parse found no contest in this section
Bedford2009,hold,0,the parse found no contest in this section
Bedford2011,review,8,no two contests agree on a ballot count
Bedford2012,publish,8,no two contests agree on a ballot count
Bedford2013,publish,9,no two contests agree on a ballot count
Bedford2014,publish,7,no two contests agree on a ballot count
Bedford2015,publish,7,no two contests agree on a ballot count
Bedford2019,hold,0,the parse found no contest in this section
Belchertown2011,publish,10,
Belchertown2015,publish,10,
Belchertown2016,publish,7,
Belchertown2017,publish,9,
Belchertown2018,hold,8,Board of Assessors 3 years Vote for one: 1305 marks exceeds 1304x1=1304 -- impossible
Belchertown2019,publish,8,
Belmont2004,hold,0,the parse found no contest in this section
Belmont2008,hold,0,the parse found no contest in this section
Belmont2013,publish,19,no two contests agree on a ballot count
Belmont2014,publish,21,no two contests agree on a ballot count
Belmont2015,publish,22,no two contests agree on a ballot count
Belmont2017,review,26,TOWN COMMITTEE REPUBLICAN: seat count left null by the transcriber
Belmont2018,review,6,MODERATOR: a figure was not readable
Belmont2019,publish,22,no two contests agree on a ballot count
Belmont2020,review,10,TOWN COMMITTEE: seat count left null by the transcriber
Berkley2017,hold,0,the parse found no contest in this section
Berlin2001,publish,11,
Billerica2019,review,11,PCT 5 MTG MBRS: seat count left null by the transcriber
Billerica2020,hold,4,"PRESIDENT -Vote for One is a state or county office, so this section is not one annual municipal election (3 such offices here)"
Blackstone2011,hold,0,the parse found no contest in this section
Blackstone2012,hold,0,the parse found no contest in this section
Blackstone2016,hold,0,the parse found no contest in this section
Blackstone2019,publish,11,
Blackstone2020,hold,0,the parse found no contest in this section
Blandford2002,hold,0,the parse found no contest in this section
Blandford2004,review,20,Assessor for Three Years: a figure was not readable
Blandford2005,hold,16,Cemetery Commissioner for Three Years Vote for One: 234 marks exceeds 232x1=232 -- impossible
Blandford2006,publish,18,
Blandford2007,publish,16,
Blandford2009,review,14,Cemetery Commissioner for Three Years Vote for One: no candidates
Blandford2010,review,17,Planning Board for Three Years Vote for One: a figure was not readable
Blandford2011,review,12,no two contests agree on a ballot count
Blandford2012,review,12,Board of Health for Three Years Vote for One: a figure was not readable
Blandford2013,review,17,Assessor for Three Years Vote for One: a figure was not readable
Blandford2014,review,12,two records claim Blandford 2013 and hold the same number of contests; neither can be preferred
Blandford2016,review,12,two records claim Blandford 2013 and hold the same number of contests; neither can be preferred
Blandford2017,review,12,Vote for one: a figure was not readable
Blandford2018,review,14,Assessor for three years: a figure was not readable
Bolton2007,review,1,only one contest -- a return usually elects several
Bolton2008,publish,12,
Bolton2009,publish,17,
Bolton2017,review,12,Park and Recreation Commission: a figure was not readable
Bolton2018,review,13,Parks and Recreation: no candidates
Bolton2019,publish,6,
Bolton2020,review,10,Moderator: a figure was not readable
Bourne2007,review,10,MODERATOR 1 FOR 1 YEAR: a figure was not readable
Bourne2008,publish,11,
Bourne2009,review,12,MODERATOR 1 FOR 1 YEAR: a figure was not readable
Bourne2015,publish,15,
Bourne2017,hold,10,Bird of Health 3 years vote for 1: 2206 marks exceeds 1103x1=1103 -- impossible
Bourne2018,publish,12,
Bourne2020,hold,11,Jonathan Bourne Library Trustee 3 Years vote for 1: 3196 marks exceeds 1598x1=1598 -- impossible
Boxborough2002,hold,7,"Selectmen, Three Years: 1345 marks exceeds 672x2=1344 -- impossible"
Boxborough2008,hold,0,the parse found no contest in this section
Boxborough2010,hold,0,the parse found no contest in this section
Boxborough2014,hold,0,the parse found no contest in this section
Boxborough2015,hold,0,the parse found no contest in this section
Boxford2014,publish,12,
Boxford2019,hold,0,the parse found no contest in this section
Boxford2020,hold,0,the parse found no contest in this section
Brewster2018,publish,11,
