stem,office,action,was,becomes,reason
Abington2014,Selectman - For Three Years,fix seat count,1,2,"marks 3070 are exactly 2x the ballot count 1535; seats recorded as 1, source derived"
Abington2014,School Committee - For Three Years,fix seat count,1,2,"marks 3070 are exactly 2x the ballot count 1535; seats recorded as 1, source derived"
Abington2014,Park & Recreation Commissioner - For Three Years,fix seat count,1,2,"marks 3070 are exactly 2x the ballot count 1535; seats recorded as 1, source derived"
Abington2014,Sewer Commissioner - For Three Years - For Three Years,fix seat count,1,2,"marks 3070 are exactly 2x the ballot count 1535; seats recorded as 1, source derived"
Abington2014,Trustee of Veterans Memorial - For Three Years,fix seat count,1,2,"marks 3070 are exactly 2x the ballot count 1535; seats recorded as 1, source derived"
Abington2014,Trustee of Public Library - For Three Years,fix seat count,1,3,"marks 4605 are exactly 3x the ballot count 1535; seats recorded as 1, source derived"
Abington2015,Selectman,fix seat count,1,2,"marks 2902 are exactly 2x the ballot count 1451; seats recorded as 1, source derived"
Abington2015,Board of Public Health,fix seat count,1,2,"marks 2902 are exactly 2x the ballot count 1451; seats recorded as 1, source marked"
Acushnet2018,QUESTION I,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'Blanks:' -- a question, not an office"
Amherst2008,JONES LIBRARY TRUSTEE (three years),fix seat count,1,2,"marks 7398 are exactly 2x the ballot count 3699; seats recorded as 1, source marked"
Amherst2018,QUESTION,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blanks' -- a question, not an office"
Arlington2002,TOWN TREASURER,duplicate row removed,1,,row 'Times counted' duplicated the printed total 5566
Arlington2002,ASSESSOR,duplicate row removed,1,,row 'Times counted' duplicated the printed total 5566
Arlington2002,PCT 1 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 1644
Arlington2002,PCT 2 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 2964
Arlington2002,PCT 3 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 632
Arlington2002,PCT 4 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 2328
Arlington2002,PCT 5 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 1968
Arlington2002,PCT 6 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 708
Arlington2002,PCT 8 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 177
Arlington2002,PCT 7 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 804
Arlington2002,PCT 8 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 3576
Arlington2002,PCT 9 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 1100
Arlington2002,PCT 10 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 3996
Arlington2002,PCT 11 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 3732
Arlington2002,PCT 13 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 4656
Arlington2002,PCT 14 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 3084
Arlington2002,PCT 15 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 3888
Arlington2002,PCT 16 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 1248
Arlington2002,PCT 18 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 5436
Arlington2002,PCT 19 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 1312
Arlington2002,PCT 20 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 2244
Arlington2005,TREASURER,duplicate row removed,1,,row 'Times counted' duplicated the printed total 7250
Arlington2005,SELECTMEN,duplicate row removed,1,,row 'Times counted' duplicated the printed total 14500
Arlington2005,ASSESSOR,duplicate row removed,1,,row 'Times counted' duplicated the printed total 7250
Arlington2005,SCHOOL COMMITTEE,duplicate row removed,2,,row 'Times counted' duplicated the printed total 21750
Arlington2005,ARLINGTON HOUSING,duplicate row removed,1,,row 'Times counted' duplicated the printed total 7250
Arlington2005,PCT 1 TOWN MTG MEMBERS,duplicate row removed,3,,row 'Times counted' duplicated the printed total 684
Arlington2005,PCT 1 TOWN MTG MEMBER,duplicate row removed,1,,row 'Times counted' duplicated the printed total 171
Arlington2005,PCT 2 TOWN MTG MEMBERS,duplicate row removed,3,,row 'Times counted' duplicated the printed total 1260
Arlington2005,PCT 3 TOWN MTG MEMBERS,duplicate row removed,3,,row 'Times counted' duplicated the printed total 964
Arlington2005,PCT 3 TOWN MTG MEMBER,duplicate row removed,1,,row 'Times counted' duplicated the printed total 241
Arlington2005,PCT 4 TOWN MTG MEMBERS,duplicate row removed,3,,row 'Times counted' duplicated the printed total 796
Arlington2005,PCT 4 TOWN MTG MEMBERS,duplicate row removed,1,,row 'Times counted' duplicated the printed total 398
Arlington2005,PCT 5 TOWN MTG MEMBERS,duplicate row removed,2,,row 'Times counted' duplicated the printed total 1028
Arlington2005,PCT 5 TOWN MTG MEMBER,duplicate row removed,1,,row 'Times counted' duplicated the printed total 257
Arlington2005,PCT 5 TOWN MTG MEMBERS,duplicate row removed,,,row 'Times counted' duplicated the printed total 514
Arlington2005,PCT 6 TOWN MTG MEMBERS,duplicate row removed,3,,row 'Times counted' duplicated the printed total 904
Arlington2005,PCT 7 TOWN MTG MEMBERS,duplicate row removed,3,,row 'Times counted' duplicated the printed total 860
Arlington2005,PCT 8 TOWN MTG MEMBERS,duplicate row removed,5,,row 'Times counted' duplicated the printed total 2004
Arlington2005,PCT 9 TOWN MTG MEMBERS,duplicate row removed,4,,row 'Times counted' duplicated the printed total 1556
Arlington2005,PCT 9 TOWN MTG MEMBER,duplicate row removed,1,,row 'Times counted' duplicated the printed total 389
Arlington2005,PCT 10 TOWN MTG MEMBERS,duplicate row removed,4,,row 'Times counted' duplicated the printed total 1944
Arlington2005,PCT 10 TOWN MTG MEMBER,duplicate row removed,1,,row 'Times counted' duplicated the printed total 486
Arlington2005,PCT 11 TOWN MTG MEMBERS,duplicate row removed,5,,row 'Times counted' duplicated the printed total 1828
Arlington2005,PCT 11 TOWN MTG MEMBER,duplicate row removed,1,,row 'Times counted' duplicated the printed total 457
Arlington2005,PCT 12 TOWN MTG MEMBERS,duplicate row removed,3,,row 'Times counted' duplicated the printed total 2260
Arlington2005,PCT 13 TOWN MTG MEMBERS,duplicate row removed,4,,row 'Times counted' duplicated the printed total 1852
Arlington2005,PCT 14 TOWN MTG MEMBER,duplicate row removed,1,,row 'Times counted' duplicated the printed total 308
Arlington2005,PCT 15 TOWN MTG MEMBERS,duplicate row removed,4,,row 'Times counted' duplicated the printed total 1692
Arlington2005,PCT 15 TOWN MTG MEMBER,duplicate row removed,1,,row 'Times counted' duplicated the printed total 423
Arlington2005,PCT 16 TOWN MTG MEMBERS,duplicate row removed,3,,row 'Times counted' duplicated the printed total 1764
Arlington2005,PCT 17 TOWN MTG MEMBERS,duplicate row removed,3,,row 'Times counted' duplicated the printed total 616
Arlington2005,PCT 17 TOWN MTG MEMBER,duplicate row removed,1,,row 'Times counted' duplicated the printed total 154
Arlington2005,PCT 18 TOWN MTG MEMBERS,duplicate row removed,4,,row 'Times counted' duplicated the printed total 1704
Arlington2005,PCT 19 TOWN MTG MEMBERS,duplicate row removed,3,,row 'Times counted' duplicated the printed total 1732
Arlington2005,PCT 20 TOWN MTG MEMBERS,duplicate row removed,3,,row 'Times counted' duplicated the printed total 1080
Arlington2005,PCT 20 TOWN MTG MEMBER,duplicate row removed,1,,row 'Times counted' duplicated the printed total 270
Arlington2005,PCT 21 TOWN MTG MEMBERS,duplicate row removed,4,,row 'Times counted' duplicated the printed total 1240
Arlington2008,ASSESSOR FOR THREE YEARS (1),residual row closed against the printed total,,0,the printed total 6732 less the 6732 read on the other rows; the blank row is 'Others'
Ashburnham2017,ASHBURNHAM-WESTMINSTER REGIONAL SCHOOL DISTRICT WESTMINSTER ,fix seat count,1,2,"marks 846 are exactly 2x the ballot count 423; seats recorded as 1, source derived"
Ashburnham2017,ASHBURNHAM REGIONAL SCHOOL COMMITTEE - 3 YEARS,fix seat count,1,2,"marks 846 are exactly 2x the ballot count 423; seats recorded as 1, source derived"
Ashburnham2020,WESTMINSTER SCHOOL COMMITTEE,report seat count,1,2,marks are exactly 2x ballots but the page is quoted as printing 1 seats: 'WESTMINSTER SCHOOL COMMITTEE'
Barnstable2001,QUESTION 1 Charter Change - Airport,ballot question moved to `questions`,,,"rows are 'Total', 'Blanks', 'Write-in votes', 'YES' -- a question, not an office"
Barnstable2001,QUESTION 2 Charter Revision,ballot question moved to `questions`,,,"rows are 'Total', 'Blanks', 'Write-in votes', 'YES' -- a question, not an office"
Barnstable2001,TOWN CLERK,duplicate row removed,1,,row 'Total' duplicated the printed total 7578
Barnstable2001,HOUSING AUTHORITY (Elect 2),duplicate row removed,2,,row 'Total' duplicated the printed total 15156
Barnstable2001,PRECINCT 2 TOWN COUNCIL,duplicate row removed,1,,row 'Total' duplicated the printed total 681
Barnstable2001,PRECINCT 4 TOWN COUNCIL,duplicate row removed,1,,row 'Total' duplicated the printed total 677
Barnstable2001,PRECINCT 6 TOWN COUNCIL,duplicate row removed,1,,row 'Total' duplicated the printed total 1003
Barnstable2001,PRECINCT 8 TOWN COUNCIL,duplicate row removed,1,,row 'Total' duplicated the printed total 373
Barnstable2001,PRECINCT 10 TOWN COUNCIL,duplicate row removed,1,,row 'Total' duplicated the printed total 651
Barnstable2003,QUESTION 1 Override - $7.2 M,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'Blanks' -- a question, not an office"
Barnstable2003,QUESTION 2 Embarkation Fee $.50,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'Blanks' -- a question, not an office"
Barnstable2017,QUESTION 1,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'BLANKS' -- a question, not an office"
Barnstable2017,QUESTION 2,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'BLANKS' -- a question, not an office"
Barnstable2017,QUESTION 3,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'BLANKS' -- a question, not an office"
Barnstable2017,QUESTION 4,ballot question moved to `questions`,,,"rows are 'YES', 'NO', 'BLANKS' -- a question, not an office"
Belchertown2011,Question: Shall the Town of Belchertown cease assessing the ,ballot question moved to `questions`,,,"rows are '* YES', 'NO', 'Blank' -- a question, not an office"
Belmont2018,MODERATOR,residual row closed against the printed total,,0,the printed total 2122 less the 2122 read on the other rows; the blank row is 'WRITE-INS'
Belmont2018,BOARD OF ASSESSORS,residual row closed against the printed total,,0,the printed total 2122 less the 2122 read on the other rows; the blank row is 'WRITE-INS'
Belmont2018,BOARD OF CEMETERY COMMISSIONERS,residual row closed against the printed total,,0,the printed total 2122 less the 2122 read on the other rows; the blank row is 'WRITE-INS'
Belmont2018,BOARD OF LIBRARY TRUSTEES,residual row closed against the printed total,,0,the printed total 2122 less the 2122 read on the other rows; the blank row is 'WRITE-INS'
Bourne2007,MODERATOR 1 FOR 1 YEAR,residual row closed against the printed total,,0,the printed total 2357 less the 2357 read on the other rows; the blank row is 'ALL OTHERS'
Bourne2007,SELECTMEN/SEWER COMMISSIONER 2 FOR 3 YEARS,residual row closed against the printed total,,0,the printed total 4714 less the 4714 read on the other rows; the blank row is 'ALL OTHERS'
Bourne2007,BOARD OF HEALTH 1 FOR 3 YEARS,residual row closed against the printed total,,15,the printed total 2357 less the 2342 read on the other rows; the blank row is 'ALL OTHERS'
Bourne2007,PLANNING BRD 3 FOR 3 YEARS,residual row closed against the printed total,,0,the printed total 7071 less the 7071 read on the other rows; the blank row is 'ALL OTHERS'
Bourne2007,COMMUNITY BLDG VETERAN 1 FOR 3 YEARS,residual row closed against the printed total,,60,the printed total 2357 less the 2297 read on the other rows; the blank row is 'ALL OTHERS'
Bourne2007,TRUSTEE JONATHAN BOURNE LIBRARY 2 FOR 3 YEARS,residual row closed against the printed total,,0,the printed total 4714 less the 4714 read on the other rows; the blank row is 'ALL OTHERS'
Bourne2007,SCHOOL COMMITTEE 2 FOR 3 YEARS,residual row closed against the printed total,,0,the printed total 4714 less the 4714 read on the other rows; the blank row is 'ALL OTHERS'
Bourne2007,CONSTABLE 1 FOR 3 YEARS,residual row closed against the printed total,,0,the printed total 2357 less the 2357 read on the other rows; the blank row is 'ALL OTHERS'
Bourne2007,RECREATION AUTHORITY 1 FOR 3 YEARS,residual row closed against the printed total,,0,the printed total 2357 less the 2357 read on the other rows; the blank row is 'ALL OTHERS'
Bourne2007,HOUSING AUTHORITY 1 FOR 5 YEARS,residual row closed against the printed total,,0,the printed total 2357 less the 2357 read on the other rows; the blank row is 'ALL OTHERS'
Bourne2009,MODERATOR 1 FOR 1 YEAR,residual row closed against the printed total,,0,the printed total 1765 less the 1765 read on the other rows; the blank row is 'WRITE-INS'
Bourne2009,SELECTMEN/ SEWER COMMISSIONER 2 FOR 3 YEARS,residual row closed against the printed total,,0,the printed total 3530 less the 3530 read on the other rows; the blank row is 'WRITE-INS'
Bourne2009,TOWN CLERK 1 FOR 3 YEARS,residual row closed against the printed total,,0,the printed total 1765 less the 1765 read on the other rows; the blank row is 'WRITE INS'
Bourne2009,BRD OF HEALTH 2 FOR 3 YEARS,residual row closed against the printed total,,0,the printed total 3530 less the 3530 read on the other rows; the blank row is 'WRITE INS'
Bourne2009,PLANNING BRD 3 FOR 3 YEARS,residual row closed against the printed total,,0,the printed total 5295 less the 5295 read on the other rows; the blank row is 'WRITE INS'
Bourne2009,PLANNING BRD 1 FOR 1 YEAR,residual row closed against the printed total,,0,the printed total 1765 less the 1765 read on the other rows; the blank row is 'WRITE IN'
Bourne2009,COMMUNITY BLDG VETERAN 1 FOR 3 YEARS,residual row closed against the printed total,,0,the printed total 1765 less the 1765 read on the other rows; the blank row is 'WRITE INS'
Bourne2009,LIBRARY 2 FOR 3 YEARS,residual row closed against the printed total,,0,the printed total 3530 less the 3530 read on the other rows; the blank row is 'WRITE INS'
Bourne2009,SCHOOL COMM' 2 FOR 3 YEARS,residual row closed against the printed total,,0,the printed total 3530 less the 3530 read on the other rows; the blank row is 'WRITE INS'
Bourne2009,RECREATION AUTHORITY 2 FOR 3 YEARS,residual row closed against the printed total,,0,the printed total 3530 less the 3530 read on the other rows; the blank row is 'WRITE INS'
Bourne2015,Question MBTA,ballot question moved to `questions`,,,"rows are 'Yes', 'No', 'Blanks' -- a question, not an office"
