stem,municipality,population,rung,class,contests,reason,page_prints_seats_the_arithmetic_denies
Worcester2010,Worcester,206518,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Springfield2007,Springfield,155929,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Framingham2015,Framingham,72362,hold,impossible arithmetic,29,Town Meeting Members Precinct 7: 804 marks exceeds 91x4=364 -- impossible,
Brookline2013,Brookline,63191,review,seat count nobody could establish,27,CONSTABLE (WRITE-In): seat count left null by the transcriber,
Brookline2015,Brookline,63191,hold,impossible arithmetic,25,MODERATOR - For Three Years: 6868 marks exceeds 536x1=536 -- impossible,
Brookline2018,Brookline,63191,review,no date could be derived,28,PRECINCT 5 - For One Year Town Meeting Members Vote for not more than One: no candidates,
Brookline2019,Brookline,63191,hold,impossible arithmetic,24,SELECT BOARD - For Three Years: 9198 marks exceeds 589x1=589 -- impossible,
Plymouth2013,Plymouth,61217,review,no date could be derived,5,Selectman: no candidates,
Plymouth2015,Plymouth,61217,hold,impossible arithmetic,25,PLANNING BOARD 5yrs: 4679 marks exceeds 4678x1=4678 -- impossible,
Plymouth2016,Plymouth,61217,review,a figure nobody could read,22,SELECTMAN: a figure was not readable,
Plymouth2018,Plymouth,61217,review,seat count nobody could establish,21,TOWN MEETING MEMBERS PRECINCT 1 (Vote: seat count left null by the transcriber,
Plymouth2020,Plymouth,61217,review,no date could be derived,5,no election date could be derived,
Methuen2011,Methuen,53059,review,seat count nobody could establish,9,COUNCILLOR AT LARGE: seat count left null by the transcriber,
Barnstable2008,Barnstable,48916,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Barnstable2012,Barnstable,48916,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Barnstable2015,Barnstable,48916,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Barnstable2016,Barnstable,48916,review,no date could be derived,10,no election date could be derived,
Barnstable2018,Barnstable,48916,review,no date could be derived,5,no election date could be derived,
Barnstable2019,Barnstable,48916,review,seat count nobody could establish,18,TOWN OF BARNSTABLE PRECINCT 1S REPRESENTATIVES: seat count left null by the transcriber,
Arlington2002,Arlington,46308,review,seat count nobody could establish,26,SELECTMEN: seat count left null by the transcriber,
Arlington2005,Arlington,46308,review,other,39,no two contests agree on a ballot count,
Arlington2008,Arlington,46308,review,a figure nobody could read,19,Moderator for Three Years: a figure was not readable,
Salem2000,Salem,44480,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Salem2010,Salem,44480,review,no date could be derived,4,no election date could be derived,
Salem2019,Salem,44480,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Billerica2019,Billerica,42119,review,seat count nobody could establish,11,PCT 5 MTG MBRS: seat count left null by the transcriber,
Marlborough2001,Marlborough,41793,hold,impossible arithmetic,11,MAYOR: 6144 marks exceeds 830x1=830 -- impossible,
Marlborough2005,Marlborough,41793,review,seat count nobody could establish,11,COUNCILOR-AT-LARGE: seat count left null by the transcriber,
Marlborough2007,Marlborough,41793,review,seat count nobody could establish,11,COUNCILOR-AT-LARGE: seat count left null by the transcriber,
Marlborough2008,Marlborough,41793,hold,locator: no contest in the cut,0,the parse found no contest in this section,
Marlborough2011,Marlborough,41793,hold,impossible arithmetic,11,MAYOR: 6002 marks exceeds 847x1=847 -- impossible,
Marlborough2013,Marlborough,41793,review,seat count nobody could establish,10,SCHOOL COMMITTEE: seats inferred as 5 but the totals imply 3,
Marlborough2015,Marlborough,41793,hold,impossible arithmetic,11,MAYOR: 4388 marks exceeds 626x1=626 -- impossible,
Marlborough2019,Marlborough,41793,review,seat count nobody could establish,11,COUNCILOR-AT-LARGE: seat count left null by the transcriber,
Amherst2005,Amherst,39263,review,no date could be derived,16,SELECTMEN: no candidates,
Amherst2008,Amherst,39263,review,seat count nobody could establish,8,SELECT BOARD: seats inferred as 3 but the totals imply 2,
Amherst2016,Amherst,39263,review,seat count nobody could establish,8,CHARTER COMMISSION: seat count left null by the transcriber,
Amherst2017,Amherst,39263,review,seat count nobody could establish,9,SELECT BOARD: seats inferred as 3 but the totals imply 2,
