stem,bucket,priority,size,worst_verdict,layer,findings,summary,status,resolution
Needham2026,preliminaries-1,9677.2,25105,FAIL,0,11,preliminary_in_an_annual_slot: heading names a PRELIMINARY; register it as P<Muni><YYYYMMDD> in data/preliminaries/ and find the annual for t,open,
Acushnet2026,preliminaries-1,7677.0,8637,FAIL,0,5,carries_the_year: '2026' does not appear in data/raw_ocr/Acushnet2026.txt,open,
Boston2021,wrong-document-1,7473.0,438041,FAIL,0,4,document_supports_record: 0/25 names and 0/36 figures located in data/raw_ocr/Boston2021.txt,open,
Boston2023,wrong-document-1,7449.2,423408,FAIL,0,4,document_supports_record: 0/25 names and 0/45 figures located in data/raw_ocr/Boston2023.txt,open,
Hopedale2025,wrong-document-1,7067.2,4653,FAIL,0,5,carries_the_year: '2025' does not appear in data/raw_ocr/Hopedale2025.txt,open,
Wellesley2026,ungrounded-names-1,6928.1,19456,FAIL,1,11,names_grounded: 118/119 names located in data/raw_ocr/Wellesley2026.txt,open,
Agawam2025,preliminaries-1,6894.3,22971,FAIL,0,4,carries_the_year: '2025' does not appear in data/markdown/Agawam2025.md,open,
Worcester2023,undated-1,6678.4,111459,FAIL,0,5,carries_the_year: '2023' does not appear in data/markdown/Worcester2023.md,open,
Dunstable2025,wrong-document-1,6485.4,2731,FAIL,0,6,carries_the_year: '2025' does not appear in data/markdown/Dunstable2025.md,open,
Holyoke2021,undated-1,6361.4,27355,FAIL,0,7,carries_the_year: '2021' does not appear in data/raw_ocr/Holyoke2021.txt,open,
NewBedford2021,undated-1,6278.4,63744,FAIL,0,5,carries_the_year: '2021' does not appear in data/raw_ocr/NewBedford2021.txt,open,
Haverhill2023,undated-1,6084.0,48571,FAIL,0,5,carries_the_year: '2023' does not appear in data/raw_ocr/Haverhill2023.txt,open,
Stoughton2024,undated-1,6069.5,22458,FAIL,0,6,carries_the_year: '2024' does not appear in data/raw_ocr/Stoughton2024.txt,open,
Stoughton2023,undated-1,6025.9,21701,FAIL,0,5,carries_the_year: '2023' does not appear in data/raw_ocr/Stoughton2023.txt,open,
Peabody2023,undated-1,5808.9,40451,FAIL,0,4,carries_the_year: '2023' does not appear in data/raw_ocr/Peabody2023.txt,open,
