town,body,in_corpus,own_agenda,own_minutes,any_agenda,any_minutes,n_own_ag,n_own_min
Abington,Select Board,True,True,False,True,True,2,0
Acton,Select Board,True,False,False,True,True,0,0
Acushnet,Select Board,True,True,False,True,True,124,0
Adams,Select Board,True,False,False,True,True,0,0
Agawam,City Council,True,True,True,True,True,13,12
Alford,Select Board,True,True,True,True,True,15,5
Amesbury,City Council,True,True,True,True,True,105,44
Amherst,City Council,True,True,True,True,True,20,25
Andover,Select Board,True,True,True,True,True,35,155
Aquinnah,Select Board,True,False,True,True,True,0,129
Arlington,Select Board,True,False,False,False,False,0,0
Ashburnham,Select Board,True,True,True,True,True,22,9
Ashby,Select Board,True,True,True,True,True,360,710
Ashfield,Select Board,True,True,True,True,True,66,135
Ashland,Select Board,True,True,True,True,True,95,16
Athol,Select Board,True,True,False,True,True,1,0
Attleboro,City Council,True,True,True,True,True,78,1
Auburn,Select Board,True,True,True,True,True,76,52
Avon,Select Board,True,True,True,True,True,38,26
Ayer,Select Board,True,True,True,True,True,82,27
Barnstable,City Council,True,True,True,True,True,839,762
Barre,Select Board,True,False,False,False,True,0,0
Becket,Select Board,True,True,True,True,True,47,7
Bedford,Select Board,True,True,True,True,True,241,91
Belchertown,Select Board,True,True,True,True,True,25,28
Bellingham,Select Board,True,False,False,False,True,0,0
Belmont,Select Board,True,True,True,True,True,175,82
Berkley,Select Board,True,True,True,True,True,272,255
Berlin,Select Board,True,True,True,True,True,98,1
Bernardston,Select Board,True,True,True,True,True,24,301
Beverly,City Council,True,True,True,True,True,88,14
Billerica,Select Board,True,True,True,True,True,84,50
Blackstone,Select Board,True,True,True,True,True,100,27
Blandford,Select Board,True,True,True,True,True,749,588
Bolton,Select Board,True,True,True,True,True,94,28
Boston,City Council,True,False,False,True,False,0,0
Bourne,Select Board,True,True,True,True,True,192,25
Boxborough,Select Board,True,True,True,True,True,132,15
Boxford,Select Board,True,True,True,True,True,54,2
Boylston,Select Board,True,True,True,True,True,54,62
Braintree,City Council,True,True,True,True,True,288,207
Brewster,Select Board,True,True,False,True,True,28,0
Bridgewater,City Council,True,True,False,True,True,4,0
Brimfield,Select Board,True,False,False,True,True,0,0
Brockton,City Council,True,True,True,True,True,89,317
Brookfield,Select Board,True,False,True,True,True,0,179
Brookline,Select Board,True,True,True,True,True,5,41
Buckland,Select Board,True,False,True,True,True,0,1
Burlington,Select Board,True,True,True,True,True,27,15
Cambridge,City Council,True,True,True,True,True,24,1
Canton,Select Board,True,True,True,True,True,17,30
Carlisle,Select Board,True,True,True,True,True,217,16
Carver,Select Board,True,True,True,True,True,2,103
Charlemont,Select Board,True,True,True,True,True,410,547
Charlton,Select Board,True,True,True,True,True,19,14
Chatham,Select Board,True,True,True,True,True,6,14
Chelmsford,Select Board,True,True,True,True,True,32,25
Chelsea,City Council,True,True,True,True,True,147,35
Cheshire,Select Board,True,False,False,True,True,0,0
Chester,Select Board,True,True,True,True,True,275,361
Chesterfield,Select Board,True,True,True,True,True,70,14
Chicopee,City Council,True,True,True,True,True,138,84
Chilmark,Select Board,True,True,True,True,True,109,76
Clarksburg,Select Board,True,False,True,True,True,0,11
Clinton,Select Board,True,True,True,True,True,168,125
Cohasset,Select Board,True,True,True,True,True,86,44
Colrain,Select Board,True,True,True,True,True,1,667
Concord,Select Board,True,True,True,True,True,41,28
Conway,Select Board,True,True,False,True,True,2,0
Cummington,Select Board,True,False,False,True,True,0,0
Dalton,Select Board,True,False,False,False,True,0,0
Danvers,Select Board,True,True,True,True,True,18,13
Dartmouth,Select Board,True,True,True,True,True,35,22
Dedham,Select Board,True,True,True,True,True,2,6
Deerfield,Select Board,True,True,True,True,True,33,24
Dennis,Select Board,True,True,True,True,True,56,26
Dighton,Select Board,True,True,True,True,True,34,15
Douglas,Select Board,True,True,False,True,True,4,0
Dover,Select Board,True,True,True,True,True,32,3
Dracut,Select Board,True,True,True,True,True,31,16
Dudley,Select Board,True,True,True,True,True,37,6
Dunstable,Select Board,True,True,True,True,True,73,25
Duxbury,Select Board,True,True,True,True,True,65,5
East Bridgewater,Select Board,True,True,True,True,True,51,21
East Brookfield,Select Board,True,True,True,True,True,9,1
Eastham,Select Board,True,True,True,True,True,38,12
Easthampton,City Council,True,True,True,True,True,109,42
East Longmeadow,City Council,True,True,True,True,True,33,15
Easton,Select Board,True,True,True,True,True,5,1
Edgartown,Select Board,True,True,False,True,True,1,0
Egremont,Select Board,True,True,True,True,True,36,26
Erving,Select Board,True,True,True,True,True,44,18
Essex,Select Board,True,True,True,True,True,48,15
Everett,City Council,True,True,True,True,True,100,68
Fairhaven,Select Board,True,True,True,True,True,321,232
Fall River,City Council,True,True,True,True,True,251,161
Falmouth,Select Board,True,True,False,True,True,25,0
Fitchburg,City Council,True,True,True,True,True,48,23
Florida,Select Board,True,False,False,True,False,0,0
Foxborough,Select Board,True,True,True,True,True,122,45
Framingham,City Council,True,False,True,True,True,0,1
Franklin,City Council,True,True,True,True,True,171,20
Freetown,Select Board,True,True,True,True,True,57,22
Gardner,City Council,True,True,True,True,True,22,22
