municipality,year,confidence,container_kind,document_url,evidence
Abington,2022,high,election_page,https://www.abingtonma.gov/article/2936041,"heads=3,blanks=7,offices=3,tallies=48,yr=False,pp=0"
Abington,2023,high,townmtg_election,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4608/toa/4021230/2023_Town_Meeting_Warrant_with_finance_committee_votes_and_town_manager_comments.pdf,"heads=1,blanks=0,offices=5,tallies=117,yr=True,pp=12"
Abington,2024,high,townmtg_election,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4608/toa/4113595/Abington_Annual_Town_Meeting_Warrant_for_April_1__2024_w_Exhibits.pdf,"heads=5,blanks=0,offices=9,tallies=402,yr=True,pp=40"
Abington,2025,high,townmtg_election,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4608/toa/5468119/Warrant_for_Annual_Town_Meeting_April_7_2025_TO_BE_POSTED.pdf,"heads=1,blanks=0,offices=7,tallies=321,yr=True,pp=21"
Acushnet,2024,high,townmtg_election,https://www.acushnet.ma.us/DocumentCenter/View/1595/Special-Fall-Town-Meeting-Warrant---September-30-2024,"heads=1,blanks=0,offices=6,tallies=128,yr=True,pp=23"
Aquinnah,2021,high,annual_report,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/2021_aquinnah_annual_town_report.pdf,"heads=5,blanks=0,offices=11,tallies=1174,yr=True,pp=108"
Aquinnah,2022,high,annual_report,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/aquinnah_town_report_2022.pdf,"heads=2,blanks=0,offices=11,tallies=990,yr=True,pp=88"
Aquinnah,2023,high,annual_report,https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/events/2023_aquinnah_town_report.indd_.pdf,"heads=1,blanks=0,offices=11,tallies=1009,yr=True,pp=81"
Ashby,2021,high,annual_report,https://drive.google.com/uc?export=download&id=1DUlVVGaRnzPpp3_KX17Bn6P_gvfs2zq0,"heads=49,blanks=16,offices=10,tallies=1495,yr=True,pp=170"
Ashby,2022,high,annual_report,https://drive.google.com/uc?export=download&id=17Fdp0LJbSLHJ7LOtSzAOUV0y2Rd-rHcC,"heads=37,blanks=58,offices=10,tallies=1303,yr=True,pp=148"
Ashby,2023,high,annual_report,https://drive.google.com/uc?export=download&id=1YRzQb19zslqov98vFBRoHiBmDaEP5ncP,"heads=75,blanks=52,offices=11,tallies=2147,yr=True,pp=160"
Ashby,2024,high,annual_report,https://drive.google.com/uc?export=download&id=1sHM1XgUU5A-7iVpDZEtTQQzwKQKcMUHY,"heads=27,blanks=65,offices=10,tallies=1747,yr=True,pp=170"
Ashby,2025,high,annual_report,https://drive.google.com/uc?export=download&id=1Ilvq8PWi-rpG-5kxxqCYtGfI_ntzuMi2,"heads=10,blanks=15,offices=10,tallies=1521,yr=True,pp=162"
Ayer,2023,high,townmtg_election,https://www.ayer.ma.us/DocumentCenter/View/4767/Summary-of-the-2023-Annual-Town-Meeting-Warrant---March-7-2023,"heads=2,blanks=0,offices=5,tallies=67,pp=4"
Berlin,2022,high,annual_report,https://townofberlin.com/DocumentCenter/View/1162/2022-Annual-Town-Report,"heads=10,blanks=53,offices=11,tallies=2539,yr=True,pp=110"
Berlin,2023,high,annual_report,https://townofberlin.com/DocumentCenter/View/1164/2023-Annual-Town-Report,"heads=6,blanks=10,offices=10,tallies=1973,yr=True,pp=96"
Bernardston,2024,high,annual_report,https://townofbernardston.org/sites/g/files/vyhlif12736/files/media/selectboard/file/4966/Bernardston_Annual%20Report_2024.pdf,"heads=11,blanks=0,offices=11,tallies=1399,yr=True,pp=171"
Blandford,2022,high,annual_report,https://townofblandford.com/wp-content/uploads/2024/05/annual-town-report-2022-2023.pdf,"heads=1,blanks=0,offices=10,tallies=468,pp=54"
Blandford,2023,high,annual_report,https://townofblandford.com/wp-content/uploads/2024/05/annual-town-report-2022-2023.pdf,"heads=1,blanks=0,offices=10,tallies=468,yr=True,pp=54"
Blandford,2025,high,annual_report,https://townofblandford.com/wp-content/uploads/2025/05/annual-town-report-2023-2024.pdf,"heads=4,blanks=9,offices=10,tallies=436,yr=True,pp=72"
Bolton,2021,high,annual_report,https://www.bolton-ma.gov/DocumentCenter/View/405/2021-Annual-Town-Report,"heads=4,blanks=0,offices=11,tallies=1889,yr=True,pp=125"
Bolton,2022,high,annual_report,https://www.bolton-ma.gov/DocumentCenter/View/406/2022-Annual-Town-Report,"heads=6,blanks=0,offices=11,tallies=1836,yr=True,pp=124"
Bourne,2021,high,annual_report,https://www.bourne-ma.gov/DocumentCenter/View/3317/2021-Town-Report,"heads=5,blanks=76,offices=11,tallies=3734,yr=True,pp=275"
Bourne,2022,high,annual_report,https://www.bourne-ma.gov/DocumentCenter/View/3316/2022-Town-Report,"heads=3,blanks=0,offices=11,tallies=3450,yr=True,pp=228"
Bourne,2025,high,annual_report,https://www.bourne-ma.gov/DocumentCenter/View/11920,"heads=9,blanks=61,offices=9,tallies=3089,yr=True,pp=263"
Brewster,2025,high,townmtg_election,http://www.brewster-ma.gov/sites/g/files/vyhlif16031/f/uploads/annual_town_election_2025_0.pdf,"heads=1,blanks=0,offices=3,tallies=15,yr=True,pp=1"
Brimfield,2021,high,annual_report,https://www.brimfieldma.org/sites/g/files/vyhlif4181/f/news/townreport2021.pdf,"heads=8,blanks=14,offices=8,tallies=747,yr=True,pp=160"
Brookfield,2021,high,election_page,https://www.brookfieldma.us/announcement-brookfield-annual-town-election/,"heads=5,blanks=0,offices=7,tallies=11,yr=False,pp=0"
Brookfield,2022,high,annual_report,https://www.brookfieldma.us/wp-content/uploads/2026/01/brookfield_tr_22_web_cc_0.pdf,"heads=2,blanks=0,offices=11,tallies=529,yr=True,pp=134"
Brookfield,2023,high,townmtg_election,https://www.brookfieldma.us/wp-content/uploads/2026/01/annual_town_election_info_to_publish-2023_0-1.pdf,"heads=3,blanks=0,offices=6,tallies=12,pp=1"
Brookfield,2024,high,townmtg_election,https://www.brookfieldma.us/wp-content/uploads/2026/01/annual_town_election_info_to_publish-2024_1.pdf,"heads=2,blanks=0,offices=7,tallies=9,pp=1"
Brookfield,2025,high,election_page,https://www.brookfieldma.us/announcement-brookfield-annual-town-election/,"heads=5,blanks=0,offices=7,tallies=11,yr=False,pp=0"
