municipality,year,verdict,signals,url,kind
Abington,2022,RESULTS_FOUND,"heads=3,blanks=7,offices=3,tallies=48,yr=False,pp=0",https://www.abingtonma.gov/article/2936041,election_page
Abington,2023,RESULTS_FOUND,"heads=1,blanks=0,offices=5,tallies=117,yr=True,pp=12",https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4608/toa/4021230/2023_Town_Meeting_Warrant_with_finance_committee_votes_and_town_manager_comments.pdf,townmtg_election
Abington,2024,RESULTS_FOUND,"heads=5,blanks=0,offices=9,tallies=402,yr=True,pp=40",https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4608/toa/4113595/Abington_Annual_Town_Meeting_Warrant_for_April_1__2024_w_Exhibits.pdf,townmtg_election
Abington,2025,RESULTS_FOUND,"heads=1,blanks=0,offices=7,tallies=321,yr=True,pp=21",https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4608/toa/5468119/Warrant_for_Annual_Town_Meeting_April_7_2025_TO_BE_POSTED.pdf,townmtg_election
Acushnet,2021,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=5,pp=1",https://acushnet.ma.us/ImageRepository/Document?documentID=363,annual_report
Acushnet,2024,RESULTS_FOUND,"heads=1,blanks=0,offices=6,tallies=128,yr=True,pp=23",https://www.acushnet.ma.us/DocumentCenter/View/1595/Special-Fall-Town-Meeting-Warrant---September-30-2024,townmtg_election
Acushnet,2025,NO_RESULTS,"heads=0,blanks=0,offices=1,tallies=12,pp=17",https://www.acushnet.ma.us/DocumentCenter/View/1587/Annual-Town-Meeting---Zoning-Articles---June-16-2025,townmtg_election
Adams,2024,RESULTS_FOUND,"heads=5,blanks=0,offices=4,tallies=46,pp=0",https://iberkshires.com/election,election_page
Agawam,2023,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0,pp=22",https://agawam.ma.us/DocumentCenter/View/3032/Permit-Year-Six-Annual-Report---Final,annual_report
Alford,2022,NO_RESULTS,"heads=0,blanks=0,offices=0,tallies=0,pp=0",https://www.townofalford.org/town-clerk,election_page
Alford,2023,NO_RESULTS,"heads=0,blanks=0,offices=3,tallies=47,pp=6",https://www.townofalford.org/sites/g/files/vyhlif6926/f/events/3-14-2023sepcial_town_meeting_letter_size.pdf,townmtg_election
Alford,2024,NO_RESULTS,"heads=0,blanks=0,offices=3,tallies=49,pp=6",https://www.townofalford.org/sites/g/files/vyhlif6926/f/news/special_town_meeting_11-19-2024_final-letter.pdf,townmtg_election
Aquinnah,2021,RESULTS_FOUND,"heads=5,blanks=0,offices=11,tallies=1174,yr=True,pp=108",https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/2021_aquinnah_annual_town_report.pdf,annual_report
Aquinnah,2022,RESULTS_FOUND,"heads=2,blanks=0,offices=11,tallies=990,yr=True,pp=88",https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/news/aquinnah_town_report_2022.pdf,annual_report
Aquinnah,2023,RESULTS_FOUND,"heads=1,blanks=0,offices=11,tallies=1009,yr=True,pp=81",https://www.aquinnah-ma.gov/sites/g/files/vyhlif261/f/events/2023_aquinnah_town_report.indd_.pdf,annual_report
Ashby,2021,RESULTS_FOUND,"heads=49,blanks=16,offices=10,tallies=1495,yr=True,pp=170",https://drive.google.com/uc?export=download&id=1DUlVVGaRnzPpp3_KX17Bn6P_gvfs2zq0,annual_report
Ashby,2022,RESULTS_FOUND,"heads=37,blanks=58,offices=10,tallies=1303,yr=True,pp=148",https://drive.google.com/uc?export=download&id=17Fdp0LJbSLHJ7LOtSzAOUV0y2Rd-rHcC,annual_report
Ashby,2023,RESULTS_FOUND,"heads=75,blanks=52,offices=11,tallies=2147,yr=True,pp=160",https://drive.google.com/uc?export=download&id=1YRzQb19zslqov98vFBRoHiBmDaEP5ncP,annual_report
Ashby,2024,RESULTS_FOUND,"heads=27,blanks=65,offices=10,tallies=1747,yr=True,pp=170",https://drive.google.com/uc?export=download&id=1sHM1XgUU5A-7iVpDZEtTQQzwKQKcMUHY,annual_report
