municipality,year,provenance,capture_status,host,native_url,hosted_url
Boston,2021,LEO,MISS_host_crawled,boston.gov,https://www.boston.gov/departments/elections/state-and-city-boston-election-results,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Boston2021.pdf
Boston,2023,LEO,MISS_host_crawled,boston.gov,https://www.boston.gov/departments/elections/state-and-city-boston-election-results,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Boston2023.pdf
Boston,2025,LEO,MISS_host_crawled,boston.gov,https://www.boston.gov/sites/default/files/file/2025/11/2025-Unofficial-Ward-Precinct-Results-General-Municipal-Election.pdf,
Worcester,2023,LEO,captured_exact,worcesterma.gov,https://www.worcesterma.gov/election-results/2020-Present/20231107.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Worcester2023.pdf
Worcester,2025,LEO,captured_exact,worcesterma.gov,https://www.worcesterma.gov/election-results/20251104.pdf,
Springfield,2021,LEO,MISS_host_crawled,springfield-ma.gov,https://www.springfield-ma.gov/elections/past-elections/november-2-2021-election-results,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Springfield2021.pdf
Springfield,2023,LEO,MISS_host_crawled,springfield-ma.gov,https://www.springfield-ma.gov/elections/votecounts.php,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Springfield2023.pdf
Springfield,2025,LEO,MISS_host_crawled,springfield-ma.gov,https://www.springfield-ma.gov/elections/fileadmin/Past_Election_Results/November_4__2025_Precinct_Breakdown.pdf,
Cambridge,2021,LEO,captured_exact,rwinters.com,http://rwinters.com/elections/school2021.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Cambridge2021.pdf
Cambridge,2023,LEO,captured_exact,cambridgema.gov,https://www.cambridgema.gov/-/media/Files/electioncommission/2023municipalelection/20231117officialcitycounciltotals.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Cambridge2023.pdf
Cambridge,2025,LEO,MISS_host_crawled,cambridgema.gov,https://www.cambridgema.gov/Departments/electioncommission/news/2025/11/2025municipalelectionofficialresultsnovember14thupdate,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Cambridge2025.pdf
Lowell,2021,LEO,captured_exact,lowellma.gov,https://www.lowellma.gov/DocumentCenter/View/17319/2021-Municipal-Election---Official-Results,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Lowell2021.pdf
Lowell,2023,LEO,captured_exact,lowellma.gov,https://www.lowellma.gov/DocumentCenter/View/24325/ElectionSummaryReportRPT-UNOFFICIAL-RESULTS-11-7-23,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Lowell2023.pdf
Lowell,2025,LEO,captured_exact,lowellma.gov,https://lowellma.gov/DocumentCenter/View/32913/2025-Lowell-Election-UNOFFICIAL-results?bidId=,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Lowell2025.pdf
Brockton,2021,LEO,captured_exact,brockton.ma.us,https://brockton.ma.us/wp-content/uploads/2021/11/Nov2021_Unofficial_Election_Results.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Brockton2021.pdf
Brockton,2023,LEO,captured_exact,brockton.ma.us,https://brockton.ma.us/wp-content/uploads/2023/11/2023-NOVEMBER-7.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Brockton2023.pdf
Brockton,2025,LEO,captured_exact,brockton.ma.us,https://brockton.ma.us/wp-content/uploads/2025/12/Official-Recounted-November-2025-Election-Results.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Brockton2025.pdf
Quincy,2023,LEO,MISS_host_crawled,cms7files1.revize.com,https://cms7files1.revize.com/quincyma/Document%20Center/Government/City%20Clerk/Election/Election%20Results%202005-Present/November_7_2023%20Election%20Results%20V2.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Quincy2023.pdf
Quincy,2025,LEO,MISS_host_crawled,quincyma.gov,https://www.quincyma.gov/departments/city_clerk/election/election_results.php,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Quincy2025.pdf
Lynn,2021,LEO,MISS_host_crawled,lynnma.gov,https://www.lynnma.gov/common/pages/GetFile.ashx?key=q38CAFaA,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Lynn2021.pdf
Lynn,2023,LEO,captured_exact,lynnma.gov,https://www.lynnma.gov/city_government/departments/elections/election_results,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Lynn2023.pdf
Lynn,2025,LEO,MISS_host_crawled,lynnma.gov,https://www.lynnma.gov/common/pages/GetFile.ashx?key=s6cEAEhY,https://jamesnicholsworley.github.io/civicatlasma/pdfs/Lynn2025.pdf
New Bedford,2021,LEO,captured_exact,newbedford-ma.s3.amazonaws.com,https://newbedford-ma.s3.amazonaws.com/wp-content/uploads/sites/36/20221101091828/2021-Municipal-Election-Results-by-Precinct.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/NewBedford2021.pdf
New Bedford,2025,LEO,MISS_host_crawled,newbedford-ma.s3.amazonaws.com,https://newbedford-ma.s3.amazonaws.com/wp-content/uploads/20251107134056/DOC1106251.pdf,https://jamesnicholsworley.github.io/civicatlasma/pdfs/NewBedford2025.pdf
