town,town_norm,community_type,governing_body,best_verdict,board_vote_found,legislative_vote_found,reason_if_missing,eohlc_status,eohlc_adoption_date
Abington,abington,commuter rail,Select Board,CONFIRMED,0,0,,,
Acton,acton,commuter rail,Select Board,CONFIRMED,0,1,,,
Amesbury,amesbury,MBTA adjacent,City Council,CONFIRMED,0,0,,,
Andover,andover,commuter rail,Select Board,CONFIRMED,0,0,,,
Arlington,arlington,subway or light rail,Select Board,NO,0,0,fetched_no_signal,,
Ashburnham,ashburnham,MBTA adjacent,Select Board,CONFIRMED,0,0,,,
Ashby,ashby,MBTA adjacent,Select Board,CONFIRMED,1,0,,,
Ashland,ashland,commuter rail,Select Board,CONFIRMED,1,0,,,
Attleboro,attleboro,commuter rail,City Council,CONFIRMED,1,0,,,
Auburn,auburn,MBTA adjacent,Select Board,NO,0,0,fetched_no_signal,,
Ayer,ayer,commuter rail,Select Board,CONFIRMED,0,0,,,
Bedford,bedford,bus,Select Board,CONFIRMED,0,0,,,
Bellingham,bellingham,MBTA adjacent,Select Board,NO,0,0,fetched_no_signal,,
Belmont,belmont,bus,Select Board,CONFIRMED,0,1,,,
Berkley,berkley,MBTA adjacent,Select Board,CONFIRMED,0,1,,,
Beverly,beverly,bus,City Council,CONFIRMED,0,0,,,
Billerica,billerica,bus,Select Board,CONFIRMED,0,0,,,
Bourne,bourne,MBTA adjacent,Select Board,CONFIRMED,0,0,,,
Boxborough,boxborough,MBTA adjacent,Select Board,CONFIRMED,0,0,,,
Boxford,boxford,MBTA adjacent,Select Board,CONFIRMED,0,0,,,
Braintree,braintree,subway or light rail,City Council,CONFIRMED,0,0,,,
Bridgewater,bridgewater,commuter rail,City Council,FETCH_FAIL,0,0,fetch_blocked,,
Brockton,brockton,bus,City Council,CONFIRMED,0,0,,,
Brookline,brookline,subway or light rail,Select Board,CONFIRMED,0,0,,,
Burlington,burlington,bus,Select Board,CONFIRMED,0,0,,,
Cambridge,cambridge,subway or light rail,City Council,CONFIRMED,0,0,,,
Canton,canton,bus,Select Board,CONFIRMED,0,1,,,
Carlisle,carlisle,MBTA adjacent,Select Board,CONFIRMED,0,1,,,
Carver,carver,MBTA adjacent,Select Board,NO,0,0,fetched_no_signal,,
Chelmsford,chelmsford,MBTA adjacent,Select Board,CONFIRMED,0,0,,,
Chelsea,chelsea,subway or light rail,City Council,FETCH_FAIL,0,0,fetch_blocked,,
Cohasset,cohasset,commuter rail,Select Board,CONFIRMED,0,0,,,
Concord,concord,commuter rail,Select Board,CONFIRMED,0,0,,,
Danvers,danvers,bus,Select Board,CONFIRMED,0,1,,,
Dedham,dedham,bus,Select Board,FETCH_FAIL,0,0,fetch_blocked,,
Dover,dover,MBTA adjacent,Select Board,CONFIRMED,0,0,,,
Dracut,dracut,MBTA adjacent,Select Board,CONFIRMED,0,0,,,
Duxbury,duxbury,MBTA adjacent,Select Board,CONFIRMED,0,0,,,
East Bridgewater,eastbridgewater,MBTA adjacent,Select Board,CONFIRMED,0,1,,,
Easton,easton,MBTA adjacent,Select Board,NO,0,0,fetched_no_signal,,
Essex,essex,MBTA adjacent,Select Board,FETCH_FAIL,0,0,fetch_blocked,,
Everett,everett,subway or light rail,City Council,NO,0,0,fetched_no_signal,,
Fitchburg,fitchburg,commuter rail,City Council,PROBABLE,0,1,,,
Foxborough,foxborough,MBTA adjacent,Select Board,FETCH_FAIL,0,0,fetch_blocked,,
Framingham,framingham,commuter rail,City Council,CONFIRMED,0,0,,,
Franklin,franklin,commuter rail,City Council,TOPIC_ONLY,0,0,topic_no_vote_signal,,
Freetown,freetown,MBTA adjacent,Select Board,CONFIRMED,0,0,,,
Georgetown,georgetown,MBTA adjacent,Select Board,FETCH_FAIL,0,0,fetch_blocked,,
Gloucester,gloucester,commuter rail,City Council,CONFIRMED,1,0,,,
Grafton,grafton,commuter rail,Select Board,CONFIRMED,0,1,,,
Groton,groton,MBTA adjacent,Select Board,FETCH_FAIL,0,0,fetch_blocked,,
Groveland,groveland,MBTA adjacent,Select Board,NO,0,0,fetched_no_signal,,
Halifax,halifax,commuter rail,Select Board,CONFIRMED,0,0,,,
Hamilton,hamilton,commuter rail,Select Board,NO,0,0,fetched_no_signal,,
Hanover,hanover,MBTA adjacent,Select Board,NO,0,0,fetched_no_signal,,
Hanson,hanson,commuter rail,Select Board,CONFIRMED,0,0,,,
Harvard,harvard,MBTA adjacent,Select Board,CONFIRMED,0,1,,,
Haverhill,haverhill,commuter rail,City Council,NO,0,0,fetched_no_signal,,
Hingham,hingham,bus,Select Board,CONFIRMED,0,0,,,
Holbrook,holbrook,bus,Select Board,NO,0,0,fetched_no_signal,,
Holden,holden,MBTA adjacent,Select Board,CONFIRMED,1,0,,,
Holliston,holliston,MBTA adjacent,Select Board,CONFIRMED,0,1,,,
Hopkinton,hopkinton,commuter rail,Select Board,CONFIRMED,1,1,,,
Hull,hull,bus,Select Board,CONFIRMED,0,1,,,
Ipswich,ipswich,commuter rail,Select Board,CONFIRMED,0,0,,,
Kingston,kingston,commuter rail,Select Board,CONFIRMED,0,1,,,
Lakeville,lakeville,commuter rail,Select Board,CONFIRMED,0,0,,,
Lancaster,lancaster,MBTA adjacent,Select Board,CONFIRMED,0,0,,,
Lawrence,lawrence,commuter rail,City Council,NO,0,0,fetched_no_signal,,
Leicester,leicester,MBTA adjacent,Select Board,CONFIRMED,0,0,,,
Leominster,leominster,commuter rail,City Council,NO,0,0,fetched_no_signal,,
Lexington,lexington,bus,Select Board,CONFIRMED,0,0,,,
Lincoln,lincoln,bus,Select Board,CONFIRMED,0,0,,,
Littleton,littleton,commuter rail,Select Board,CONFIRMED,0,0,,,
Lowell,lowell,commuter rail,City Council,CONFIRMED,0,0,,,
Lunenburg,lunenburg,MBTA adjacent,Select Board,PROBABLE,0,0,,,
Lynn,lynn,bus,City Council,FETCH_FAIL,0,0,fetch_blocked,,
Lynnfield,lynnfield,MBTA adjacent,Select Board,CONFIRMED,1,0,,,
Malden,malden,subway or light rail,City Council,CONFIRMED,0,1,,,
Manchester,manchester,commuter rail,Select Board,CONFIRMED,0,0,,,
Mansfield,mansfield,commuter rail,Select Board,CONFIRMED,0,0,,,
Marblehead,marblehead,bus,Select Board,CONFIRMED,1,0,,,
Marlborough,marlborough,MBTA adjacent,City Council,NO,0,0,fetched_no_signal,,
Marshfield,marshfield,MBTA adjacent,Select Board,CONFIRMED,1,0,,,
Maynard,maynard,MBTA adjacent,Select Board,CONFIRMED,0,1,,,
Medfield,medfield,MBTA adjacent,Select Board,CONFIRMED,0,0,,,
Medford,medford,subway or light rail,City Council,NO,0,0,fetched_no_signal,,
Medway,medway,MBTA adjacent,Select Board,CONFIRMED,0,0,,,
Melrose,melrose,subway or light rail,City Council,CONFIRMED,0,0,,,
Merrimac,merrimac,MBTA adjacent,Select Board,CONFIRMED,0,0,,,
Methuen,methuen,MBTA adjacent,City Council,CONFIRMED,0,1,,,
Middleborough,middleborough,commuter rail,Select Board,CONFIRMED,0,0,,,
Middleton,middleton,MBTA adjacent,Select Board,PROBABLE,0,0,,,
Millbury,millbury,MBTA adjacent,Select Board,CONFIRMED,0,1,,,
Millis,millis,MBTA adjacent,Select Board,FETCH_FAIL,0,0,fetch_blocked,,
Milton,milton,subway or light rail,Select Board,CONFIRMED,0,1,,,
Nahant,nahant,bus,Select Board,CONFIRMED,1,0,,,
Natick,natick,commuter rail,Select Board,NO,0,0,fetched_no_signal,,
Needham,needham,bus,Select Board,CONFIRMED,0,0,,,
Newbury,newbury,commuter rail,Select Board,CONFIRMED,0,0,,,
Newburyport,newburyport,commuter rail,City Council,CONFIRMED,0,0,,,
Newton,newton,subway or light rail,City Council,NO,0,0,fetched_no_signal,,
Norfolk,norfolk,commuter rail,Select Board,FETCH_FAIL,0,0,fetch_blocked,,
North Andover,northandover,commuter rail,Select Board,CONFIRMED,0,0,,,
