town,town_norm,community_type,priority,board,doctype,year,kind,topic_hint,url,anchor
Abington,abington,commuter rail,1,town_meeting,minutes,,page,0,https://www.abingtonma.gov/documents/government/town-manager/town-meeting/minutes/587543,
Abington,abington,commuter rail,1,town_meeting,warrant,,file,0,http://www.abingtonma.gov/sites/abingtonma/files/gregg_corbo_revised_special_town_meeting_warrant_0.pdf,
Abington,abington,commuter rail,1,town_meeting,warrant,,file,0,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/uploads/stm_warrant_final_with_commentary_fincom_recommendations.pdf,
Abington,abington,commuter rail,1,town_meeting,warrant,,page,0,https://www.abingtonma.gov/article/1976989,Annual Town Meeting Warrant Open
Abington,abington,commuter rail,1,town_meeting,warrant,2022,file,0,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/uploads/atm_fy23_warrant_march_17_2022.pdf,
Abington,abington,commuter rail,1,town_meeting,warrant,2022,file,0,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/uploads/stm_warrant_3_17_22.pdf,
Abington,abington,commuter rail,1,town_meeting,warrant,2023,file,0,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/pages/october_2023_stm_warrantl79.pdf,
Abington,abington,commuter rail,1,town_meeting,warrant,2024,file,0,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4608/toa/4113595/Abington_Annual_Town_Meeting_Warrant_for_April_1__2024_w_Exhibits.pdf,in depth please review the warrant
Abington,abington,commuter rail,1,town_meeting,warrant,2024,file,0,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/uploads/fy2024_atm_warrant_v6a_spr_march_15_draft_for_website.pdf,
Abington,abington,commuter rail,1,town_meeting,warrant,2024,file,0,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/uploads/fy2024_atm_warrant_with_fincom_votes_and_tm_comments_final_.pdf,
Abington,abington,commuter rail,1,town_meeting,warrant,2024,page,0,https://www.abingtonma.gov/article/1475495,"2024 Annual Town Meeting Warrant Open POSTED ON: JANUARY 18, 2024 - 11:18PM"
Abington,abington,commuter rail,1,town_meeting,warrant,2024,page,0,https://www.abingtonma.gov/documents/news-documents/2024-annual-town-meeting-warrant-open/588779,
Abington,abington,commuter rail,1,town_meeting,warrant,2025,file,0,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/4608/toa/5468119/Warrant_for_Annual_Town_Meeting_April_7_2025_TO_BE_POSTED.pdf,Warrant for the 2025 Annual Town Meeting
