doc_id,town,town_norm,community_type,governing_body,board,doctype,year,verdict,url,status
4089d81128,Abington,abington,commuter rail,Select Board,,,,CONFIRMED,https://www.abingtonma.gov/article/1513682,OK
acdd816af4,Abington,abington,commuter rail,Select Board,,notice,,CONFIRMED,https://www.abingtonma.gov/article/1488446,OK
f955e81587,Acton,acton,commuter rail,Select Board,town_meeting,warrant,,CONFIRMED,https://acton-ma.gov/warrant,OK
da51afc01c,Acton,acton,commuter rail,Select Board,town_meeting,warrant,,CONFIRMED,https://ma-acton2.civicplus.com/Archive.aspx?AMID=54&Type=Recent,OK
841aaf7d70,Amesbury,amesbury,MBTA adjacent,City Council,zoning,bylaw,,CONFIRMED,https://www.amesburyma.gov/DocumentCenter/View/4938/An-Ordinance-to-amend-the-Amesbury-Zoning-Ordinance-to-create-an-overlay-in-compliance-with-MBTA-Communities-Act,OK
6d13e0e698,Andover,andover,commuter rail,Select Board,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13494/MBTA-Communities-Zone-update-101223---FINAL?bidId=,OK
7aa1c3cef3,Andover,andover,commuter rail,Select Board,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13670/MBTA-Communities-Zone-update-110923---FINAL?bidId=,OK
a1600b1393,Andover,andover,commuter rail,Select Board,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13671/MBTA-Communities-Working-Group-92823---FINAL?bidId=,OK
a4d625ffe4,Andover,andover,commuter rail,Select Board,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13692/MBTA-Communities-Zone-update-111623---FINAL?bidId=,OK
110c7f1b87,Andover,andover,commuter rail,Select Board,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13951/MBTA-Communities-Working-Group-121123---FINALpptx,OK
e502818281,Andover,andover,commuter rail,Select Board,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13983/MBTA-Communities-Zone-Working-Group-122123-Final?bidId=,OK
0947207c6e,Andover,andover,commuter rail,Select Board,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/14043/Andover-MBTA-Communities-Comms-Plan_for-Working-Group_1424?bidId=,OK
0949b0d68e,Ashburnham,ashburnham,MBTA adjacent,Select Board,zoning,,2025,CONFIRMED,https://ashburnham-ma.gov/DocumentCenter/View/2395/June-3-2025-Ashburnham-MBTA--Public-Information-Session-No-2,OK
f2861f2aaf,Ashby,ashby,MBTA adjacent,Select Board,,,,CONFIRMED,https://drive.google.com/uc?export=download&id=1lpymrYkOWAKtyN19Ze-7ZQ2ylP3vB-AE,OK
9ab6c7f372,Ashland,ashland,commuter rail,Select Board,,,,CONFIRMED,https://ashlandmass.com/DocumentCenter/View/12341,OK
4bda7df743,Ashland,ashland,commuter rail,Select Board,,,,CONFIRMED,https://ashlandmass.com/DocumentCenter/View/14615,OK
87fcd906d2,Ashland,ashland,commuter rail,Select Board,,,,CONFIRMED,https://ashlandmass.com/1092/MBTA-Communities,OK
e59f68b7f5,Attleboro,attleboro,commuter rail,City Council,planning_board,minutes,2026,CONFIRMED,https://cityofattleboro.us/AgendaCenter/ViewFile/Minutes/_03032026-2997,OK
ab240cdf5e,Ayer,ayer,commuter rail,Select Board,,bylaw,,CONFIRMED,https://www.ayer.ma.us/DocumentCenter/View/110,OK
a62b525727,Bedford,bedford,bus,Select Board,,,,CONFIRMED,https://bedfordma.gov/DocumentCenter/View/2157,OK
be5c53be2a,Bedford,bedford,bus,Select Board,,,,CONFIRMED,https://www.bedfordma.gov/DocumentCenter/View/2157/ActionPlanforMBTACommunities_SubmissionPDF,OK
c04bc387e2,Bedford,bedford,bus,Select Board,,bylaw,,CONFIRMED,https://bedfordma.gov/DocumentCenter/View/3655/MBTA-Communities-Act-Bylaw-Passage-Support-,OK
57500ba2dc,Bedford,bedford,bus,Select Board,zoning,,,CONFIRMED,https://www.bedfordma.gov/DocumentCenter/View/3766/Articles-11-and-12-Multifamily-Zoning,OK
3e8f4d873d,Bedford,bedford,bus,Select Board,zoning,,,CONFIRMED,https://www.bedfordma.gov/DocumentCenter/View/3766/Articles-11-and-12-Multifamily-Zoning?bidId=,OK
9e69dc8314,Belmont,belmont,bus,Select Board,,,,CONFIRMED,https://belmont-ma.gov/DocumentCenter/View/3144,OK
cb1d626e53,Belmont,belmont,bus,Select Board,,,,CONFIRMED,https://belmont-ma.gov/DocumentCenter/View/3152,OK
c4ff6c850f,Belmont,belmont,bus,Select Board,city_council,,,CONFIRMED,https://belmont-ma.gov/DocumentCenter/View/3147,OK
d35d7bd320,Berkley,berkley,MBTA adjacent,Select Board,,bylaw,,CONFIRMED,https://townofberkleyma.gov/public-forum-proposed-bylaw-changes-including-mbta-communities-3a-compliance-tonight-at-605pm/,OK
619bd7fb83,Berkley,berkley,MBTA adjacent,Select Board,town_meeting,minutes,2025,CONFIRMED,https://townofberkleyma.gov/wp-content/uploads/2024/12/STM-Mtg.-Mins-11-15-25-2.pdf,OK
253d865fd9,Beverly,beverly,bus,City Council,zoning,,,CONFIRMED,https://beverlyma.gov/1105/MBTA-Communities-Multifamily-Zoning,OK
eefe51992e,Billerica,billerica,bus,Select Board,,,,CONFIRMED,http://www.town.billerica.ma.us/DocumentCenter/View/9578/Draft-Compliance-Guidelines-for-MBTA-Communities,OK
5edc898d07,Bourne,bourne,MBTA adjacent,Select Board,zoning,,,CONFIRMED,https://ma-bourne.civicplus.com/1961/MBTA-Multi-Family-Zoning,OK
