town,town_norm,community_type,governing_body,board,doctype,year,verdict,url,npages,topic_pages,textfile,status,chars
Abington,abington,commuter rail,,,,,CONFIRMED,https://www.abingtonma.gov/article/1513682,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\abington__4089d8112834.txt,OK,2045
Abington,abington,commuter rail,,,notice,,CONFIRMED,https://www.abingtonma.gov/article/1488446,0,1,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\abington__acdd816af491.txt,OK,2045
Acton,acton,commuter rail,,town_meeting,warrant,,CONFIRMED,https://acton-ma.gov/warrant,117,"57,64,65,66,78",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\acton__f955e815870e.txt,OK,26262
Acton,acton,commuter rail,,town_meeting,warrant,,CONFIRMED,https://ma-acton2.civicplus.com/Archive.aspx?AMID=54&Type=Recent,73,58,C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\acton__da51afc01c16.txt,OK,8576
Amesbury,amesbury,MBTA adjacent,,zoning,bylaw,,CONFIRMED,https://www.amesburyma.gov/DocumentCenter/View/4938/An-Ordinance-to-amend-the-Amesbury-Zoning-Ordinance-to-create-an-overlay-in-compliance-with-MBTA-Communities-Act,2,"1,2",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\amesbury__841aaf7d70bc.txt,OK,3693
Andover,andover,commuter rail,,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13494/MBTA-Communities-Zone-update-101223---FINAL?bidId=,28,"1,3,4,5,7,11,15",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\andover__6d13e0e69879.txt,OK,6105
Andover,andover,commuter rail,,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13670/MBTA-Communities-Zone-update-110923---FINAL?bidId=,29,"1,2,3,19",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\andover__7aa1c3cef337.txt,OK,4416
Andover,andover,commuter rail,,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13671/MBTA-Communities-Working-Group-92823---FINAL?bidId=,20,"1,3,4,17",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\andover__a1600b1393ac.txt,OK,2461
Andover,andover,commuter rail,,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13692/MBTA-Communities-Zone-update-111623---FINAL?bidId=,36,"1,3,4,31,32",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\andover__a4d625ffe4f2.txt,OK,5018
Andover,andover,commuter rail,,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13951/MBTA-Communities-Working-Group-121123---FINALpptx,38,"1,26,27,28",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\andover__110c7f1b8783.txt,OK,3568
Andover,andover,commuter rail,,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/13983/MBTA-Communities-Zone-Working-Group-122123-Final?bidId=,13,"1,4",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\andover__e502818281e7.txt,OK,2037
Andover,andover,commuter rail,,,,,CONFIRMED,https://andoverma.gov/DocumentCenter/View/14043/Andover-MBTA-Communities-Comms-Plan_for-Working-Group_1424?bidId=,19,"1,2,3,4,5,6,7,8,9,10,11,15,17",C:\Users\Owner\Documents\muni-harvest\scratch\mbtac_text\andover__0947207c6e42.txt,OK,7522
