town,community_type,governing_body,legislative_form,planning_board_recommendation,planning_board_date,planning_board_vote,legislative_outcome,legislative_date,legislative_tally,legislative_article,threshold,eohlc_status,adoption_date,confidence,doc_source_url,sources,notes
Abington,commuter rail,Select Board,Open Town Meeting,favorable,,,adopted,2024-04-01,voice/unanimous,16,majority,Compliant,2024-07-24,medium,,https://abingtonnews.org/2024/03/26/planning-board-recommends-multi-unit-zoning-district-near-t-station/ | https://abingtonnews.org/2024/03/31/town-meeting-24-multi-family-zoning-proposes-nip-ban-memorial-field-upgrade-could-dominate-discussion-plus-a-67-5m-budget/ | https://www.abingtonma.gov/page/mbta3a-communities,"Planning Board chairman publicly endorsed article; Board of Selectmen and Finance Committee also supported. Article 16 at April 1 2024 ATM; described as unanimous but exact tally not documented in available sources. EOHLC certified July 24, 2024."
Acton,commuter rail,Select Board,Open Town Meeting,favorable,,unanimous,adopted,2024-05-07,69%-31%,12,majority,Compliant,2024-09-30,high,https://acton-ma.gov/warrant,https://www.actonexchange.org/acton-town-meeting-zoning-articles-pass-with-comfortable-margins/ | https://www.mapc.org/planning101/acton-maynard-adopted-mbta-communities-act-zoning/ | https://actonma.gov/CivicSend/ViewMessage/Message/231585,"2024 Annual Town Meeting held May 6-7, 2024 at Acton-Boxborough Regional High School; 2,579 residents participated May 6. Article 12 passed 69% in favor, 31% opposed; Planning Board voted unanimously to recommend. Three new overlay districts created. MBTA Communities Act permits majority threshold rather than standard 2/3 zoning amendment threshold. EOHLC certified September 30, 2024. Seed extracted_planning_board entry 'recommended; art 12' confirmed."
Amesbury,MBTA adjacent,City Council,City Council,favorable,2024-06-10,,adopted,2024-10-08,,Council Bill 2024-098,majority,Compliant,2024-09-05,medium,,https://www.amesburyma.gov/687/MBTA-Communities-Overlay-District | https://www.amesburyma.gov/AgendaCenter/ViewFile/Minutes/_10082024-3130 | https://www.amesburyma.gov/AgendaCenter/ViewFile/Minutes/_06102024-2984,"City Council approved Council Bill 2024-098 on October 8, 2024, amending zoning ordinance to create Rocky Hill Multi-Family Overlay District (plus two pre-existing Smart Growth overlays). Planning Board June 10, 2024 meeting referenced in minutes as favorable; exact tally not retrievable (PDF). Vote tally not found in accessible sources. Seed adoption_date 2024-09-05 predates the Oct 8 council vote — likely reflects an interim/conditional EOHLC determination or earlier phased submission; discrepancy flagged."
Andover,commuter rail,Select Board,Open Town Meeting,favorable,,,adopted,2024-04-30,434-196,STM Article 1,majority,Compliant,2024-09-13,high,,https://andoverma.gov/DocumentCenter/View/15250/April-29--April-30-2024-Annual-Town-Meeting--Special-Town-Meeting-Results | https://andoverma.gov/1371/13601/2024-Annual-Town-Meeting-Recap | https://andoverma.gov/1069/MBTA-Communities-Zoning | https://mvpc.org/2025/05/09/merrimack-valley-towns-pass-mbta-communities-zoning/,"MBTA zoning was placed in a Special Town Meeting (STM) held the second night of the ATM on April 30, 2024. The STM Article 1 passed by simple majority (434-196, 7 abstaining) -- the MBTA Communities Act (G.L. c.40A §3A) allows adoption by simple majority rather than the usual 2/3 zoning supermajority. Planning Board recommended approval (listed in ATM minutes). EOHLC certified compliance on 2024-09-13."
Arlington,subway or light rail,Select Board,Representative Town Meeting,favorable,2023-10-02,,adopted,2023-10-25,189-35,Article 12,2/3,Compliant,2023-11-08,high,,https://yourarlington.com/2023/10/stmno4fall23-102523/ | https://www.arlingtonma.gov/Home/Components/News/News/12760/16 | https://www.arlingtonma.gov/Home/Components/News/News/12760/3864?backlist=%2Ftown-governance%2Fboards-and-committees%2Fredevelopment-board | https://www.lwva.com/about-arlington-town-meeting/,"Arlington uses Representative Town Meeting (252 elected members). The MBTA Communities Overlay District was Article 12 at a Special Town Meeting (Session 4) on October 25, 2023. Passed 189-35. The Arlington Redevelopment Board (ARB) -- which serves as the planning authority in Arlington -- voted on October 2, 2023 to approve and recommend the article for town meeting. EOHLC certified November 8, 2023; AG approved June 2024."
Ashburnham,MBTA adjacent,Select Board,Open Town Meeting,favorable,,,adopted,2025-10-27,voice/unanimous,STM Article 2,majority,Compliant,2025-07-24,high,,https://www.ashburnham-ma.gov/DocumentCenter/View/2537/2025-STM-10-27-25-MINUTES | https://www.ashburnham-ma.gov/Archive.aspx?ADID=221 | https://www.ashburnham-ma.gov/711/MBTA-Communities-Act-Information-Page | https://www.ashburnham-ma.gov/DocumentCenter/View/2473/AshburnhamMBTA-08-27-2025,"MBTA zoning adopted at Special Town Meeting on October 27, 2025 as Article 2 (voice vote, declared passed by majority). Planning Board, Bylaw Review Committee, and Economic Development Committee all voted to support; Select Board and Advisory Board also recommended. The seed adoption_date of 2025-07-24 appears erroneous -- it predates both the August 27, 2025 Village Center MBTA presentation and the October 27, 2025 town meeting vote. EOHLC certification date is not yet independently confirmed but Compliant status is consistent with post-meeting certification. Passage by simple majority is consistent with G.L. c.40A §3A exception."
Ashby,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2025-04-02,,,,
Ashland,commuter rail,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2024-12-02,,,,
Attleboro,commuter rail,City Council,,,,,NOT_RESEARCHED,,,,,Compliant,2024-12-19,,,,
Auburn,MBTA adjacent,Select Board,,,,,NOT_RESEARCHED,,,,,Compliant,2023-08-09,,,,
