town,town_norm,community_type,priority,board,doctype,year,verdict,topic_hits,vote_hits,body_hits,topic_pages,npages,url,kind,err
Abington,abington,commuter rail,5,,,,CONFIRMED,5,1,3,1,0,https://www.abingtonma.gov/article/1513682,page,
Abington,abington,commuter rail,5,,,2022,FETCH_FAIL,0,0,0,,0,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/news/info_on_mbta_communities_mulit_family_by_right_jan_2022.pdf,file,HTTPError
Abington,abington,commuter rail,5,,notice,,CONFIRMED,5,1,3,1,0,https://www.abingtonma.gov/article/1488446,page,
Abington,abington,commuter rail,1,town_meeting,minutes,,NO,0,0,1,,0,https://www.abingtonma.gov/documents/government/town-manager/town-meeting/minutes/587543,page,
Abington,abington,commuter rail,1,town_meeting,warrant,,FETCH_FAIL,0,0,0,,0,http://www.abingtonma.gov/sites/abingtonma/files/gregg_corbo_revised_special_town_meeting_warrant_0.pdf,file,HTTPError
Abington,abington,commuter rail,1,town_meeting,warrant,,FETCH_FAIL,0,0,0,,0,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/uploads/stm_warrant_final_with_commentary_fincom_recommendations.pdf,file,HTTPError
Abington,abington,commuter rail,1,town_meeting,warrant,,NO,0,2,26,,0,https://www.abingtonma.gov/article/1976989,page,
Abington,abington,commuter rail,1,town_meeting,warrant,2022,FETCH_FAIL,0,0,0,,0,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/uploads/atm_fy23_warrant_march_17_2022.pdf,file,HTTPError
Abington,abington,commuter rail,1,town_meeting,warrant,2022,FETCH_FAIL,0,0,0,,0,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/uploads/stm_warrant_3_17_22.pdf,file,HTTPError
Abington,abington,commuter rail,1,town_meeting,warrant,2023,FETCH_FAIL,0,0,0,,0,https://www.abingtonma.gov/sites/g/files/vyhlif236/f/pages/october_2023_stm_warrantl79.pdf,file,HTTPError
Acton,acton,commuter rail,1,town_meeting,warrant,,CONFIRMED,16,276,234,"57,64,65,66,78",117,https://acton-ma.gov/warrant,file,
Acton,acton,commuter rail,1,town_meeting,warrant,,NO,0,274,301,,69,https://ma-acton2.civicplus.com/Archive.aspx?ADID=21582,file,
Acton,acton,commuter rail,1,town_meeting,warrant,,CONFIRMED,2,246,275,58,73,https://ma-acton2.civicplus.com/Archive.aspx?AMID=54&Type=Recent,file,
Acton,acton,commuter rail,1,town_meeting,warrant,,NO,0,2,9,,2,https://ma-acton2.civicplus.com/DocumentCenter/View/596,file,
Acton,acton,commuter rail,1,town_meeting,warrant,,NO,0,6,10,,1,https://ma-acton2.civicplus.com/DocumentCenter/View/784,file,
Acton,acton,commuter rail,1,town_meeting,warrant,,NO,0,25,1,,6,https://www.acton-ma.gov/DocumentCenter/View/9977/warrant-11-5,file,
Acton,acton,commuter rail,1,town_meeting,warrant,,NO,0,25,1,,6,https://www.acton-ma.gov/DocumentCenter/View/9977/warrant-11-5?bidId=,file,
Acton,acton,commuter rail,1,town_meeting,warrant,2022,NO,0,0,0,,1,https://www.acton-ma.gov/DocumentCenter/View/8121/2022-09-warrant,file,
Acton,acton,commuter rail,1,town_meeting,warrant,2024,NO,0,29,35,,8,https://www.acton-ma.gov/DocumentCenter/View/10072/2024-11-25-STM-WARRANT-AND-MOTIONS---FINAL,file,
Acton,acton,commuter rail,1,town_meeting,warrant,2024,NO,0,29,35,,8,https://www.acton-ma.gov/DocumentCenter/View/10072/2024-11-25-STM-WARRANT-AND-MOTIONS---FINAL?bidId=,file,
Amesbury,amesbury,MBTA adjacent,5,,,,NO,0,0,0,,0,https://amesburyma.gov/ImageRepository/Document?documentID=344,file,
Amesbury,amesbury,MBTA adjacent,5,,,,TOPIC_ONLY,2,0,0,1,1,https://www.amesburyma.gov/DocumentCenter/View/5086/RH-MFOD-overlay-map,file,
Amesbury,amesbury,MBTA adjacent,5,,,,PROBABLE,28,0,2,1,0,https://www.amesburyma.gov/687/MBTA-Communities-Overlay-District,page,
Amesbury,amesbury,MBTA adjacent,5,,,2025,NO,0,3,0,,0,https://www.amesburyma.gov/DocumentCenter/View/5455/2025-4-11--Amesbury-Recieves-MBTA-Community-Letter-of-Compliance-from-the-State,file,
Amesbury,amesbury,MBTA adjacent,5,city_council,bylaw,2024,NO,0,0,0,,96,https://www.amesburyma.gov/DocumentCenter/View/4802/2024-098-An-Ordinance-to-amend-the-Amesbury-Zoning-Ordinance-to-create-an-overlay-in-compliance-with-MBTA-Communities-Act-1pdf,file,
Amesbury,amesbury,MBTA adjacent,5,zoning,bylaw,,CONFIRMED,12,1,1,"1,2",2,https://www.amesburyma.gov/DocumentCenter/View/4938/An-Ordinance-to-amend-the-Amesbury-Zoning-Ordinance-to-create-an-overlay-in-compliance-with-MBTA-Communities-Act,file,
Amesbury,amesbury,MBTA adjacent,1,town_meeting,warrant,2023,NO,0,0,0,,8,https://www.amesburyma.gov/DocumentCenter/View/3979/2023-084-An-Ordinance-updating-the-Motor-Vehicle-Excise-Warrant-Fee--amending-the-Schedule-of-Feespdf,file,
Amesbury,amesbury,MBTA adjacent,1,town_meeting,warrant,2024,NO,0,2,1,,0,https://www.amesburyma.gov/DocumentCenter/View/4852/2024-105-State-Primary-Warrant-2024doc,file,
Amesbury,amesbury,MBTA adjacent,2,city_council,minutes,,FETCH_FAIL,0,0,0,,0,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/minutes/20210103_city_council_organizational_meeting_minutes.pdf,file,HTTPError
Amesbury,amesbury,MBTA adjacent,2,city_council,minutes,,FETCH_FAIL,0,0,0,,0,https://www.amesburyma.gov/sites/g/files/vyhlif6891/f/minutes/20210512_city_council_minutes_0.pdf,file,HTTPError
Andover,andover,commuter rail,5,,,,PROBABLE,16,0,2,"1,2,6,7",8,https://andoverma.gov/DocumentCenter/View/10936/04272022-MBTA-Communities-Presentation,file,
Andover,andover,commuter rail,5,,,,PROBABLE,14,0,1,"1,3,4,5,21",24,https://andoverma.gov/DocumentCenter/View/12984/MBTA-Communities-Visioning-Session-1-Final-?bidId=,file,
